player_id,player_name,positions,assists,assists_minus_xa,avg_pass_distance,avg_pass_vertical,goals,goals_conceded,goals_conceded_minus_xg,goals_minus_xg,goals_per_xg,goals_plus_assists,headed_shot_share,key_passes,minutes_played,pass_completion_pct,passes_attempted,passes_over_expected,passes_over_expected_p100,points_added,saves,shots,shots_faced,shots_on_target,xa,xg,xg_faced,xg_place,xg_plus_xa,xpass_completion_pct,xpoints_added
alejandro-bedoya,Alejandro Bedoya,CM,0.0,-3.4211,16.635,3.0463,3.0,,,-0.7972,,3.0,,43.0,3141.0,0.732,1414.0,-16.9747,-1.2005,1.048,,40.0,,15.0,3.4211,3.7972,,0.4006,7.2183,0.744,2.4749
alvas-powell,Alvas Powell,FB,0.0,-0.219,23.4345,9.7944,0.0,,,-0.2419,,0.0,,2.0,581.0,0.582,244.0,-18.2412,-7.4759,0.0,,7.0,,2.0,0.219,0.2419,,-0.1248,0.4609,0.6567,0.0626
andre-blake,Andre Blake,GK,0.0,0.0,44.8216,38.498,0.0,23.0,-7.5258,0.0,0.7535,0.0,0.1863,0.0,2850.0,0.6244,796.0,16.2365,2.0398,0.0,79.0,0.0,102.0,0.0,0.0,0.0,30.5258,0.0,0.0,0.604,0.0
anthony-fontana,Anthony Fontana,AM,0.0,-0.2303,14.7641,4.4614,0.0,,,-0.7872,,0.0,,3.0,414.0,0.7473,91.0,-3.9111,-4.2979,0.0,,6.0,,2.0,0.2303,0.7872,,-0.3966,1.0175,0.7902,0.6623
aurélien-collin,Aurélien Collin,CB,0.0,0.0,21.9512,13.7647,0.0,,,0.0,,0.0,,0.0,97.0,0.5238,21.0,-0.4125,-1.9642,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.5435,0.0
cole-turner,Cole Turner,TE,0.0,0.0,18.7612,-1.725,0.0,,,0.0,,0.0,,0.0,11.0,0.6,5.0,-0.2096,-4.1923,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.6419,0.0
cory-burke,Cory Burke,ST,1.0,0.1626,15.6033,3.2632,4.0,,,-0.6261,,5.0,,5.0,1121.0,0.552,221.0,-5.7929,-2.6212,2.3869,,31.0,,10.0,0.8374,4.6261,,-1.8616,5.4635,0.5782,2.4768
davó,Davó,DM,0.0,0.0,3.3941,-3.0475,0.0,,,-0.0796,,0.0,,0.0,23.0,0.5,2.0,-0.2646,-13.2277,0.0,,2.0,,1.0,0.0,0.0796,,0.0253,0.0796,0.6323,0.0795
dániel-gazdag,Dániel Gazdag,AM,3.0,0.5006,15.6117,2.2875,5.0,,,-1.133,,8.0,,15.0,1807.0,0.7691,602.0,-0.0284,-0.0047,2.1361,,37.0,,14.0,2.4994,6.133,,-0.6691,8.6324,0.7692,3.0563
ilsinho,Ilsinho,W,0.0,0.0,12.6687,2.983,0.0,,,-0.0982,,0.0,,0.0,105.0,0.9186,86.0,8.8116,10.246,0.0,,2.0,,0.0,0.0,0.0982,,-0.0982,0.0982,0.8161,0.1136
