player_id,player_name,positions,assists,assists_minus_xa,avg_pass_distance,avg_pass_vertical,goals,goals_conceded,goals_conceded_minus_xg,goals_minus_xg,goals_per_xg,goals_plus_assists,headed_shot_share,key_passes,minutes_played,pass_completion_pct,passes_attempted,passes_over_expected,passes_over_expected_p100,points_added,saves,shots,shots_faced,shots_on_target,xa,xg,xg_faced,xg_place,xg_plus_xa,xpass_completion_pct,xpoints_added
abraham-rodriguez,Abraham Rodriguez,GK,0.0,0.0,31.0841,23.3573,0.0,1.0,0.1729,0.0,1.209,0.0,0.2,0.0,100.0,0.8571,28.0,0.5652,2.0187,0.0,4.0,0.0,5.0,0.0,0.0,0.0,0.8271,0.0,0.0,0.837,0.0
alex-gersbach,Alex Gersbach,FB,0.0,-0.0775,17.2294,3.3164,0.0,,,-0.0722,,0.0,,1.0,276.0,0.6748,123.0,-11.6329,-9.4577,0.0,,1.0,,0.0,0.0775,0.0722,,-0.0722,0.1498,0.7694,0.0556
andreas-maxsø,Andreas Maxsø,CB,0.0,-0.5112,21.8477,5.9905,2.0,,,0.568,,2.0,,3.0,3207.0,0.8886,1427.0,18.7964,1.3172,1.2155,,15.0,,6.0,0.5112,1.432,,0.3209,1.9431,0.8754,0.7228
andrew-gutman,Andrew Gutman,FB,0.0,-0.3364,20.4469,5.8255,1.0,,,0.335,,1.0,,8.0,1100.0,0.7435,425.0,-8.9474,-2.1053,0.7809,,16.0,,3.0,0.3364,0.665,,-0.1447,1.0014,0.7646,0.5038
anthony-markanich,Anthony Markanich,FB,0.0,-0.0288,18.7083,5.1667,0.0,,,-0.9778,,0.0,,1.0,402.0,0.6961,181.0,-7.6499,-4.2264,0.0,,8.0,,0.0,0.0288,0.9778,,-0.9778,1.0066,0.7384,0.9249
braian-galván,Braian Galván,FB,0.0,-0.5029,19.4192,5.952,1.0,,,-0.1104,,1.0,,9.0,750.0,0.701,291.0,-8.7756,-3.0157,0.5059,,10.0,,3.0,0.5029,1.1104,,-0.0922,1.6133,0.7312,0.5659
bryan-acosta,Bryan Acosta,CM,0.0,-2.2358,25.955,5.5897,0.0,,,-0.906,,0.0,,24.0,1231.0,0.7895,532.0,8.3467,1.5689,0.0,,14.0,,5.0,2.2358,0.906,,-0.2353,3.1418,0.7738,0.5468
calvin-harris,Calvin Harris,ST,2.0,0.9392,17.4217,-2.3523,1.0,,,-0.1129,,3.0,,6.0,972.0,0.6952,210.0,-7.6323,-3.6344,0.3212,,11.0,,6.0,1.0608,1.1129,,-0.0665,2.1736,0.7316,0.5282
cole-bassett,Cole Bassett,CM,1.0,-1.2212,19.8893,2.6667,6.0,,,2.3813,,7.0,,25.0,2065.0,0.8094,808.0,-4.9969,-0.6184,3.5929,,39.0,,14.0,2.2212,3.6187,,0.5867,5.8399,0.8156,2.65
connor-ronan,Connor Ronan,DM,8.0,2.1329,22.9232,5.734,1.0,,,-1.376,,9.0,,64.0,3101.0,0.8168,1998.0,46.1876,2.3117,0.6678,,27.0,,7.0,5.8671,2.376,,-0.4609,8.243,0.7937,2.2101
