player_id,player_name,positions,assists,assists_minus_xa,avg_pass_distance,avg_pass_vertical,goals,goals_conceded,goals_conceded_minus_xg,goals_minus_xg,goals_per_xg,goals_plus_assists,headed_shot_share,key_passes,minutes_played,pass_completion_pct,passes_attempted,passes_over_expected,passes_over_expected_p100,points_added,saves,shots,shots_faced,shots_on_target,xa,xg,xg_faced,xg_place,xg_plus_xa,xpass_completion_pct,xpoints_added
aaron-herrera,Aaron Herrera,FB,2.0,-1.6836,23.0982,4.0107,0.0,,,-0.8201,,2.0,,36.0,2300.0,0.753,1150.0,10.5075,0.9137,0.0,,16.0,,4.0,3.6836,0.8201,,-0.5917,4.5037,0.7439,0.5967
bibi-karamoko,Bibi Karamoko,W,0.0,-0.0388,11.4488,-7.5133,0.0,,,0.0,,0.0,,1.0,25.0,0.6,5.0,-0.9049,-18.097,0.0,,0.0,,0.0,0.0388,0.0,,0.0,0.0388,0.781,0.0
boris-enow,Boris Enow,CM,0.0,-0.3679,18.7043,2.6737,1.0,,,0.4685,,1.0,,7.0,1838.0,0.8459,889.0,-4.1201,-0.4635,0.3954,,9.0,,2.0,0.3679,0.5315,,0.2489,0.8994,0.8505,0.2371
brandon-servania,Brandon Servania,DM,1.0,0.3221,17.9944,2.1934,0.0,,,-0.6873,,1.0,,10.0,2238.0,0.8703,933.0,23.0065,2.4659,0.0,,15.0,,3.0,0.6779,0.6873,,0.0288,1.3652,0.8457,0.2853
caden-clark,Caden Clark,AM,0.0,-0.0774,18.4312,2.4873,0.0,,,-0.5098,,0.0,,1.0,158.0,0.6667,39.0,0.5078,1.302,0.0,,3.0,,1.0,0.0774,0.5098,,-0.1696,0.5871,0.6536,0.0588
christian-benteke,Christian Benteke,ST,3.0,0.6691,15.8503,1.658,9.0,,,-5.3207,,12.0,,17.0,2092.0,0.6314,472.0,-7.8456,-1.6622,5.353,,78.0,,36.0,2.3309,14.3207,,-0.5914,16.6516,0.648,8.6325
conner-antley,Conner Antley,FB,1.0,0.5716,21.7414,4.479,1.0,,,0.0232,,2.0,,6.0,1498.0,0.7094,561.0,-29.337,-5.2294,0.5388,,6.0,,2.0,0.4284,0.9768,,-0.1357,1.4052,0.7617,0.5745
david-schnegg,David Schnegg,FB,1.0,-2.524,21.3432,5.1135,0.0,,,-1.6199,,1.0,,31.0,2994.0,0.6959,1450.0,-39.3711,-2.7152,0.0,,16.0,,4.0,3.524,1.6199,,-0.0949,5.1439,0.723,1.6626
derek-dodson,Derek Dodson,FB,1.0,0.4561,17.1139,0.5863,0.0,,,-0.1226,,1.0,,6.0,659.0,0.7671,249.0,-2.712,-1.0892,0.0,,1.0,,1.0,0.5439,0.1226,,-0.0001,0.6665,0.778,0.0
dominique-badji,Dominique Badji,W,0.0,-0.2525,14.9511,-0.2362,1.0,,,-1.723,,1.0,,5.0,866.0,0.6608,171.0,-9.0218,-5.2759,0.013,,16.0,,7.0,0.2525,2.723,,-1.2267,2.9755,0.7136,1.0732
fidel-barajas,Fidel Barajas,W,0.0,-0.0285,15.3812,-0.5946,0.0,,,0.0,,0.0,,1.0,50.0,0.84,25.0,1.5776,6.3104,0.0,,0.0,,0.0,0.0285,0.0,,0.0,0.0285,0.7769,0.0
gabriel-pirani,Gabriel Pirani,AM,3.0,-1.5284,16.9847,1.7927,7.0,,,1.1338,,10.0,,35.0,2082.0,0.8236,669.0,9.882,1.4771,6.6444,,59.0,,17.0,4.5284,5.8662,,0.1307,10.3946,0.8088,3.6751
garrison-tubbs,Garrison Tubbs,CB,0.0,-0.0257,20.4681,4.9721,0.0,,,0.0,,0.0,,1.0,626.0,0.9243,251.0,7.6469,3.0466,0.0,,0.0,,0.0,0.0257,0.0,,0.0,0.0257,0.8938,0.0
gavin-turner,Gavin Turner,W,0.0,-0.0212,11.1191,-0.0657,0.0,,,-0.0193,,0.0,,1.0,26.0,0.625,8.0,0.0067,0.0837,0.0,,1.0,,0.0,0.0212,0.0193,,-0.0193,0.0404,0.6242,0.0
hosei-kijima,Hosei Kijima,AM,0.0,-1.097,16.2596,1.53,2.0,,,0.5136,,2.0,,15.0,1778.0,0.8162,582.0,0.2951,0.0507,1.113,,13.0,,4.0,1.097,1.4864,,-0.4207,2.5834,0.8156,0.9185
jackson-hopkins,Jackson Hopkins,ST,0.0,-0.5431,18.9411,2.1608,3.0,,,2.24,,3.0,,7.0,920.0,0.8275,284.0,1.9518,0.6872,1.6474,,8.0,,4.0,0.5431,0.76,,0.6623,1.3031,0.8206,0.6118
jacob-murrell,Jacob Murrell,ST,1.0,0.761,15.8737,0.7015,2.0,,,-0.8553,,3.0,,6.0,1020.0,0.5148,169.0,-26.7176,-15.8092,2.8998,,16.0,,6.0,0.239,2.8553,,-0.5122,3.0943,0.6729,2.0703
jared-stroud,Jared Stroud,W,0.0,-3.2092,17.6783,0.7565,0.0,,,-3.0087,,0.0,,24.0,1474.0,0.7143,441.0,-12.568,-2.8499,0.0,,33.0,,7.0,3.2092,3.0087,,-1.1347,6.218,0.7428,2.3777
jordan-farr,Jordan Farr,GK,0.0,0.0,43.0634,36.905,0.0,6.0,1.1915,0.0,1.2478,0.0,0.0714,0.0,276.0,0.6744,86.0,6.9774,8.1133,0.0,7.0,0.0,14.0,0.0,0.0,0.0,4.8085,0.0,0.0,0.5933,0.0
kim-joon-hong,Kim Joon-Hong,GK,0.0,0.0,42.2387,36.022,0.0,19.0,2.1948,0.0,1.1306,0.0,0.1905,0.0,807.0,0.694,268.0,20.445,7.6287,0.0,23.0,0.0,42.0,0.0,0.0,0.0,16.8052,0.0,0.0,0.6177,0.0
kristian-fletcher,Kristian Fletcher,W,0.0,-0.0215,19.8527,-1.3064,0.0,,,-0.0564,,0.0,,1.0,102.0,0.7692,13.0,-0.7597,-5.8438,0.0,,2.0,,0.0,0.0215,0.0564,,-0.0564,0.0779,0.8277,0.0551
kye-rowles,Kye Rowles,CB,0.0,-0.4644,23.0038,8.5254,0.0,,,-1.7263,,0.0,,2.0,3013.0,0.8619,1521.0,31.0216,2.0396,0.0,,7.0,,2.0,0.4644,1.7263,,-0.8567,2.1907,0.8415,1.2054
lucas-bartlett,Lucas Bartlett,CB,0.0,-1.3981,22.797,8.7784,0.0,,,-0.9745,,0.0,,10.0,2925.0,0.8387,1426.0,10.8201,0.7588,0.0,,11.0,,3.0,1.3981,0.9745,,-0.5427,2.3727,0.8311,0.7191
luis-barraza,Luis Barraza,GK,1.0,0.8316,41.5566,33.9018,0.0,39.0,3.191,0.0,1.0891,1.0,0.1066,2.0,2342.0,0.6453,812.0,-4.0738,-0.5017,0.0,83.0,0.0,122.0,0.0,0.1684,0.0,35.809,0.0,0.1684,0.6503,0.0
