player_id,player_name,positions,assists,assists_minus_xa,avg_pass_distance,avg_pass_vertical,goals,goals_conceded,goals_conceded_minus_xg,goals_minus_xg,goals_per_xg,goals_plus_assists,headed_shot_share,key_passes,minutes_played,pass_completion_pct,passes_attempted,passes_over_expected,passes_over_expected_p100,points_added,saves,shots,shots_faced,shots_on_target,xa,xg,xg_faced,xg_place,xg_plus_xa,xpass_completion_pct,xpoints_added
besard-šabović,Besard Šabović,CM,0.0,-1.9714,19.2608,3.8877,1.0,,,-0.3628,,1.0,,16.0,2010.0,0.8405,840.0,3.2821,0.3907,0.0501,,23.0,,5.0,1.9714,1.3628,,0.1849,3.3342,0.8366,0.7334
brad-stuver,Brad Stuver,GK,0.0,-0.1374,37.4448,30.2423,0.0,48.0,-2.2775,0.0,0.9547,0.0,0.1858,2.0,3645.0,0.7126,1392.0,-6.3613,-0.457,0.0,133.0,0.0,183.0,0.0,0.1374,0.0,50.2775,0.0,0.1374,0.7172,0.0
brandon-vázquez,Brandon Vázquez,ST,0.0,-0.8307,18.1558,1.6892,5.0,,,-4.8684,,5.0,,8.0,1734.0,0.641,312.0,-23.3779,-7.4929,3.1431,,54.0,,23.0,0.8307,9.8684,,-2.4727,10.6991,0.716,6.8255
brendan-hines-ike,Brendan Hines-Ike,CB,1.0,0.4706,22.5141,6.8875,0.0,,,-1.2197,,1.0,,1.0,3304.0,0.9108,1603.0,26.4319,1.6489,0.0,,10.0,,0.0,0.5294,1.2197,,-1.2197,1.749,0.8943,0.6359
cj-fodrey,CJ Fodrey,FB,1.0,-0.6814,14.236,-0.5299,1.0,,,-0.7449,,2.0,,6.0,521.0,0.6882,93.0,-3.0843,-3.3164,0.2965,,18.0,,4.0,1.6814,1.7449,,-0.8601,3.4263,0.7213,1.3211
dani-pereira,Dani Pereira,DM,2.0,-0.8196,19.1032,2.8416,2.0,,,-0.166,,4.0,,27.0,2527.0,0.8896,1495.0,50.1656,3.3556,0.0,,26.0,,5.0,2.8196,2.166,,-0.6483,4.9856,0.8561,1.1974
diego-rubio,Diego Rubio,ST,2.0,0.7821,19.1856,5.0904,2.0,,,0.2726,,4.0,,12.0,1098.0,0.8103,390.0,10.5925,2.716,2.1421,,24.0,,6.0,1.2179,1.7274,,0.0688,2.9453,0.7831,1.2603
ervin-torres,Ervin Torres,CM,0.0,0.0,14.0063,1.679,0.0,,,0.0,,0.0,,0.0,12.0,0.8333,6.0,0.5993,9.9891,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.7334,0.0
guilherme-biro,Guilherme Biro,FB,1.0,-1.6541,19.3381,3.8044,3.0,,,0.7388,,4.0,,21.0,3085.0,0.8207,1567.0,28.8497,1.8411,1.3173,,25.0,,7.0,2.6541,2.2612,,-0.7632,4.9153,0.8023,1.0892
ilie-sánchez,Ilie Sánchez,DM,0.0,-0.4324,19.5422,3.9959,1.0,,,0.2817,,1.0,,7.0,1966.0,0.8761,1033.0,22.556,2.1835,0.5283,,13.0,,3.0,0.4324,0.7183,,-0.3319,1.1507,0.8543,0.4292
