player_id,player_name,positions,assists,assists_minus_xa,avg_pass_distance,avg_pass_vertical,goals,goals_conceded,goals_conceded_minus_xg,goals_minus_xg,goals_per_xg,goals_plus_assists,headed_shot_share,key_passes,minutes_played,pass_completion_pct,passes_attempted,passes_over_expected,passes_over_expected_p100,points_added,saves,shots,shots_faced,shots_on_target,xa,xg,xg_faced,xg_place,xg_plus_xa,xpass_completion_pct,xpoints_added
adri-mehmeti,Adri Mehmeti,DM,2.0,0.0142,17.7161,4.8094,1.0,,,0.1813,,3.0,,12.0,1057.0,0.8575,744.0,23.7571,3.1932,1.3157,,5.0,,1.0,1.9858,0.8187,,-0.0502,2.8045,0.8256,0.751
andy-rojas,Andy Rojas,W,0.0,0.0,16.7646,5.3725,0.0,,,-0.054,,0.0,,0.0,58.0,0.8065,31.0,-0.6178,-1.9929,0.0,,1.0,,0.0,0.0,0.054,,-0.054,0.054,0.8264,0.0184
cade-cowell,Cade Cowell,ST,1.0,-1.1713,17.4901,-1.5652,1.0,,,-0.8017,,2.0,,15.0,762.0,0.6875,272.0,4.7904,1.7612,0.2773,,22.0,,9.0,2.1713,1.8017,,-0.2975,3.973,0.6699,0.9074
dylan-nealis,Dylan Nealis,FB,0.0,-0.0898,19.1985,8.2464,0.0,,,-0.1874,,0.0,,2.0,905.0,0.8621,631.0,9.2322,1.4631,0.0,,2.0,,0.0,0.0898,0.1874,,-0.1874,0.2772,0.8475,0.1152
emil-forsberg,Emil Forsberg,AM,3.0,0.0094,19.4086,1.7349,1.0,,,-1.2552,,4.0,,22.0,1035.0,0.8138,419.0,9.4606,2.2579,0.4892,,23.0,,8.0,2.9906,2.2552,,-0.0966,5.2458,0.7913,1.2514
eric-maxim-choupo-moting,Eric Maxim Choupo-Moting,ST,0.0,-0.0282,12.0807,0.4395,2.0,,,1.0056,,2.0,,1.0,245.0,0.7879,66.0,-0.3299,-0.4998,1.9547,,4.0,,3.0,0.0282,0.9944,,0.7586,1.0226,0.7929,0.2216
ethan-horvath,Ethan Horvath,GK,0.0,0.0,30.389,22.3443,0.0,28.0,3.5846,0.0,1.1468,0.0,0.1324,0.0,1209.0,0.8092,393.0,-3.9859,-1.0142,0.0,37.0,0.0,68.0,0.0,0.0,0.0,24.4154,0.0,0.0,0.8193,0.0
gustav-berggren,Gustav Berggren,CM,0.0,-0.0408,19.8539,5.1481,0.0,,,-0.5679,,0.0,,1.0,226.0,0.8491,106.0,-1.1055,-1.043,0.0,,5.0,,0.0,0.0408,0.5679,,-0.5679,0.6087,0.8595,0.2743
jahkeele-marshall-rutty,Jahkeele Marshall-Rutty,W,0.0,-0.2352,17.6328,2.3609,0.0,,,-0.4481,,0.0,,6.0,937.0,0.8735,688.0,22.5898,3.2834,0.0,,9.0,,3.0,0.2352,0.4481,,0.1448,0.6833,0.8407,0.2595
jorge-ruvalcaba,Jorge Ruvalcaba,W,0.0,-0.6132,16.3534,-2.2025,4.0,,,0.9322,,4.0,,12.0,970.0,0.8199,322.0,-0.3988,-0.1239,1.5607,,30.0,,11.0,0.6132,3.0678,,-0.5321,3.681,0.8211,1.3825
joyeux-masanka-bungi,Joyeux Masanka Bungi,FB,0.0,0.0,15.0271,5.2092,0.0,,,0.0,,0.0,,0.0,103.0,0.7297,37.0,-1.5688,-4.2399,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.7721,0.0
juan-josé-mina,Juan José Mina,FB,0.0,-0.0227,16.2566,2.64,0.0,,,-0.3394,,0.0,,1.0,209.0,0.8782,156.0,4.6345,2.9708,0.0,,5.0,,2.0,0.0227,0.3394,,-0.0711,0.3622,0.8485,0.0498
julian-hall,Julian Hall,ST,2.0,0.7667,13.9623,-3.3465,6.0,,,0.9952,,8.0,,8.0,1121.0,0.7892,204.0,-8.4267,-4.1308,1.8335,,18.0,,9.0,1.2333,5.0048,,-0.1536,6.2381,0.8305,1.7474
justin-che,Justin Che,CB,0.0,-0.5303,22.1471,8.9756,0.0,,,-0.3965,,0.0,,2.0,417.0,0.904,302.0,18.787,6.2209,0.0,,3.0,,2.0,0.5303,0.3965,,-0.0053,0.9268,0.8418,0.3068
matthew-dos-santos,Matthew Dos Santos,FB,0.0,-1.288,19.2509,4.1205,0.0,,,-0.2245,,0.0,,10.0,889.0,0.7572,593.0,-11.0633,-1.8657,0.0,,4.0,,0.0,1.288,0.2245,,-0.2245,1.5125,0.7758,0.0968
mohammed-sofo,Mohammed Sofo,W,0.0,-0.1157,15.052,-3.6393,1.0,,,-0.1873,,1.0,,1.0,330.0,0.6863,102.0,-8.8352,-8.662,0.0114,,8.0,,3.0,0.1157,1.1873,,-0.4767,1.3031,0.7729,0.4577
nehuen-benedetti,Nehuen Benedetti,CM,0.0,-0.2966,17.6639,2.307,0.0,,,-0.1558,,0.0,,3.0,89.0,0.7358,53.0,-5.1612,-9.7382,0.0,,1.0,,0.0,0.2966,0.1558,,-0.1558,0.4523,0.8332,0.1424
omar-valencia,Omar Valencia,FB,0.0,-0.0574,19.4583,1.1286,0.0,,,-0.0527,,0.0,,2.0,178.0,0.7912,91.0,1.5601,1.7144,0.0,,2.0,,2.0,0.0574,0.0527,,0.0932,0.1101,0.7741,0.0025
rafael-mosquera,Rafael Mosquera,W,0.0,-0.7352,17.7681,1.5685,0.0,,,-0.2548,,0.0,,6.0,266.0,0.7273,121.0,5.6367,4.6584,0.0,,6.0,,1.0,0.7352,0.2548,,-0.1952,0.9901,0.6807,0.0545
roald-mitchell,Roald Mitchell,ST,0.0,0.0,10.3831,-7.705,0.0,,,-0.0508,,0.0,,0.0,12.0,1.0,1.0,0.0832,8.3155,0.0,,1.0,,0.0,0.0,0.0508,,-0.0508,0.0508,0.9168,0.0001
robert-voloder,Robert Voloder,CB,0.0,-0.0211,20.0485,6.8909,0.0,,,-0.4019,,0.0,,1.0,793.0,0.8718,577.0,0.5046,0.0875,0.0,,3.0,,1.0,0.0211,0.4019,,-0.2052,0.4231,0.8709,0.2494
ronald-donkor,Ronald Donkor,W,4.0,1.8929,16.7896,4.2328,1.0,,,-0.0399,,5.0,,16.0,1004.0,0.8165,485.0,1.2848,0.2649,0.0819,,9.0,,3.0,2.1071,1.0399,,0.1061,3.147,0.8138,0.3331
tanner-rosborough,Tanner Rosborough,ST,0.0,0.0,14.8358,0.0398,0.0,,,-0.1861,,0.0,,0.0,93.0,0.7222,36.0,-3.1073,-8.6314,0.0,,4.0,,2.0,0.0,0.1861,,0.0106,0.1861,0.8085,0.103
tim-parker,Tim Parker,CB,0.0,0.0,20.8283,9.8689,0.0,,,-0.0107,,0.0,,0.0,347.0,0.8556,180.0,3.4004,1.8891,0.0,,1.0,,0.0,0.0,0.0107,,-0.0107,0.0107,0.8367,0.0003
