player_id,player_name,positions,assists,assists_minus_xa,avg_pass_distance,avg_pass_vertical,goals,goals_conceded,goals_conceded_minus_xg,goals_minus_xg,goals_per_xg,goals_plus_assists,headed_shot_share,key_passes,minutes_played,pass_completion_pct,passes_attempted,passes_over_expected,passes_over_expected_p100,points_added,saves,shots,shots_faced,shots_on_target,xa,xg,xg_faced,xg_place,xg_plus_xa,xpass_completion_pct,xpoints_added
abdi-salim,Abdi Salim,CB,0.0,-0.0458,19.5902,6.4655,2.0,,,1.0989,,2.0,,1.0,1280.0,0.8938,565.0,-1.5555,-0.2753,1.9886,,9.0,,2.0,0.0458,0.9011,,0.2126,0.9469,0.8966,0.8668
alejandro-granados-torres,Alejandro Granados Torres,CM,1.0,0.507,18.8716,5.207,0.0,,,-0.1942,,1.0,,9.0,703.0,0.8867,415.0,6.0101,1.4482,0.0,,3.0,,3.0,0.493,0.1942,,0.083,0.6872,0.8723,0.1526
alex-freeman,Alex Freeman,FB,2.0,0.0008,17.9896,0.3183,4.0,,,1.3596,,6.0,,13.0,2104.0,0.7888,890.0,-11.754,-1.3207,2.2257,,25.0,,11.0,1.9992,2.6404,,1.3034,4.6396,0.802,1.5142
cristian-medina,Cristian Medina,DM,3.0,1.615,18.7304,3.7723,0.0,,,-0.4151,,3.0,,32.0,2401.0,0.8732,1680.0,38.8794,2.3143,0.0,,10.0,,3.0,1.385,0.4151,,-0.2964,1.8001,0.8501,0.2417
cristofer-acuña,Cristofer Acuña,ST,1.0,0.6701,12.407,-1.5981,3.0,,,-0.2596,,4.0,,5.0,752.0,0.6512,86.0,-8.4919,-9.8743,1.555,,19.0,,9.0,0.3299,3.2596,,0.097,3.5895,0.7499,1.9616
dominic-bell,Dominic Bell,CB,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,0.0,5.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
dominic-pereira,Dominic Pereira,GK,0.0,0.0,21.3251,13.8063,0.0,3.0,1.1356,0.0,1.6091,0.0,0.1111,0.0,174.0,0.875,40.0,0.0504,0.126,0.0,6.0,0.0,9.0,0.0,0.0,0.0,1.8644,0.0,0.0,0.8737,0.0
favian-loyola,Favian Loyola,W,3.0,2.0243,17.1663,0.5017,2.0,,,-0.646,,5.0,,10.0,828.0,0.7931,232.0,0.0946,0.0408,0.4095,,21.0,,10.0,0.9757,2.646,,0.568,3.6217,0.7927,1.4231
felipe,Felipe,CM,1.0,0.0775,26.769,6.1561,0.0,,,-0.4132,,1.0,,8.0,105.0,0.8806,67.0,6.6834,9.9752,0.0,,1.0,,1.0,0.9225,0.4132,,0.1885,1.3357,0.7808,0.2413
fernando-sanchez,Fernando Sanchez,W,0.0,0.0,15.5957,2.3,0.0,,,0.0,,0.0,,0.0,18.0,1.0,7.0,0.6249,8.9275,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.9107,0.0
franco-pérez,Franco Pérez,W,2.0,-1.187,17.738,1.8336,1.0,,,-0.292,,3.0,,19.0,1271.0,0.7463,670.0,-12.0579,-1.7997,0.0,,14.0,,7.0,3.187,1.292,,0.3992,4.479,0.7643,1.1514
ian-garrett,Ian Garrett,W,0.0,0.0,19.1083,3.2331,0.0,,,0.0,,0.0,,0.0,38.0,0.7059,17.0,-1.46,-8.5884,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.7918,0.0
jack-lynn,Jack Lynn,ST,0.0,-1.3435,16.4881,1.1622,19.0,,,4.1609,,19.0,,9.0,1953.0,0.7454,326.0,-10.2702,-3.1504,9.7191,,72.0,,40.0,1.3435,14.8391,,2.2353,16.1826,0.7769,8.3913
javier-otero,Javier Otero,GK,0.0,0.0,28.2965,20.6924,0.0,50.0,4.6368,0.0,1.1022,0.0,0.1371,0.0,2382.0,0.7958,666.0,-11.9275,-1.7909,0.0,71.0,0.0,124.0,0.0,0.0,0.0,45.3632,0.0,0.0,0.8137,0.0
jhon-solis,Jhon Solis,AM,4.0,0.9306,19.4604,5.8578,2.0,,,-0.8937,,6.0,,48.0,2550.0,0.8009,1361.0,3.104,0.2281,0.789,,39.0,,12.0,3.0694,2.8937,,0.0122,5.9631,0.7986,1.794
jorge-almaguer,Jorge Almaguer,CM,3.0,1.0989,18.6791,5.2295,1.0,,,0.574,,4.0,,32.0,2585.0,0.8534,1228.0,40.4915,3.2974,0.0138,,19.0,,4.0,1.9011,0.426,,0.1274,2.3271,0.8204,0.2639
juninho,Juninho,CM,4.0,0.9923,17.5566,2.3366,4.0,,,0.2192,,8.0,,32.0,2118.0,0.8817,1310.0,19.6913,1.5032,3.4188,,48.0,,17.0,3.0077,3.7808,,0.4624,6.7886,0.8666,2.3876
luca-petrasso,Luca Petrasso,FB,1.0,0.451,20.6519,-2.6327,0.0,,,0.0,,1.0,,3.0,62.0,0.8621,29.0,1.5044,5.1877,0.0,,0.0,,0.0,0.549,0.0,,0.0,0.549,0.8102,0.0
mason-stajduhar,Mason Stajduhar,GK,0.0,0.0,28.3843,21.0217,0.0,9.0,1.9697,0.0,1.2802,0.0,0.2,0.0,280.0,0.8427,89.0,0.9705,1.0904,0.0,5.0,0.0,15.0,0.0,0.0,0.0,7.0303,0.0,0.0,0.8318,0.0
moises-tablante,Moises Tablante,W,4.0,-0.9183,18.1057,0.1802,4.0,,,1.1015,,8.0,,29.0,1713.0,0.7732,745.0,7.6066,1.021,1.9747,,33.0,,11.0,4.9183,2.8985,,-0.7681,7.8167,0.7629,1.4548
nabilai-kibunguchy,Nabilai Kibunguchy,CB,0.0,-0.6767,20.9903,10.2049,4.0,,,1.9377,,4.0,,7.0,2621.0,0.8866,1438.0,33.1441,2.3049,2.5147,,26.0,,9.0,0.6767,2.0623,,0.2114,2.7389,0.8636,1.3578
rodrigo-schlegel,Rodrigo Schlegel,CB,0.0,0.0,21.8751,8.6849,1.0,,,0.6389,,1.0,,0.0,105.0,0.8906,64.0,2.9839,4.6624,0.5,,4.0,,1.0,0.0,0.3611,,0.287,0.3611,0.844,0.2214
shakur-mohammed,Shakur Mohammed,ST,4.0,0.5562,16.2073,-0.7961,6.0,,,3.0828,,10.0,,22.0,1606.0,0.842,576.0,19.4145,3.3706,1.8867,,34.0,,17.0,3.4438,2.9172,,0.8698,6.361,0.8083,1.277
tahir-reid-brown,Tahir Reid-Brown,FB,0.0,0.0,19.9964,4.5939,0.0,,,0.0,,0.0,,0.0,255.0,0.7971,69.0,-1.4234,-2.0629,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.8177,0.0
thomas-bowe,Thomas Bowe,,0.0,0.0,16.0089,-4.3844,0.0,,,0.0,,0.0,,0.0,19.0,0.8,5.0,0.0221,0.443,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.7956,0.0
thomas-williams,Thomas Williams,CB,0.0,-0.3754,22.0514,11.2168,0.0,,,-0.8429,,0.0,,3.0,953.0,0.868,500.0,1.4671,0.2934,0.0,,9.0,,1.0,0.3754,0.8429,,-0.8221,1.2183,0.8651,0.5696
wilfredo-rivera,Wilfredo Rivera,ST,3.0,1.4587,19.6985,0.7211,3.0,,,-0.767,,6.0,,17.0,879.0,0.785,307.0,5.9836,1.949,2.3341,,26.0,,10.0,1.5413,3.767,,0.0783,5.3084,0.7655,2.5245
zakaria-taifi,Zakaria Taifi,FB,1.0,-0.2451,19.6854,5.9729,0.0,,,-0.6824,,1.0,,7.0,1257.0,0.8091,529.0,-4.841,-0.9151,0.0,,13.0,,6.0,1.2451,0.6824,,0.0876,1.9274,0.8182,0.292
