player_id,player_name,positions,assists,assists_minus_xa,avg_pass_distance,avg_pass_vertical,goals,goals_conceded,goals_conceded_minus_xg,goals_minus_xg,goals_per_xg,goals_plus_assists,headed_shot_share,key_passes,minutes_played,pass_completion_pct,passes_attempted,passes_over_expected,passes_over_expected_p100,points_added,saves,shots,shots_faced,shots_on_target,xa,xg,xg_faced,xg_place,xg_plus_xa,xpass_completion_pct,xpoints_added
alexa-newfield,Alexa Newfield,AM,0.0,0.0,19.5827,1.1692,0.0,,,0.0,,0.0,,0.0,25.0,0.75,4.0,-0.1986,-4.9651,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.7997,0.0
andi-sullivan,Andi Sullivan,DM,1.0,0.0735,19.4479,4.5585,0.0,,,-2.7965,,1.0,,20.0,2139.0,0.7802,1010.0,6.113,0.6052,0.0,,35.0,,9.0,0.9265,2.7965,,-1.1596,3.723,0.7741,2.955
arielle-ship,Arielle Ship,ST,0.0,0.0,18.9843,8.0673,1.0,,,0.3318,,1.0,,0.0,52.0,0.4444,9.0,-1.0553,-11.7257,0.5381,,2.0,,2.0,0.0,0.6682,,0.2081,0.6682,0.5617,0.3888
ashley-hatch,Ashley Hatch,ST,1.0,-1.0499,15.1049,-0.3305,4.0,,,-1.8501,,5.0,,18.0,2073.0,0.6549,539.0,-24.9306,-4.6253,1.9835,,75.0,,22.0,2.0499,5.8501,,-0.6996,7.9,0.7012,3.9759
aubrey-kingsbury,Aubrey Kingsbury,GK,0.0,-0.1272,40.0856,34.8618,0.0,30.0,-5.203,-0.0616,0.8522,0.0,0.1151,1.0,2042.0,0.5475,769.0,-13.0368,-1.6953,0.0,108.0,1.0,139.0,0.0,0.1272,0.0616,35.203,-0.0616,0.1888,0.5644,0.0609
cali-farquharson,Cali Farquharson,W,0.0,-0.2007,14.3475,-3.2511,0.0,,,-0.2055,,0.0,,3.0,171.0,0.6923,52.0,-3.869,-7.4404,0.0,,3.0,,0.0,0.2007,0.2055,,-0.2055,0.4062,0.7667,0.0414
caprice-dydasco,Caprice Dydasco,FB,0.0,-2.0804,17.5619,7.8105,0.0,,,-0.5658,,0.0,,25.0,2102.0,0.7028,1346.0,-14.8689,-1.1047,0.0,,13.0,,4.0,2.0804,0.5658,,-0.0608,2.6462,0.7139,0.2656
dijana-haracic,Dijana Haracic,GK,0.0,0.0,36.053,31.5662,0.0,3.0,-2.7076,0.0,0.5256,0.0,0.1176,0.0,191.0,0.5735,68.0,-0.046,-0.0676,0.0,14.0,0.0,17.0,0.0,0.0,0.0,5.7076,0.0,0.0,0.5742,0.0
estefanía-banini,Estefanía Banini,W,0.0,-0.9907,15.5358,3.6208,1.0,,,-0.7018,,1.0,,15.0,942.0,0.7548,469.0,6.7745,1.4445,0.7185,,24.0,,9.0,0.9907,1.7018,,0.0202,2.6926,0.7404,1.3648
estelle-johnson,Estelle Johnson,CB,0.0,-0.1029,21.6345,10.0876,0.0,,,-0.112,,0.0,,1.0,2040.0,0.7894,864.0,2.9671,0.3434,0.0,,2.0,,1.0,0.1029,0.112,,0.0135,0.2149,0.7859,0.0413
francisca-ordega,Francisca Ordega,ST,0.0,-0.6794,15.106,-1.2897,3.0,,,-3.4101,,3.0,,13.0,1270.0,0.6149,296.0,-28.1914,-9.5241,1.9583,,34.0,,12.0,0.6794,6.4101,,-1.2546,7.0895,0.7101,4.6116
havana-solaun,Havana Solaun,CM,1.0,0.2054,15.486,3.2548,0.0,,,-0.336,,1.0,,10.0,541.0,0.7074,229.0,-9.3844,-4.098,0.0,,6.0,,0.0,0.7946,0.336,,-0.336,1.1307,0.7484,0.2767
joanna-lohman,Joanna Lohman,CM,0.0,-0.0686,13.2473,1.7129,1.0,,,-0.3156,,1.0,,1.0,483.0,0.7396,169.0,3.3139,1.9609,0.9104,,10.0,,3.0,0.0686,1.3156,,-0.3753,1.3842,0.72,0.9221
kelsey-wys,Kelsey Wys,GK,0.0,0.0,34.2104,29.1743,0.0,2.0,0.2134,0.0,1.1194,0.0,0.0,0.0,96.0,0.6552,29.0,-1.5755,-5.4328,0.0,2.0,0.0,4.0,0.0,0.0,0.0,1.7866,0.0,0.0,0.7095,0.0
