player_id,player_name,positions,assists,assists_minus_xa,avg_pass_distance,avg_pass_vertical,goals,goals_conceded,goals_conceded_minus_xg,goals_minus_xg,goals_per_xg,goals_plus_assists,headed_shot_share,key_passes,minutes_played,pass_completion_pct,passes_attempted,passes_over_expected,passes_over_expected_p100,points_added,saves,shots,shots_faced,shots_on_target,xa,xg,xg_faced,xg_place,xg_plus_xa,xpass_completion_pct,xpoints_added
abby-smith,Abby Smith,,0.0,0.0,36.6158,28.7355,0.0,18.0,5.4633,0.0,1.4358,0.0,0.2264,0.0,1638.0,0.642,676.0,-13.5157,-1.9994,0.0,31.0,0.0,53.0,0.0,0.0,0.0,12.5367,0.0,0.0,0.662,0.0
amy-rodriguez,Amy Rodriguez,ST,1.0,0.4655,15.2852,-1.259,5.0,,,-0.8867,,6.0,,12.0,1376.0,0.7057,333.0,-23.5474,-7.0713,4.3617,,45.0,,19.0,0.5345,5.8867,,0.4305,6.4213,0.7764,3.7575
becca-moros,Becca Moros,FB,0.0,-0.8281,17.8163,8.3559,0.0,,,-0.0125,,0.0,,9.0,2026.0,0.7527,1205.0,36.7824,3.0525,0.0,,1.0,,0.0,0.8281,0.0125,,-0.0125,0.8407,0.7222,0.0112
becky-sauerbrunn,Becky Sauerbrunn,CB,0.0,-0.2741,21.0811,6.9548,0.0,,,-0.1075,,0.0,,3.0,1870.0,0.8604,1053.0,48.4758,4.6036,0.0,,3.0,,0.0,0.2741,0.1075,,-0.1075,0.3816,0.8144,0.0906
brittany-ratcliffe,Brittany Ratcliffe,W,0.0,-0.0219,13.926,0.5247,2.0,,,1.8925,,2.0,,1.0,407.0,0.6296,108.0,-7.7282,-7.1557,0.6429,,4.0,,3.0,0.0219,0.1075,,0.9304,0.1294,0.7012,0.1048
brooke-elby,Brooke Elby,FB,0.0,0.0,14.7569,3.8248,0.0,,,-0.2632,,0.0,,0.0,619.0,0.7042,311.0,-5.8307,-1.8748,0.0,,7.0,,1.0,0.0,0.2632,,-0.1293,0.2632,0.7229,0.2311
christen-press,Christen Press,ST,2.0,0.8473,19.3605,3.8456,2.0,,,-1.0647,,4.0,,11.0,1057.0,0.6495,368.0,-17.0775,-4.6406,1.7718,,41.0,,17.0,1.1527,3.0647,,-0.8527,4.2174,0.6959,2.1366
desiree-scott,Desiree Scott,DM,0.0,-0.1689,16.0799,3.398,0.0,,,-0.1082,,0.0,,4.0,1966.0,0.8203,907.0,21.5809,2.3794,0.0,,4.0,,0.0,0.1689,0.1082,,-0.1082,0.2771,0.7965,0.0734
diana-matheson,Diana Matheson,W,1.0,-0.762,15.1194,2.4054,2.0,,,0.5038,,3.0,,17.0,1478.0,0.7086,628.0,-11.6161,-1.8497,0.5919,,15.0,,7.0,1.762,1.4962,,0.508,3.2582,0.7271,0.8981
elise-thorsnes,Elise Thorsnes,W,0.0,-0.1368,15.7556,3.4586,0.0,,,-0.0657,,0.0,,3.0,397.0,0.6626,163.0,-3.0456,-1.8685,0.0,,2.0,,0.0,0.1368,0.0657,,-0.0657,0.2025,0.6813,0.0461
