player_id,player_name,positions,assists,assists_minus_xa,avg_pass_distance,avg_pass_vertical,goals,goals_conceded,goals_conceded_minus_xg,goals_minus_xg,goals_per_xg,goals_plus_assists,headed_shot_share,key_passes,minutes_played,pass_completion_pct,passes_attempted,passes_over_expected,passes_over_expected_p100,points_added,saves,shots,shots_faced,shots_on_target,xa,xg,xg_faced,xg_place,xg_plus_xa,xpass_completion_pct,xpoints_added
alexander-mangels,Alexander Mangels,GK,0.0,0.0,33.0649,23.2382,0.0,16.0,1.5683,0.0,1.1087,0.0,0.2128,0.0,1513.0,0.7739,398.0,5.2253,1.3129,0.0,30.0,0.0,47.0,0.0,0.0,0.0,14.4317,0.0,0.0,0.7607,0.0
alexi-jaimes,Alexi Jaimes,W,0.0,-0.1565,16.5218,0.9747,0.0,,,-0.068,,0.0,,2.0,184.0,0.7959,49.0,2.4768,5.0547,0.0,,2.0,,2.0,0.1565,0.068,,-0.018,0.2244,0.7454,0.0824
amirgy-pineda,Amirgy Pineda,AM,1.0,0.6824,23.7965,9.1413,0.0,,,-0.34,,1.0,,4.0,226.0,0.589,73.0,-4.4147,-6.0476,0.0,,6.0,,2.0,0.3176,0.34,,-0.1886,0.6576,0.6495,0.2186
conor-doyle,Conor Doyle,AM,1.0,-0.4295,19.4529,1.2642,0.0,,,-0.4925,,1.0,,10.0,1380.0,0.7606,493.0,-11.7588,-2.3852,0.0,,12.0,,8.0,1.4295,0.4925,,0.0902,1.922,0.7845,0.2957
greg-hurst,Greg Hurst,ST,2.0,-0.5866,20.316,2.3446,8.0,,,1.8239,,10.0,,17.0,1004.0,0.6667,234.0,-7.0318,-3.005,4.8634,,33.0,,17.0,2.5866,6.1761,,1.6024,8.7627,0.6967,4.1893
isaiah-dargan,Isaiah Dargan,DM,0.0,0.0,20.919,12.5446,0.0,,,0.0,,0.0,,0.0,13.0,0.6667,6.0,0.6116,10.1925,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.5647,0.0
jason-ramos,Jason Ramos,CB,1.0,0.6258,29.4204,12.4375,1.0,,,0.8475,,2.0,,3.0,1299.0,0.7773,696.0,3.9731,0.5708,0.2752,,8.0,,1.0,0.3742,0.1525,,0.2831,0.5268,0.7716,0.1109
jonathan-ricketts,Jonathan Ricketts,FB,0.0,-0.9735,20.0899,6.6776,0.0,,,-1.2876,,0.0,,8.0,1348.0,0.7286,689.0,1.693,0.2457,0.0,,11.0,,3.0,0.9735,1.2876,,-0.3059,2.2611,0.7261,0.625
josue-soto,Josue Soto,DM,2.0,1.104,23.3279,5.7645,0.0,,,-0.1923,,2.0,,12.0,1374.0,0.8701,747.0,13.5834,1.8184,0.0,,5.0,,1.0,0.896,0.1923,,-0.1632,1.0882,0.852,0.177
leo-folla,Leo Folla,CB,0.0,-0.0928,26.6647,12.8879,0.0,,,-0.3145,,0.0,,2.0,1246.0,0.7861,631.0,-1.1377,-0.1803,0.0,,4.0,,1.0,0.0928,0.3145,,0.0765,0.4073,0.7879,0.1154
mark-hernández,Mark Hernández,W,4.0,2.294,18.6147,0.8129,4.0,,,0.7502,,8.0,,12.0,792.0,0.6647,173.0,0.2031,0.1174,2.0755,,16.0,,9.0,1.706,3.2498,,0.4369,4.9558,0.6636,1.5033
nikolaos-pettas,Nikolaos Pettas,DM,0.0,0.0,10.1676,7.015,0.0,,,0.0,,0.0,,0.0,8.0,1.0,1.0,0.1751,17.5052,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.8249,0.0
patrick-okonkwo,Patrick Okonkwo,ST,0.0,0.0,12.0169,-3.1181,0.0,,,-0.0495,,0.0,,0.0,116.0,0.8462,13.0,1.5003,11.541,0.0,,1.0,,0.0,0.0,0.0495,,-0.0495,0.0495,0.7307,0.0929
ricardo-zacarias,Ricardo Zacarias,ST,1.0,-0.5239,14.7837,-2.9154,2.0,,,-1.1024,,3.0,,10.0,1049.0,0.7742,279.0,-5.2689,-1.8885,1.1399,,23.0,,11.0,1.5239,3.1024,,0.1811,4.6263,0.7931,2.0536
ricky-ruiz,Ricky Ruiz,FB,2.0,0.2438,22.4856,7.149,0.0,,,-0.3422,,2.0,,18.0,1414.0,0.7208,702.0,6.7203,0.9573,0.0,,6.0,,2.0,1.7562,0.3422,,-0.1338,2.0984,0.7112,0.2936
ronaldo-pineda,Ronaldo Pineda,FB,2.0,1.0168,16.8695,0.9131,0.0,,,-1.9384,,2.0,,10.0,807.0,0.6786,252.0,-8.0891,-3.21,0.0,,17.0,,6.0,0.9832,1.9384,,-1.2144,2.9216,0.7107,1.0217
steven-beattie,Steven Beattie,W,0.0,-0.1372,15.044,-1.6016,2.0,,,1.3398,,2.0,,2.0,262.0,0.7692,52.0,1.0452,2.01,0.1006,,7.0,,4.0,0.1372,0.6602,,0.7768,0.7974,0.7491,0.4408
tanner-dieterich,Tanner Dieterich,CM,0.0,-0.0801,17.3503,0.3933,2.0,,,1.4038,,2.0,,3.0,1048.0,0.8249,354.0,3.9329,1.111,1.0388,,6.0,,2.0,0.0801,0.5962,,0.1983,0.6764,0.8137,0.5407
travis-nicklaw,Travis Nicklaw,CB,0.0,-0.1255,29.3961,14.277,0.0,,,-0.0312,,0.0,,1.0,584.0,0.7561,246.0,-3.0781,-1.2512,0.0,,2.0,,0.0,0.1255,0.0312,,-0.0312,0.1566,0.7686,0.0287
ualefi,Ualefi,CM,1.0,0.0978,19.4103,1.5696,1.0,,,0.5262,,2.0,,7.0,727.0,0.7571,247.0,-8.0977,-3.2784,1.0018,,8.0,,3.0,0.9022,0.4738,,0.1677,1.376,0.7899,0.2741
