player_id,player_name,positions,assists,assists_minus_xa,avg_pass_distance,avg_pass_vertical,goals,goals_conceded,goals_conceded_minus_xg,goals_minus_xg,goals_per_xg,goals_plus_assists,headed_shot_share,key_passes,minutes_played,pass_completion_pct,passes_attempted,passes_over_expected,passes_over_expected_p100,points_added,saves,shots,shots_faced,shots_on_target,xa,xg,xg_faced,xg_place,xg_plus_xa,xpass_completion_pct,xpoints_added
ale-santana,Ale Santana,CM,0.0,-0.7256,15.629,0.6447,1.0,,,0.0461,,1.0,,8.0,281.0,0.8,90.0,-0.3531,-0.3923,0.9428,,6.0,,1.0,0.7256,0.9539,,-0.4068,1.6796,0.8039,0.7281
alex-bruce,Alex Bruce,ST,0.0,-0.2712,18.84,0.2336,1.0,,,-1.3224,,1.0,,2.0,609.0,0.6783,115.0,-6.1678,-5.3633,1.8629,,11.0,,4.0,0.2712,2.3224,,-0.5138,2.5936,0.7319,2.2347
alisson,Alisson,CB,0.0,-0.0474,24.9659,11.3887,0.0,,,-0.4534,,0.0,,2.0,803.0,0.7978,445.0,-6.6903,-1.5034,0.0,,7.0,,0.0,0.0474,0.4534,,-0.4534,0.5008,0.8128,0.1879
benjamin-redzic,Benjamin Redzic,W,0.0,-0.2346,17.0733,2.5737,0.0,,,-0.3527,,0.0,,3.0,162.0,0.7931,58.0,1.9991,3.4468,0.0,,2.0,,1.0,0.2346,0.3527,,-0.2067,0.5873,0.7586,0.1105
bernard-kamungo,Bernard Kamungo,W,0.0,-1.5002,18.0617,-0.1159,6.0,,,2.7214,,6.0,,15.0,1237.0,0.7339,233.0,-2.3006,-0.9874,1.9605,,27.0,,12.0,1.5002,3.2786,,1.4101,4.7787,0.7438,1.2892
blaine-ferri,Blaine Ferri,CM,4.0,2.248,21.0298,4.1456,0.0,,,-0.6753,,4.0,,24.0,1599.0,0.8007,888.0,13.4932,1.5195,0.0,,13.0,,4.0,1.752,0.6753,,-0.2844,2.4273,0.7855,0.3787
caiser-gomes,Caiser Gomes,CB,1.0,0.8342,25.4565,9.8395,0.0,,,-0.4702,,1.0,,4.0,1837.0,0.8872,966.0,17.8349,1.8463,0.0,,8.0,,0.0,0.1658,0.4702,,-0.4702,0.636,0.8687,0.2793
colin-shutler,Colin Shutler,GK,0.0,0.0,28.4833,17.5172,0.0,12.0,-2.1748,0.0,0.8466,0.0,0.1395,0.0,980.0,0.8588,340.0,-4.8045,-1.4131,0.0,30.0,0.0,43.0,0.0,0.0,0.0,14.1748,0.0,0.0,0.873,0.0
collin-smith,Collin Smith,FB,0.0,-1.0111,19.969,5.1436,0.0,,,-0.9095,,0.0,,11.0,1891.0,0.7734,790.0,9.3832,1.1878,0.0,,15.0,,3.0,1.0111,0.9095,,-0.854,1.9206,0.7615,0.5679
derek-waldeck,Derek Waldeck,FB,4.0,1.3166,22.2425,6.038,0.0,,,-1.2219,,4.0,,26.0,2384.0,0.7689,1532.0,14.9047,0.9729,0.0,,13.0,,1.0,2.6834,1.2219,,-1.0734,3.9053,0.7592,0.9531
