player_id,player_name,positions,assists,assists_minus_xa,avg_pass_distance,avg_pass_vertical,goals,goals_conceded,goals_conceded_minus_xg,goals_minus_xg,goals_per_xg,goals_plus_assists,headed_shot_share,key_passes,minutes_played,pass_completion_pct,passes_attempted,passes_over_expected,passes_over_expected_p100,points_added,saves,shots,shots_faced,shots_on_target,xa,xg,xg_faced,xg_place,xg_plus_xa,xpass_completion_pct,xpoints_added
britton-fischer,Britton Fischer,CB,0.0,-0.0128,23.9859,8.1159,0.0,,,-0.4077,,0.0,,1.0,891.0,0.8837,576.0,4.4917,0.7798,0.0,,7.0,,0.0,0.0128,0.4077,,-0.4077,0.4204,0.8759,0.3396
caden-tolentino,Caden Tolentino,W,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,0.0,7.0,0.0,4.0,-2.6673,-66.6817,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.6668,0.0
christian-young,Christian Young,LB,1.0,-1.2048,20.5789,5.6033,1.0,,,0.1886,,2.0,,26.0,2793.0,0.7451,1589.0,7.6393,0.4808,0.059,,10.0,,2.0,2.2048,0.8114,,-0.0063,3.0162,0.7403,0.4197
drew-kerr,Drew Kerr,W,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,0.0,35.0,0.0,4.0,-1.3988,-34.97,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.3497,0.0
garrett-mclaughlin,Garrett McLaughlin,ST,2.0,-0.5506,16.4743,-0.7954,14.0,,,1.9653,,16.0,,21.0,2631.0,0.6614,570.0,-26.3562,-4.6239,8.4778,,59.0,,30.0,2.5506,12.0347,,2.9474,14.5852,0.7076,8.0792
gustavo-fernandes,Gustavo Fernandes,CB,0.0,0.0,25.4778,9.9814,0.0,,,-1.7293,,0.0,,0.0,2372.0,0.8666,1372.0,14.2818,1.0409,0.0,,20.0,,3.0,0.0,1.7293,,-1.6252,1.7293,0.8562,1.6474
jaden-servania,Jaden Servania,W,2.0,-0.6608,21.4702,1.2591,3.0,,,0.4641,,5.0,,31.0,2022.0,0.7782,541.0,9.9876,1.8461,3.3891,,34.0,,8.0,2.6608,2.5359,,-0.6662,5.1967,0.7597,2.3749
john-mcdowell,John McDowell,DM,0.0,0.0,30.4097,13.455,0.0,,,0.0,,0.0,,0.0,7.0,1.0,4.0,0.7493,18.7321,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.8127,0.0
jordan-skelton,Jordan Skelton,CB,1.0,0.2028,26.826,10.4146,0.0,,,-1.2396,,1.0,,3.0,2907.0,0.8476,1817.0,25.9758,1.4296,0.0,,15.0,,5.0,0.7972,1.2396,,0.0272,2.0368,0.8333,0.9435
luis-arriaga,Luis Arriaga,CM,4.0,0.8267,22.1425,1.6172,2.0,,,-0.5485,,6.0,,33.0,2566.0,0.7633,976.0,-1.8731,-0.1919,1.5013,,26.0,,11.0,3.1733,2.5485,,0.0799,5.7218,0.7652,1.9704
marvin-mariche,Marvin Mariche,AM,0.0,0.0,14.2053,-2.7025,0.0,,,-0.1717,,0.0,,0.0,38.0,0.8,10.0,-0.2681,-2.6808,0.0,,1.0,,0.0,0.0,0.1717,,-0.1717,0.1717,0.8268,0.0019
