player_id,player_name,positions,assists,assists_minus_xa,avg_pass_distance,avg_pass_vertical,goals,goals_conceded,goals_conceded_minus_xg,goals_minus_xg,goals_per_xg,goals_plus_assists,headed_shot_share,key_passes,minutes_played,pass_completion_pct,passes_attempted,passes_over_expected,passes_over_expected_p100,points_added,saves,shots,shots_faced,shots_on_target,xa,xg,xg_faced,xg_place,xg_plus_xa,xpass_completion_pct,xpoints_added
alex-muyl,Alex Muyl,W,0.0,-0.4759,11.5694,2.0249,0.0,,,-0.0423,,0.0,,1.0,152.0,0.6038,53.0,-5.7548,-10.858,0.0,,1.0,,0.0,0.4759,0.0423,,-0.0423,0.5182,0.7124,0.0593
allen-yanes,Allen Yanes,FB,1.0,0.332,16.6762,8.9825,0.0,,,-0.0857,,1.0,,7.0,962.0,0.735,483.0,19.8193,4.1034,0.0,,4.0,,1.0,0.668,0.0857,,-0.0639,0.7536,0.694,0.0523
amando-moreno,Amando Moreno,W,4.0,1.664,13.8282,1.4373,11.0,,,2.3449,,15.0,,18.0,2002.0,0.7055,635.0,-20.0717,-3.1609,3.4333,,72.0,,25.0,2.336,8.6551,,-0.142,10.9911,0.7371,3.3644
anatole-bertrand-abang,Anatole Bertrand-Abang,ST,0.0,-0.47,14.2345,-0.1101,3.0,,,0.0774,,3.0,,4.0,452.0,0.6159,151.0,-13.9114,-9.2129,2.0323,,20.0,,11.0,0.47,2.9226,,-0.4284,3.3926,0.708,1.3539
andreas-ivan,Andreas Ivan,W,0.0,-0.4647,16.3814,1.9538,1.0,,,0.4656,,1.0,,5.0,126.0,0.6512,43.0,1.6754,3.8964,0.5881,,8.0,,4.0,0.4647,0.5344,,0.6744,0.9991,0.6122,0.3186
andrew-tinari,Andrew Tinari,AM,3.0,-5.3277,17.5441,5.8304,7.0,,,0.741,,10.0,,108.0,3178.0,0.7238,1734.0,16.4119,0.9465,2.5699,,74.0,,23.0,8.3277,6.259,,0.8322,14.5868,0.7143,2.5603
ben-mines,Ben Mines,W,0.0,-2.9436,16.706,2.759,1.0,,,-0.0629,,1.0,,20.0,866.0,0.554,278.0,-18.2648,-6.5701,0.0413,,17.0,,5.0,2.9436,1.0629,,0.2033,4.0065,0.6197,0.5705
brian-white,Brian White,ST,4.0,1.7445,14.0537,0.8725,10.0,0.0,0.0,-1.9483,0.0,14.0,0.0,23.0,1922.0,0.6838,582.0,-16.7099,-2.8711,5.5029,0.0,61.0,0.0,26.0,2.2555,11.9483,0.0,-2.068,14.2037,0.7126,5.3866
carlos-rivas,Carlos Rivas,W,1.0,0.8038,20.9674,9.4774,1.0,,,0.0514,,2.0,,3.0,184.0,0.5333,60.0,-3.6449,-6.0748,0.389,,7.0,,1.0,0.1962,0.9486,,-0.0872,1.1447,0.5941,0.4174
chris-lema,Chris Lema,DM,5.0,0.0188,19.8019,9.0637,1.0,,,-1.4083,,6.0,,49.0,2650.0,0.6673,1569.0,-67.8767,-4.3261,0.3975,,37.0,,9.0,4.9812,2.4083,,-1.1575,7.3895,0.7106,0.6483
connor-lade,Connor Lade,FB,0.0,-0.0183,17.3884,8.2879,0.0,,,0.0,,0.0,,1.0,128.0,0.6628,86.0,-3.9314,-4.5714,0.0,,0.0,,0.0,0.0183,0.0,,0.0,0.0183,0.7085,0.0
cristian-cásseres-jr,Cristian Cásseres Jr,DM,2.0,1.1802,16.8977,6.7972,3.0,,,-3.3786,,5.0,,12.0,1955.0,0.7443,1099.0,-16.6466,-1.5147,1.4684,,50.0,,9.0,0.8198,6.3786,,-2.703,7.1984,0.7595,3.3376
derrick-etienne-jr,Derrick Etienne Jr.,W,0.0,0.0,17.9798,3.4492,1.0,,,0.1222,,1.0,,0.0,132.0,0.6341,41.0,-1.9432,-4.7395,0.3746,,4.0,,2.0,0.0,0.8778,,0.5724,0.8778,0.6815,0.4944
ethan-kutler,Ethan Kutler,FB,2.0,0.8174,19.9475,8.7497,2.0,,,0.107,,4.0,,22.0,2563.0,0.7157,1449.0,-9.9314,-0.6854,0.2907,,48.0,,16.0,1.1826,1.893,,0.0323,3.0757,0.7225,1.1498
evan-louro,Evan Louro,GK,0.0,0.0,41.065,33.936,0.0,47.0,1.7904,0.0,1.0396,0.0,0.1532,0.0,2817.0,0.6424,850.0,13.9854,1.6453,0.0,74.0,0.0,124.0,0.0,0.0,0.0,45.2096,0.0,0.0,0.6259,0.0
