player_id,player_name,positions,assists,assists_minus_xa,avg_pass_distance,avg_pass_vertical,goals,goals_conceded,goals_conceded_minus_xg,goals_minus_xg,goals_per_xg,goals_plus_assists,headed_shot_share,key_passes,minutes_played,pass_completion_pct,passes_attempted,passes_over_expected,passes_over_expected_p100,points_added,saves,shots,shots_faced,shots_on_target,xa,xg,xg_faced,xg_place,xg_plus_xa,xpass_completion_pct,xpoints_added
andrew-lubahn,Andrew Lubahn,FB,0.0,-0.9057,18.0109,4.6156,1.0,,,0.1228,,1.0,,5.0,848.0,0.7301,489.0,-2.0698,-0.4233,0.0004,,5.0,,2.0,0.9057,0.8772,,0.1216,1.7829,0.7343,0.095
bakie-goodman,Bakie Goodman,W,0.0,0.0,14.5112,-0.2624,0.0,,,0.0,,0.0,,0.0,65.0,0.7143,21.0,-0.3647,-1.7365,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.7317,0.0
ben-zemanski,Ben Zemanski,CM,2.0,0.119,19.1968,3.5288,3.0,,,1.4942,,5.0,,31.0,1775.0,0.76,921.0,-0.0407,-0.0044,2.281,,17.0,,7.0,1.881,1.5058,,2.2761,3.3868,0.7601,0.8304
benjamin-fitzpatrick,Benjamin Fitzpatrick,FB,0.0,-0.8734,14.6547,2.2912,1.0,,,0.1976,,1.0,,2.0,180.0,0.625,56.0,-3.6157,-6.4567,0.001,,5.0,,3.0,0.8734,0.8024,,0.1894,1.6758,0.6896,0.2588
christiano-françois,Christiano François,W,5.0,-1.9347,18.9745,0.1823,4.0,,,-3.2698,,9.0,,59.0,2776.0,0.6897,1073.0,-18.6049,-1.7339,2.0583,,67.0,,22.0,6.9347,7.2698,,-2.1292,14.2045,0.707,5.348
connor-maloney,Connor Maloney,FB,0.0,-0.1785,18.8959,6.1757,0.0,,,-0.0247,,0.0,,1.0,175.0,0.6707,82.0,-6.0969,-7.4352,0.0,,1.0,,1.0,0.1785,0.0247,,0.0541,0.2032,0.7451,0.0136
daniel-lynd,Daniel Lynd,GK,0.0,0.0,47.8933,42.889,0.0,21.0,-0.4754,0.0,0.9779,0.0,0.1831,0.0,2539.0,0.4551,824.0,-40.1132,-4.8681,0.0,46.0,0.0,71.0,0.0,0.0,0.0,21.4754,0.0,0.0,0.5038,0.0
dennis-chin,Dennis Chin,ST,0.0,0.0,12.3783,-1.8283,0.0,,,-0.4453,,0.0,,0.0,71.0,0.8235,17.0,0.8094,4.7609,0.0,,1.0,,0.0,0.0,0.4453,,-0.4453,0.4453,0.7759,0.4339
hugh-roberts,Hugh Roberts,CB,1.0,0.738,21.1613,9.6277,2.0,,,-0.3449,,3.0,,4.0,2167.0,0.7228,909.0,-10.7998,-1.1881,0.4706,,17.0,,4.0,0.262,2.3449,,-0.2537,2.6069,0.7347,0.7443
jordan-dover,Jordan Dover,FB,0.0,-1.0268,17.6779,6.161,2.0,,,-0.4586,,2.0,,14.0,2881.0,0.7017,1626.0,-39.5165,-2.4303,0.438,,22.0,,9.0,1.0268,2.4586,,0.0691,3.4854,0.726,1.097
joseph-greenspan,Joseph Greenspan,CB,0.0,-0.816,26.5399,13.6893,3.0,,,1.4893,,3.0,,6.0,2200.0,0.6941,922.0,-10.8654,-1.1785,2.2811,,20.0,,5.0,0.816,1.5107,,0.4061,2.3267,0.7059,1.2023
joseph-holland,Joseph Holland,CM,1.0,0.143,17.5436,0.971,0.0,,,-1.2073,,1.0,,9.0,415.0,0.6904,197.0,-6.7406,-3.4216,0.0,,17.0,,9.0,0.857,1.2073,,0.5399,2.0644,0.7246,1.0819
kay-banjo,Kay Banjo,ST,1.0,0.2133,16.6878,3.7456,1.0,,,-1.1929,,2.0,,8.0,533.0,0.6133,150.0,-7.7782,-5.1854,0.4118,,9.0,,2.0,0.7867,2.1929,,-1.1554,2.9796,0.6652,1.5265
kenardo-forbes,Kenardo Forbes,CM,8.0,0.3109,21.1912,6.2072,4.0,,,-2.5895,,12.0,,58.0,2979.0,0.7864,2046.0,36.5195,1.7849,2.434,,64.0,,22.0,7.6891,6.5895,,-0.4474,14.2786,0.7686,4.4286
kevin-kerr,Kevin Kerr,W,3.0,-0.3621,20.6304,4.0302,2.0,,,-0.1942,,5.0,,35.0,1439.0,0.6449,659.0,-18.6187,-2.8253,0.3293,,20.0,,7.0,3.3621,2.1942,,-0.2467,5.5563,0.6732,1.4641
kyle-morton,Kyle Morton,GK,0.0,0.0,49.6141,43.7909,0.0,0.0,-0.2336,0.0,0.0,0.0,0.0,0.0,293.0,0.4766,107.0,-2.764,-2.5832,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.2336,0.0,0.0,0.5025,0.0
michael-kirk,Michael Kirk,GK,0.0,-0.6257,48.0414,43.3169,0.0,6.0,0.504,0.0,1.0917,0.0,0.05,1.0,603.0,0.456,182.0,-8.8736,-4.8756,0.0,13.0,0.0,20.0,0.0,0.6257,0.0,5.496,0.0,0.6257,0.5048,0.0
mouhamed-dabo,Mouhamed Dabo,CM,0.0,-1.127,19.0785,4.167,1.0,,,0.8772,,1.0,,7.0,2113.0,0.808,969.0,5.536,0.5713,0.5576,,5.0,,2.0,1.127,0.1228,,0.5163,1.2499,0.8023,0.0477
neco-brett,Neco Brett,ST,8.0,3.8587,15.23,0.7903,15.0,,,-0.4731,,23.0,,33.0,2518.0,0.6495,622.0,-44.063,-7.0841,4.5423,,85.0,,38.0,4.1413,15.4731,,1.0094,19.6144,0.7204,9.2156
noah-franke,Noah Franke,FB,0.0,-0.1672,18.76,3.1425,0.0,,,-0.796,,0.0,,3.0,439.0,0.7134,157.0,-2.06,-1.3121,0.0,,8.0,,1.0,0.1672,0.796,,-0.7181,0.9632,0.7265,0.3085
raymond-lee,Raymond Lee,FB,3.0,0.094,21.1164,9.297,0.0,,,-0.2523,,3.0,,21.0,2329.0,0.6189,1325.0,-65.3316,-4.9307,0.0,,7.0,,1.0,2.906,0.2523,,-0.1848,3.1584,0.6682,0.264
romeo-parkes,Romeo Parkes,ST,0.0,-2.2198,15.7576,2.1748,5.0,,,-1.5662,,5.0,,20.0,1585.0,0.5849,477.0,-19.5374,-4.0959,1.2965,,57.0,,19.0,2.2198,6.5662,,-1.2203,8.786,0.6259,4.0391
thomas-vancaeyezeele,Thomas Vancaeyezeele,CB,1.0,-0.2156,20.2631,7.906,2.0,,,-1.7924,,3.0,,10.0,3271.0,0.7509,1606.0,-13.9849,-0.8708,0.6229,,32.0,,4.0,1.2156,3.7924,,-2.3231,5.0081,0.7596,1.9434
tobi-adewole,Tobi Adewole,CB,0.0,-0.0313,23.4952,9.3863,1.0,,,0.0201,,1.0,,1.0,1952.0,0.7354,771.0,-14.178,-1.8389,0.2777,,6.0,,2.0,0.0313,0.9799,,-0.0708,1.0112,0.7538,0.4061
todd-pratzner,Todd Pratzner,CB,1.0,0.7293,22.7509,8.8821,0.0,,,-0.0906,,1.0,,3.0,1625.0,0.7287,645.0,-7.7625,-1.2035,0.0,,2.0,,0.0,0.2707,0.0906,,-0.0906,0.3613,0.7407,0.0641
