player_id,player_name,positions,assists,assists_minus_xa,avg_pass_distance,avg_pass_vertical,goals,goals_conceded,goals_conceded_minus_xg,goals_minus_xg,goals_per_xg,goals_plus_assists,headed_shot_share,key_passes,minutes_played,pass_completion_pct,passes_attempted,passes_over_expected,passes_over_expected_p100,points_added,saves,shots,shots_faced,shots_on_target,xa,xg,xg_faced,xg_place,xg_plus_xa,xpass_completion_pct,xpoints_added
aj-cochran,A.J. Cochran,CB,2.0,-0.0524,24.6637,10.1808,0.0,,,-0.9884,,2.0,,15.0,2928.0,0.8141,1926.0,19.5469,1.0149,0.0,,22.0,,2.0,2.0524,0.9884,,-0.68,3.0408,0.804,0.8462
alec-kann,Alec Kann,GK,0.0,0.0,35.4816,23.2,0.0,9.0,-0.9296,0.0,0.9064,0.0,0.2286,0.0,691.0,0.8274,336.0,9.8958,2.9452,0.0,24.0,0.0,35.0,0.0,0.0,0.0,9.9296,0.0,0.0,0.7979,0.0
alessandro-castro,Alessandro Castro,CM,0.0,-0.4871,20.3852,1.1389,1.0,,,0.6832,,1.0,,7.0,683.0,0.8496,266.0,-1.9594,-0.7366,0.5615,,8.0,,3.0,0.4871,0.3168,,0.9269,0.804,0.857,0.2335
andrew-carleton,Andrew Carleton,AM,2.0,0.0819,23.115,1.6306,2.0,,,-1.3646,,4.0,,28.0,1263.0,0.7018,570.0,-34.4621,-6.046,2.4541,,33.0,,10.0,1.9181,3.3646,,-0.76,5.2828,0.7622,3.1531
andrew-kendall-moullin,Andrew Kendall-Moullin,CB,0.0,-0.1323,23.479,5.6636,0.0,,,-1.4736,,0.0,,3.0,2137.0,0.8627,1282.0,8.5611,0.6678,0.0,,13.0,,2.0,0.1323,1.4736,,-0.8268,1.606,0.856,1.0078
andrew-wheeler-omiunu,Andrew Wheeler-Omiunu,CM,0.0,-0.3709,20.0693,4.3939,0.0,,,-0.5145,,0.0,,7.0,903.0,0.8308,526.0,10.8746,2.0674,0.0,,4.0,,1.0,0.3709,0.5145,,-0.4939,0.8854,0.8101,0.4162
blake-white,Blake White,W,0.0,0.0,32.9445,9.1281,0.0,,,0.0,,0.0,,0.0,12.0,0.6667,6.0,-0.8829,-14.7147,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.8138,0.0
brandon-vázquez,Brandon Vázquez,ST,0.0,-0.2048,15.9084,-0.5108,2.0,,,-0.2297,,2.0,,3.0,409.0,0.6567,134.0,-14.2868,-10.6618,0.7074,,12.0,,4.0,0.2048,2.2297,,-0.234,2.4345,0.7633,0.6674
chris-goslin,Chris Goslin,CM,0.0,-0.8497,21.273,2.6666,0.0,,,-1.0319,,0.0,,15.0,1518.0,0.8494,737.0,-9.9757,-1.3536,0.0,,29.0,,4.0,0.8497,1.0319,,-0.5756,1.8817,0.8629,0.6748
devon-sandoval,Devon Sandoval,ST,0.0,-0.4826,14.1509,-0.5369,3.0,,,-0.3843,,3.0,,11.0,1644.0,0.7139,409.0,-8.0526,-1.9688,1.4299,,25.0,,8.0,0.4826,3.3843,,-0.322,3.8669,0.7336,1.9354
diego-lópez,Diego López,W,0.0,0.0,16.2746,6.21,0.0,,,0.0,,0.0,,0.0,28.0,0.25,4.0,-2.0692,-51.7304,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.7673,0.0
dylan-gaither,Dylan Gaither,W,0.0,-0.0185,15.6015,2.9575,1.0,,,0.2473,,1.0,,1.0,127.0,0.6667,33.0,-2.2775,-6.9016,1.9088,,3.0,,1.0,0.0185,0.7527,,-0.0012,0.7711,0.7357,1.3166
george-bello,George Bello,FB,0.0,-0.0121,16.1267,1.5022,0.0,,,-0.032,,0.0,,1.0,441.0,0.7588,228.0,-6.4582,-2.8325,0.0,,1.0,,0.0,0.0121,0.032,,-0.032,0.0441,0.7871,0.0634
jack-metcalf,Jack Metcalf,FB,1.0,-1.6373,20.7031,4.0426,0.0,,,-0.3299,,1.0,,38.0,2659.0,0.8218,1902.0,54.719,2.8769,0.0,,6.0,,0.0,2.6373,0.3299,,-0.3299,2.9673,0.793,0.1679
