player_id,player_name,positions,assists,assists_minus_xa,avg_pass_distance,avg_pass_vertical,goals,goals_conceded,goals_conceded_minus_xg,goals_minus_xg,goals_per_xg,goals_plus_assists,headed_shot_share,key_passes,minutes_played,pass_completion_pct,passes_attempted,passes_over_expected,passes_over_expected_p100,points_added,saves,shots,shots_faced,shots_on_target,xa,xg,xg_faced,xg_place,xg_plus_xa,xpass_completion_pct,xpoints_added
abdallah-shaibu,Abdallah Shaibu,CB,0.0,0.0,14.9432,5.635,0.0,,,-0.0134,,0.0,,0.0,52.0,0.5,2.0,0.14,7.0005,0.0,,1.0,,0.0,0.0,0.0134,,-0.0134,0.0134,0.43,0.014
abraham-romero,Abraham Romero,GK,0.0,0.0,33.0401,24.1945,0.0,15.0,2.4855,0.0,1.1986,0.0,0.0714,0.0,392.0,0.8455,123.0,5.61,4.561,0.0,13.0,0.0,28.0,0.0,0.0,0.0,12.5145,0.0,0.0,0.7999,0.0
adam-saldana,Adam Saldana,DM,0.0,-0.2145,19.4107,0.7236,0.0,,,-0.0843,,0.0,,4.0,488.0,0.8945,237.0,3.1612,1.3338,0.0,,1.0,,1.0,0.2145,0.0843,,-0.0147,0.2988,0.8812,0.0006
adrián-vera,Adrián Vera,FB,0.0,-0.671,20.4313,4.3635,0.0,,,-0.7563,,0.0,,14.0,1723.0,0.7887,705.0,-17.6499,-2.5035,0.0,,17.0,,3.0,0.671,0.7563,,-0.6581,1.4273,0.8137,0.4594
armel-don-tchilao,Armel-Don Tchilao,W,0.0,-1.074,17.0221,-0.2088,0.0,,,-1.1458,,0.0,,12.0,1204.0,0.6215,354.0,-20.2362,-5.7164,0.0,,15.0,,3.0,1.074,1.1458,,-0.9791,2.2197,0.6786,0.5468
augustine-williams,Augustine Williams,ST,1.0,0.3899,15.2503,-2.1316,7.0,,,-1.6631,,8.0,,9.0,1858.0,0.7527,469.0,-5.3311,-1.1367,2.6722,,59.0,,22.0,0.6101,8.6631,,-1.8002,9.2732,0.764,5.5547
brian-iloski,Brian Iloski,W,4.0,0.5838,21.2202,4.2059,2.0,,,0.2764,,6.0,,48.0,1210.0,0.7677,594.0,9.6517,1.6249,2.0957,,21.0,,7.0,3.4162,1.7236,,-0.4499,5.1399,0.7514,1.1339
carlos-harvey,Carlos Harvey,DM,0.0,-0.5375,21.3014,4.2628,2.0,,,0.7996,,2.0,,8.0,1736.0,0.813,679.0,-13.3216,-1.9619,1.6189,,29.0,,6.0,0.5375,1.2004,,-0.3596,1.7379,0.8326,0.6543
dave-romney,Dave Romney,CB,0.0,0.0,24.5229,10.9194,0.0,,,0.0,,0.0,,0.0,195.0,0.8364,110.0,3.4747,3.1588,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.8048,0.0
diedie-traore,Diedie Traore,FB,1.0,0.8425,20.0684,2.0184,1.0,,,0.7865,,2.0,,3.0,311.0,0.7857,196.0,0.842,0.4296,0.5164,,3.0,,2.0,0.1575,0.2135,,0.0315,0.371,0.7814,0.133
efrain-álvarez,Efrain Álvarez,AM,0.0,-0.4426,24.7419,7.1883,1.0,,,-0.103,,1.0,,3.0,195.0,0.6111,72.0,-5.9328,-8.2399,0.3283,,6.0,,1.0,0.4426,1.103,,-0.4392,1.5455,0.6935,0.5103
emil-cuello,Emil Cuello,FB,3.0,1.0954,20.134,4.4272,1.0,,,0.495,,4.0,,16.0,567.0,0.7632,266.0,-0.1855,-0.0697,0.8602,,10.0,,4.0,1.9046,0.505,,0.0574,2.4097,0.7639,0.4491
eric-lópez,Eric López,GK,0.0,-0.0264,43.1601,34.593,0.0,23.0,-1.3557,0.0,0.9443,0.0,0.0769,1.0,1369.0,0.6125,400.0,-10.6138,-2.6535,0.0,41.0,0.0,65.0,0.0,0.0264,0.0,24.3557,0.0,0.0264,0.639,0.0
ernesto-walker,Ernesto Walker,DM,2.0,1.8322,17.6948,2.3569,1.0,,,-0.5432,,3.0,,4.0,688.0,0.8593,263.0,4.8445,1.842,0.2353,,19.0,,4.0,0.1678,1.5432,,-0.4949,1.711,0.8409,0.4724
ethan-zubak,Ethan Zubak,ST,1.0,0.119,14.1633,-1.512,9.0,,,1.5058,,10.0,,16.0,1654.0,0.6444,360.0,-24.3095,-6.7526,5.7232,,48.0,,18.0,0.881,7.4942,,-1.5075,8.3752,0.712,4.3702
frank-lópez,Frank López,ST,1.0,0.5492,15.0493,-2.8925,6.0,,,0.5758,,7.0,,5.0,913.0,0.6667,126.0,-12.3226,-9.7799,4.8281,,37.0,,15.0,0.4508,5.4242,,-1.3759,5.875,0.7645,4.1188
geoffrey-acheampong,Geoffrey Acheampong,CM,1.0,0.2472,23.7597,7.3717,2.0,,,1.2399,,3.0,,7.0,585.0,0.717,265.0,-6.2817,-2.3705,0.7618,,9.0,,3.0,0.7528,0.7601,,1.0474,1.5129,0.7407,0.4296
iván-gutiérrez,Iván Gutiérrez,LB,1.0,0.7128,19.4778,2.2639,1.0,,,0.7668,,2.0,,5.0,153.0,0.7,50.0,-0.7355,-1.471,0.0449,,3.0,,2.0,0.2872,0.2332,,-0.1213,0.5205,0.7147,0.1879
john-requejo,John Requejo,FB,1.0,-0.1179,19.9054,7.437,0.0,,,-0.1342,,1.0,,8.0,488.0,0.7598,254.0,10.6018,4.174,0.0,,3.0,,1.0,1.1179,0.1342,,-0.0345,1.2521,0.7181,0.1052
jorge-hernández,Jorge Hernández,CM,2.0,-0.8109,22.1049,3.2412,2.0,,,0.7889,,4.0,,30.0,1273.0,0.7715,604.0,3.6334,0.6016,0.6634,,24.0,,8.0,2.8109,1.2111,,1.0176,4.0219,0.7655,0.7201
josé-hernández,José Hernández,CM,4.0,1.15,18.7108,3.3415,3.0,,,-0.0667,,7.0,,38.0,1985.0,0.8074,841.0,14.4923,1.7232,0.6468,,23.0,,7.0,2.85,3.0667,,0.1537,5.9166,0.7901,1.5327
juninho,Juninho,CM,1.0,0.3752,23.0182,5.6334,0.0,,,-1.0048,,1.0,,7.0,198.0,0.8188,149.0,7.5935,5.0963,0.0,,7.0,,4.0,0.6248,1.0048,,-0.1861,1.6296,0.7678,0.533
justin-fiddes,Justin Fiddes,FB,1.0,0.3424,19.4224,5.7528,0.0,,,-0.1259,,1.0,,8.0,2134.0,0.7548,1048.0,-2.7913,-0.2663,0.0,,6.0,,0.0,0.6576,0.1259,,-0.1259,0.7835,0.7574,0.1048
justin-vom-steeg,Justin vom Steeg,GK,0.0,-0.0275,41.3178,32.7569,0.0,25.0,1.1682,0.0,1.049,0.0,0.1688,1.0,1670.0,0.695,541.0,7.7714,1.4365,0.0,52.0,0.0,77.0,0.0,0.0275,0.0,23.8318,0.0,0.0275,0.6806,0.0
kai-koreniuk,Kai Koreniuk,W,4.0,1.0997,16.808,0.4078,9.0,,,3.692,,13.0,,23.0,2363.0,0.6977,612.0,-15.227,-2.4881,4.6824,,43.0,,23.0,2.9003,5.308,,0.7926,8.2083,0.7226,4.062
kobe-hernandez-foster,Kobe Hernandez-Foster,DM,0.0,0.0,18.8112,4.7565,0.0,,,-0.0488,,0.0,,0.0,124.0,0.8654,104.0,2.7903,2.683,0.0,,1.0,,0.0,0.0,0.0488,,-0.0488,0.0488,0.8386,0.0108
lucas-gonzalez,Lucas Gonzalez,W,1.0,0.8426,17.0267,7.5485,0.0,,,0.0,,1.0,,1.0,21.0,0.8,15.0,1.1255,7.5035,0.0,,0.0,,0.0,0.1574,0.0,,0.0,0.1574,0.725,0.0
mauricio-cuevas,Mauricio Cuevas,FB,1.0,0.1771,20.2408,3.6789,0.0,,,0.0,,1.0,,7.0,377.0,0.82,200.0,4.6578,2.3289,0.0,,0.0,,0.0,0.8229,0.0,,0.0,0.8229,0.7967,0.0
michael-gallagher,Michael Gallagher,CB,1.0,0.4663,25.9383,11.5165,0.0,,,-0.4455,,1.0,,8.0,1322.0,0.825,737.0,22.5874,3.0648,0.0,,6.0,,1.0,0.5337,0.4455,,0.1142,0.9792,0.7943,0.1913
mohammed-kesselly-kamara,Mohammed Kesselly Kamara,W,1.0,-0.4379,17.0765,-0.1823,4.0,,,0.6675,,5.0,,9.0,885.0,0.7354,223.0,0.223,0.1,3.1418,,25.0,,14.0,1.4379,3.3325,,0.163,4.7704,0.7344,1.8647
nate-shultz,Nate Shultz,FB,1.0,-1.071,19.1243,6.7691,1.0,,,0.6024,,2.0,,20.0,3079.0,0.7525,1592.0,1.8728,0.1176,0.7873,,10.0,,3.0,2.071,0.3976,,0.144,2.4686,0.7513,0.2732
nicholas-depuy,Nicholas DePuy,CB,0.0,-0.0863,25.333,10.3589,2.0,,,0.7181,,2.0,,2.0,2089.0,0.8125,1056.0,14.3408,1.358,2.0236,,15.0,,6.0,0.0863,1.2819,,0.1223,1.3682,0.7989,0.9953
omar-ontiveros,Omar Ontiveros,CB,0.0,-0.9174,25.4985,12.3915,1.0,,,0.4058,,1.0,,13.0,1741.0,0.7715,897.0,21.4486,2.3911,0.6349,,11.0,,4.0,0.9174,0.5942,,1.0642,1.5116,0.7475,0.4264
tomas-hilliard-arce,Tomas Hilliard-Arce,CB,0.0,-0.1089,24.575,12.1393,3.0,,,1.0067,,3.0,,2.0,2545.0,0.7827,1008.0,17.9714,1.7829,1.1042,,23.0,,6.0,0.1089,1.9933,,-0.4235,2.1022,0.7649,1.2118
