player_id,player_name,positions,assists,assists_minus_xa,avg_pass_distance,avg_pass_vertical,goals,goals_conceded,goals_conceded_minus_xg,goals_minus_xg,goals_per_xg,goals_plus_assists,headed_shot_share,key_passes,minutes_played,pass_completion_pct,passes_attempted,passes_over_expected,passes_over_expected_p100,points_added,saves,shots,shots_faced,shots_on_target,xa,xg,xg_faced,xg_place,xg_plus_xa,xpass_completion_pct,xpoints_added
alexy-bosetti,Alexy Bosetti,AM,3.0,-0.6767,24.6856,5.1845,1.0,,,-1.0331,,4.0,,36.0,1224.0,0.6024,425.0,-25.3161,-5.9567,0.5225,,16.0,,5.0,3.6767,2.0331,,-0.599,5.7098,0.6619,1.4795
alvin-jones,Alvin Jones,LB,2.0,1.0121,21.6006,7.4792,1.0,,,0.7422,,3.0,,8.0,2002.0,0.7035,958.0,-7.2029,-0.7519,0.7234,,8.0,,1.0,0.9879,0.2578,,-0.2022,1.2456,0.7111,0.2908
amer-sasivarevic,Amer Sasivarevic,W,0.0,-0.0261,19.1067,-0.3149,0.0,,,0.0,,0.0,,1.0,114.0,0.5,22.0,-2.6003,-11.8195,0.0,,0.0,,0.0,0.0261,0.0,,0.0,0.0261,0.6182,0.0
atiba-harris,Atiba Harris,CB,1.0,-0.6569,26.4227,12.2296,2.0,,,0.3028,,3.0,,10.0,3218.0,0.7616,1590.0,-14.5344,-0.9141,0.9755,,21.0,,4.0,1.6569,1.6972,,-0.2349,3.3541,0.7708,1.2082
bryan-byars,Bryan Byars,GK,0.0,0.0,39.1653,30.6041,0.0,7.0,0.2383,0.0,1.0352,0.0,0.0,0.0,196.0,0.6833,60.0,-0.9696,-1.6159,0.0,11.0,0.0,18.0,0.0,0.0,0.0,6.7617,0.0,0.0,0.6995,0.0
callum-ross,Callum Ross,DM,1.0,-0.6471,21.6663,4.4697,0.0,,,-0.6891,,1.0,,16.0,2925.0,0.8092,1342.0,-20.3088,-1.5133,0.0,,11.0,,0.0,1.6471,0.6891,,-0.6891,2.3361,0.8244,0.2338
chris-duvall,Chris Duvall,FB,0.0,-0.2262,20.0977,3.2092,0.0,,,0.0,,0.0,,2.0,208.0,0.8174,115.0,-0.0255,-0.0222,0.0,,0.0,,0.0,0.2262,0.0,,0.0,0.2262,0.8176,0.0
christian-eissele,Christian Eissele,ST,2.0,0.732,16.8976,-0.5098,5.0,,,0.7351,,7.0,,11.0,1672.0,0.6893,428.0,-23.1391,-5.4063,2.6091,,29.0,,9.0,1.268,4.2649,,0.4528,5.5329,0.7433,2.6274
christian-ibeagha,Christian Ibeagha,CB,1.0,0.085,22.1871,7.8364,1.0,,,-0.7887,,2.0,,4.0,2723.0,0.8287,1185.0,-3.0204,-0.2549,0.0097,,9.0,,2.0,0.915,1.7887,,-0.1461,2.7037,0.8312,0.614
cody-laurendi,Cody Laurendi,GK,0.0,0.0,48.5915,41.493,0.0,48.0,4.9174,-0.0361,1.1141,0.0,0.1046,0.0,3123.0,0.532,938.0,-49.8407,-5.3135,0.0,103.0,1.0,153.0,0.0,0.0,0.0361,43.0826,-0.0361,0.0361,0.5851,0.0233
cordell-cato,Cordell Cato,W,4.0,0.5613,16.3667,1.2633,3.0,,,-1.0926,,7.0,,20.0,2293.0,0.7487,764.0,1.2869,0.1684,0.8208,,30.0,,15.0,3.4387,4.0926,,0.5712,7.5313,0.747,2.5902
derek-gebhard,Derek Gebhard,ST,0.0,0.0,14.5842,-2.5861,0.0,,,-0.2288,,0.0,,0.0,124.0,0.7576,33.0,-0.5075,-1.5378,0.0,,2.0,,0.0,0.0,0.2288,,-0.2288,0.2288,0.773,0.0767
deshorn-brown,Deshorn Brown,ST,1.0,-0.6118,17.9013,-1.9652,15.0,,,1.7473,,16.0,,10.0,2701.0,0.6386,415.0,-38.6744,-9.3191,8.2853,,69.0,,33.0,1.6118,13.2527,,-0.3411,14.8645,0.7317,8.2247
drew-beckie,Drew Beckie,FB,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
ian-mcgrath,Ian McGrath,DM,0.0,0.0,17.5684,11.109,0.0,,,0.0,,0.0,,0.0,15.0,0.7143,7.0,-0.3276,-4.6803,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.7611,0.0
je-vaughn-watson,Je-Vaughn Watson,CB,1.0,0.8843,22.2126,5.0397,0.0,,,-0.6301,,1.0,,5.0,1369.0,0.8055,622.0,-17.2741,-2.7772,0.0,,5.0,,2.0,0.1157,0.6301,,0.4872,0.7458,0.8332,0.4861
jonathan-brown,Jonathan Brown,W,1.0,-0.7664,20.6808,3.3935,1.0,,,0.0413,,2.0,,9.0,1332.0,0.6684,395.0,0.0771,0.0195,0.3593,,8.0,,3.0,1.7664,0.9587,,-0.1835,2.7251,0.6682,0.3058
kalokwera-okot,Kalokwera Okot,AM,0.0,-0.008,26.5413,4.8957,0.0,,,0.0,,0.0,,1.0,72.0,0.5,14.0,-1.7638,-12.5989,0.0,,0.0,,0.0,0.008,0.0,,0.0,0.008,0.626,0.0
kyle-hyland,Kyle Hyland,FB,3.0,1.679,23.0351,7.983,2.0,,,1.6671,,5.0,,15.0,1251.0,0.7007,578.0,4.2801,0.7405,0.8904,,13.0,,3.0,1.321,0.3329,,0.6054,1.6539,0.6933,0.2095
marco-bustos,Marco Bustos,AM,1.0,0.7054,18.3155,4.1704,0.0,,,-0.3467,,1.0,,2.0,213.0,0.819,105.0,3.6523,3.4784,0.0,,4.0,,2.0,0.2946,0.3467,,-0.0169,0.6413,0.7843,0.1353
