player_id,player_name,positions,assists,assists_minus_xa,avg_pass_distance,avg_pass_vertical,goals,goals_conceded,goals_conceded_minus_xg,goals_minus_xg,goals_per_xg,goals_plus_assists,headed_shot_share,key_passes,minutes_played,pass_completion_pct,passes_attempted,passes_over_expected,passes_over_expected_p100,points_added,saves,shots,shots_faced,shots_on_target,xa,xg,xg_faced,xg_place,xg_plus_xa,xpass_completion_pct,xpoints_added
alasanne-ates-diouf,Alasanne Ates Diouf,ST,0.0,-0.5427,16.8137,0.2135,4.0,,,0.7768,,4.0,,10.0,743.0,0.8419,215.0,6.281,2.9214,0.5398,,17.0,,7.0,0.5427,3.2232,,-0.0889,3.7659,0.8126,0.9238
aldo-quintanilla,Aldo Quintanilla,ST,0.0,0.0,14.8796,0.9887,1.0,,,0.1114,,1.0,,0.0,122.0,0.8095,21.0,0.4424,2.1069,0.0,,4.0,,1.0,0.0,0.8886,,-0.0734,0.8886,0.7885,0.601
alexander-francois,Alexander Francois,W,0.0,0.0,10.4297,-1.449,0.0,,,0.0,,0.0,,0.0,12.0,0.5,6.0,-2.0492,-34.1539,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.8415,0.0
amobi-okugo,Amobi Okugo,CB,0.0,-0.7891,21.8296,6.6476,0.0,,,-0.5994,,0.0,,11.0,1577.0,0.8235,629.0,-2.7698,-0.4404,0.0,,10.0,,2.0,0.7891,0.5994,,-0.2882,1.3885,0.8279,0.5679
andré-lima,André Lima,ST,0.0,-0.0216,14.8835,3.0729,1.0,,,0.2555,,1.0,,1.0,104.0,0.6,40.0,-3.3263,-8.3158,0.6192,,1.0,,1.0,0.0216,0.7445,,0.2107,0.766,0.6832,0.461
billy-forbes,Billy Forbes,W,0.0,-1.6819,16.5571,-0.9263,7.0,,,-1.1844,,7.0,,20.0,1413.0,0.7209,258.0,-7.2606,-2.8142,2.6473,,53.0,,18.0,1.6819,8.1844,,-0.2824,9.8663,0.7491,5.1465
cristian-ortíz,Cristian Ortíz,W,0.0,0.0,17.5659,0.5443,0.0,,,0.0,,0.0,,0.0,52.0,0.7,20.0,-0.4318,-2.1588,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.7216,0.0
diego-restrepo,Diego Restrepo,GK,0.0,-0.1693,40.0835,31.3525,0.0,27.0,5.0173,0.0,1.2282,0.0,0.1356,1.0,1536.0,0.6543,457.0,-1.8915,-0.4139,0.0,31.0,0.0,59.0,0.0,0.1693,0.0,21.9827,0.0,0.1693,0.6584,0.0
edson-braafheid,Edson Braafheid,FB,0.0,-0.1105,17.8005,5.1676,0.0,,,-0.0216,,0.0,,1.0,86.0,0.6897,29.0,0.5249,1.81,0.0,,1.0,,0.0,0.1105,0.0216,,-0.0216,0.1321,0.6716,0.0153
ema-twumasi,Ema Twumasi,W,3.0,-0.9296,16.4093,-0.5929,1.0,,,-2.1079,,4.0,,31.0,1374.0,0.8368,478.0,12.2071,2.5538,0.4339,,29.0,,5.0,3.9296,3.1079,,-1.7955,7.0375,0.8113,2.254
