player_id,player_name,positions,assists,assists_minus_xa,avg_pass_distance,avg_pass_vertical,goals,goals_conceded,goals_conceded_minus_xg,goals_minus_xg,goals_per_xg,goals_plus_assists,headed_shot_share,key_passes,minutes_played,pass_completion_pct,passes_attempted,passes_over_expected,passes_over_expected_p100,points_added,saves,shots,shots_faced,shots_on_target,xa,xg,xg_faced,xg_place,xg_plus_xa,xpass_completion_pct,xpoints_added
alejandro-guido,Alejandro Guido,CM,4.0,0.885,18.9091,2.7038,6.0,,,-1.1659,,10.0,,33.0,2114.0,0.7307,843.0,-28.0035,-3.3219,4.5495,,65.0,,24.0,3.115,7.1659,,0.0356,10.2809,0.7639,4.8
augustine-williams,Augustine Williams,ST,2.0,1.4068,14.3603,-2.2491,6.0,,,0.7414,,8.0,,7.0,1093.0,0.7577,194.0,-8.6276,-4.4472,2.0649,,32.0,,12.0,0.5932,5.2586,,0.5393,5.8518,0.8022,2.3319
austin-guerrero,Austin Guerrero,GK,0.0,0.0,32.1549,22.3187,0.0,17.0,-0.8738,-0.1147,0.9511,0.0,0.1774,0.0,1591.0,0.7596,470.0,-2.4413,-0.5194,0.0,44.0,1.0,62.0,0.0,0.0,0.1147,17.8738,-0.1147,0.1147,0.7648,0.1126
ben-spencer,Ben Spencer,ST,0.0,-0.9776,15.5416,0.7322,1.0,,,-0.1613,,1.0,,10.0,577.0,0.6805,169.0,1.1484,0.6795,0.7808,,9.0,,2.0,0.9776,1.1613,,-0.6994,2.1389,0.6737,0.8725
blake-bodily,Blake Bodily,FB,0.0,0.0,21.483,4.2488,0.0,,,0.0,,0.0,,0.0,169.0,0.7253,91.0,-1.0315,-1.1335,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.7366,0.0
cj-fodrey,CJ Fodrey,FB,0.0,0.0,9.8703,3.7088,1.0,,,0.6544,,1.0,,0.0,23.0,1.0,4.0,1.535,38.3759,0.0,,1.0,,1.0,0.0,0.3456,,0.2534,0.3456,0.6162,0.0
callum-montgomery,Callum Montgomery,CB,0.0,-0.207,23.2728,9.6567,1.0,,,-0.1526,,1.0,,5.0,1213.0,0.8414,933.0,15.7233,1.6852,1.233,,13.0,,5.0,0.207,1.1526,,0.2271,1.3596,0.8245,0.7547
charlie-adams,Charlie Adams,CM,4.0,0.4646,22.0132,4.2929,1.0,,,-0.9668,,5.0,,50.0,2884.0,0.8498,1731.0,50.1555,2.8975,0.0023,,22.0,,9.0,3.5354,1.9668,,0.0333,5.5022,0.8208,0.7996
chase-boone,Chase Boone,W,0.0,-0.103,15.6512,2.3693,0.0,,,-0.3398,,0.0,,2.0,288.0,0.6196,92.0,-1.7224,-1.8721,0.0,,5.0,,4.0,0.103,0.3398,,-0.1606,0.4428,0.6383,0.2081
collin-martin,Collin Martin,CM,2.0,0.3374,20.8575,1.7211,1.0,,,0.3749,,3.0,,14.0,2182.0,0.8794,1575.0,20.9458,1.3299,1.053,,13.0,,4.0,1.6626,0.6251,,0.1644,2.2877,0.8661,0.4883
corey-hertzog,Corey Hertzog,ST,5.0,1.2396,18.2283,1.7613,6.0,,,-0.6268,,11.0,,25.0,2237.0,0.687,671.0,-29.1605,-4.3458,3.3475,,47.0,,18.0,3.7604,6.6268,,0.0167,10.3872,0.7305,5.0263
douglas-martínez,Douglas Martínez,ST,0.0,-0.2564,17.458,-2.2214,2.0,,,1.1072,,2.0,,5.0,626.0,0.6753,154.0,-6.5546,-4.2562,1.0834,,9.0,,4.0,0.2564,0.8928,,0.1334,1.1492,0.7179,0.491
dylan-castanheira,Dylan Castanheira,GK,0.0,0.0,34.3427,26.0207,0.0,3.0,1.1111,0.0,1.5882,0.0,0.2857,0.0,196.0,0.7879,66.0,4.0037,6.0662,0.0,4.0,0.0,7.0,0.0,0.0,0.0,1.8889,0.0,0.0,0.7272,0.0
elijah-martin,Elijah Martin,FB,3.0,2.1667,21.9373,4.219,1.0,,,-0.4768,,4.0,,11.0,2716.0,0.8419,1758.0,25.413,1.4456,0.1622,,18.0,,6.0,0.8333,1.4768,,0.6754,2.3101,0.8274,0.8286
gianfranco-facchineri,Gianfranco Facchineri,CB,0.0,0.0,21.1404,8.1232,0.0,,,-0.1405,,0.0,,0.0,47.0,0.7333,15.0,-0.656,-4.373,0.0,,1.0,,0.0,0.0,0.1405,,-0.1405,0.1405,0.7771,0.2742
grant-stoneman,Grant Stoneman,CB,0.0,0.0,24.4846,8.6277,0.0,,,-0.3461,,0.0,,0.0,1928.0,0.8471,1432.0,10.0476,0.7017,0.0,,8.0,,0.0,0.0,0.3461,,-0.3461,0.3461,0.8401,0.1211
haji-abdikadir,Haji Abdikadir,DM,0.0,0.0,19.6687,2.1222,0.0,,,-0.0642,,0.0,,0.0,251.0,0.8421,114.0,-1.71,-1.5,0.0,,3.0,,0.0,0.0,0.0642,,-0.0642,0.0642,0.8571,0.0408
hunter-ashworth,Hunter Ashworth,CB,0.0,0.0,24.9765,11.8477,0.0,,,-0.4653,,0.0,,0.0,147.0,0.7606,71.0,-0.494,-0.6957,0.0,,3.0,,0.0,0.0,0.4653,,-0.4653,0.4653,0.7675,0.3595
ian-mai,Ian Mai,FB,0.0,0.0,19.9759,0.3696,0.0,,,0.0,,0.0,,0.0,175.0,0.8721,86.0,3.2867,3.8217,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.8339,0.0
jack-blake,Jack Blake,DM,4.0,0.7179,19.4762,3.6365,5.0,,,-0.3221,,9.0,,29.0,2017.0,0.7295,950.0,-22.4855,-2.3669,2.236,,58.0,,23.0,3.2821,5.3221,,-0.8217,8.6042,0.7531,4.4337
jack-maher,Jack Maher,CB,1.0,0.9681,26.3966,7.8488,0.0,,,-0.0989,,1.0,,1.0,491.0,0.8583,374.0,4.3849,1.1724,0.0,,1.0,,1.0,0.0319,0.0989,,0.5601,0.1308,0.8466,0.1729
jack-metcalf,Jack Metcalf,FB,0.0,-1.6037,21.3464,-0.6309,1.0,,,0.6925,,1.0,,17.0,1533.0,0.808,953.0,15.3524,1.611,1.0666,,4.0,,3.0,1.6037,0.3075,,0.2477,1.9112,0.7919,0.2886
