player_id,player_name,positions,field_goal_yards,interceptions_lost,interceptions_made,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
brady-oliveira,Brady OLIVEIRA,RB,,,,,,,,,,,1.0,56.0,
brendan-oleary-orange,Brendan O\'LEARY-ORANGE,WR,,,,,,,,0.0,22.0,3.0,,,
dalton-schoen,Dalton SCHOEN,WR,,,,,,,,0.0,16.0,1.0,,,
drew-wolitarsky,Drew WOLITARSKY,WR,,,,,,,,0.0,37.0,3.0,,,
dru-brown,Dru Brown,QB,,,,,,,,,,,0.0,4.0,
greg-ellingson,Greg Ellingson,WR,,,,,,,,0.0,73.0,3.0,,,
johnny-augustine,Johnny AUGUSTINE,RB,,,,,,,,,,,0.0,3.0,
marc-liegghio,Marc LIEGGHIO,K,116.0,,,0.0,,,,,,,,,
nic-demski,Nic DEMSKI,WR,,,,,,,,0.0,96.0,6.0,,,
rasheed-bailey,Rasheed Bailey,WR/RB,,,,,,,,0.0,58.0,5.0,0.0,24.0,
wpg-dst,WPG DST,DST,,,2.0,,,,12.0,,,,,,1.0
wpg-qb,WPG QB,QB,,0.0,,,0.0,0.0,,,,,,,
zach-collaros,Zach COLLAROS,QB,,1.0,,,0.0,302.0,,,,,,,
