player_id,player_name,positions,extra_point,field_goal_yards,interceptions_lost,interceptions_made,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
bo-levi-mitchell,Bo Levi Mitchell,QB,,,,,1.0,129.0,,,,,,,,
bralon-addison,Bralon ADDISON,WR,,,,,,,,0.0,34.0,2.0,,,,
brandon-revenberg,Brandon Revenberg,OL,,,,0.0,,,,,,,,,0.0,1.0
casey-sayles,Casey Sayles,DB/DT,,,,0.0,,,,,,,,,0.0,5.0
chris-edwards,Chris Edwards,DB,,,,0.0,,,,,,,,,0.0,1.0
coulter-woodmansey,Coulter Woodmansey,OL,,,,0.0,,,,,,,,,0.0,1.0
dylan-wynn,Dylan Wynn,DB/DT,,,,0.0,,,,,,,,,0.0,0.0
ham-dst,HAM DST,DST,,,,,,,13.0,,,,,,3.0,
ham-k,HAM K,K,5.0,74.0,,,,,,,,,,,,
ham-qb,HAM QB,QB,,,1.0,,2.0,271.0,,,,,,38.0,,
jameer-thurman,Jameer Thurman,DB/LB,,,,0.0,,,,,,,,,0.0,6.0
james-butler,James BUTLER,RB,,,,,,,,0.0,77.0,5.0,0.0,107.0,,
kiondre-smith,Kiondre SMITH,WR,,,,0.0,,,,0.0,40.0,3.0,,,0.0,1.0
malik-carney,Malik Carney,DB/DE,,,,0.0,,,,,,,,,0.0,3.0
marc-liegghio,Marc LIEGGHIO,K,5.0,74.0,,,,,,,,,,,,
matthew-shiltz,Matthew Shiltz,QB,,,1.0,,2.0,271.0,,,,,0.0,38.0,,
mohamed-diallo,Mohamed Diallo,DB/DL/DT,,,,0.0,,,,,,,,,1.0,1.0
omar-bayless,Omar Bayless,WR,,,,,,,,2.0,51.0,3.0,,,,
penei-pavihi,Penei Pavihi,LB,,,,0.0,,,,,,,,,0.0,2.0
richard-leonard,Richard Leonard,DB,,,,0.0,,,,,,,,,0.0,3.0
simoni-lawrence,Simoni Lawrence,DB/LB,,,,0.0,,,,,,,,,2.0,5.0
stavros-katsantonis,Stavros Katsantonis,DB,,,,1.0,,,,,,,,,0.0,4.0
terry-godwin-ii,Terry Godwin II,WR,,,,,,,,,71.0,2.0,,,,
tim-white,Tim White,WR,,,,0.0,,,,0.0,129.0,3.0,,,0.0,1.0
will-sunderland,Will Sunderland,DB,,,,0.0,,,,,,,,,0.0,5.0
