player_id,player_name,positions,extra_point,field_goal_yards,interceptions_lost,interceptions_made,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
aj-ouellette,A.J. OUELLETTE,RB,,,,,,,,,,,1.0,50.0,,
adarius-pickett,Adarius Pickett,DB,,,,0.0,,,,,,,,,0.0,3.0
brandon-barlow,Brandon Barlow,DL/DB,,,,0.0,,,,,,,,,0.0,2.0
cameron-dukes,Cameron Dukes,QB,,,0.0,,0.0,113.0,,,,,0.0,15.0,,
chad-kelly,Chad KELLY,QB,,,1.0,,1.0,275.0,,,,,,,,
davaris-daniels,DaVaris DANIELS,WR,,,,,,,,0.0,84.0,6.0,,,,
damonte-coxie,Damonte COXIE,WR,,,,,,,,1.0,105.0,5.0,,,,
daniel-adeboboye,Daniel ADEBOBOYE,RB,,,,,,,,0.0,36.0,3.0,1.0,109.0,,
david-ungerer-iii,David UNGERER III,WR,,,,,,,,,35.0,3.0,,,,
dejon-brissett,Dejon BRISSETT,WR,,,,0.0,,,,0.0,56.0,6.0,,,0.0,1.0
deonta-mcmahon,Deonta MCMAHON,RB,,,,,,,,0.0,0.0,0.0,0.0,9.0,,
dewayne-hendrix,Dewayne Hendrix,DL/DB,,,,0.0,,,,,,,,,0.0,1.0
jack-cassar,Jack Cassar,LB/DB,,,,0.0,,,,,,,,,0.0,0.0
jared-brinkman,Jared Brinkman,DL/DB,,,,0.0,,,,,,,,,0.0,1.0
jonathan-jones,Jonathan Jones,LB/CB/DB,,,,0.0,,,,,,,,,0.0,0.0
jordan-williams,Jordan Williams,LB/DL/MLB/DB/OT/DE,,,,0.0,,,,,,,,,0.0,6.0
mason-pierce,Mason Pierce,DB,,,,1.0,,,,,,,,,1.0,3.0
robbie-smith,Robbie Smith,DL,,,,0.0,,,,,,,,,0.0,2.0
royce-metchie,Royce Metchie,DB,,,,0.0,,,,,,,,,0.0,7.0
ryan-hunter,Ryan Hunter,OL,,,,0.0,,,,,,,,,0.0,1.0
tor-dst,TOR DST,DST,,,,,,,26.0,,,,,,2.0,
tor-k,TOR K,K,2.0,71.0,,,,,,,,,,,,
tor-qb,TOR QB,QB,,,1.0,,1.0,388.0,,,,,,15.0,,
tarvarus-mcfadden,Tarvarus McFadden,DB,,,,0.0,,,,,,,,,0.0,3.0
thomas-costigan,Thomas Costigan,DL/DB,,,,0.0,,,,,,,,,1.0,2.0
tommy-nield,Tommy Nield,WR,,,,,,,,0.0,40.0,3.0,,,,
trevor-hoyte,Trevor Hoyte,LB/DB,,,,0.0,,,,,,,,,0.0,0.0
wynton-mcmanis,Wynton McManis,LB/DB,,,,0.0,,,,,,,,,0.0,4.0
