player_id,player_name,positions,extra_point,field_goal_yards,interceptions_lost,interceptions_made,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
ajou-ajou,"Ajou, Ajou",WR,,,,,,,,0.0,0.0,0.0,,,
bane-jr-shawn,"Bane Jr., Shawn",WR,,,,,,,,1.0,90.0,8.0,,,
emilus-samuel,"Emilus, Samuel",WR,,,,,,,,1.0,56.0,8.0,,,
hickson-frankie,"Hickson, Frankie",RB,,,,,,,,0.0,-1.0,1.0,0.0,23.0,
lauther-brett,"LAUTHER, Brett",K,1.0,113.0,,,,,,,,,,,
picton-mitchell,"PICTON, Mitchell",WR,,,,,,,,0.0,30.0,2.0,,,
ratkovich-clint,"Ratkovich, Clint",RB,,,,,,,,0.0,14.0,2.0,,,
ssk-dst,SSK DST,DST,,,,1.0,,,22.0,,,,,,5.0
ssk-k,SSK K,K,1.0,113.0,,,,,,,,,,,
ssk-qb,SSK QB,QB,,,3.0,,2.0,299.0,,,,,0.0,1.0,
sterns-jerreth,"STERNS, Jerreth",WR,,,,,,,,0.0,9.0,1.0,,,
shea-patterson,Shea Patterson,QB,,,3.0,,2.0,299.0,,,,,0.0,1.0,
