player_id,player_name,positions,extra_point,field_goal_yards,interceptions_lost,interceptions_made,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
davaris-daniels,DaVaris DANIELS,WR,,,,,,,,0.0,31.0,3.0,,,
damonte-coxie,Damonte COXIE,WR,,,,,,,,0.0,17.0,1.0,,,
daniel-adeboboye,Daniel ADEBOBOYE,RB,,,,,,,,,,,0.0,5.0,
deonta-mcmahon,Deonta MCMAHON,RB,,,,,,,,0.0,16.0,1.0,0.0,11.0,
ka39deem-carey,Ka&#39;Deem Carey,RB,,,,,,,,0.0,22.0,2.0,1.0,89.0,
kevin-mital,Kevin Mital,WR,,,,,,,,0.0,15.0,3.0,0.0,9.0,
lirim-hajrullahu,Lirim Hajrullahu,K,2.0,102.0,,,,,,,,,,,
makai-polk,Makai Polk,WR,,,,,,,,1.0,50.0,4.0,,,
nick-arbuckle,Nick ARBUCKLE,QB,,,1.0,,1.0,181.0,,,,,0.0,4.0,
richie-sindani,Richie Sindani,WR,,,,,,,,0.0,8.0,1.0,,,
tor-dst,TOR DST,DST,,,,0.0,,,46.0,,,,,,2.0
tor-k,TOR K,K,2.0,102.0,,,,,,,,,,,
tor-qb,TOR QB,QB,,,1.0,,1.0,181.0,,,,,0.0,4.0,
