player_id,player_name,positions,extra_point,interceptions_lost,interceptions_made,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
adams-jr-vernon,"ADAMS JR., Vernon",QB,,0.0,,0.0,257.0,,,,,0.0,29.0,
bc-dst,BC DST,DST,,,0.0,,,39.0,,,,,,1.0
bc-k,BC K,K,1.0,,,,,,,,,,,
bc-qb,BC QB,QB,,2.0,,0.0,292.0,,,,,1.0,8.0,
berryhill-stanley,"BERRYHILL, Stanley",WR,,,,,,,0.0,37.0,4.0,,,
brice-chase,"BRICE, Chase",QB,,0.0,,0.0,92.0,,,,,0.0,0.0,
dakota-prukop,Dakota Prukop,QB,,,,,,,,,,1.0,3.0,
eberhardt-ayden,"EBERHARDT, Ayden",WR,,,,,,,0.0,44.0,4.0,,,
hatcher-keon,"HATCHER, Keon",WR,,,,,,,0.0,28.0,3.0,,,
hollins-alexander,"HOLLINS, Alexander",WR,,,,,,,0.0,17.0,2.0,,,
mcinnis-justin,"MCINNIS, Justin",WR,,,,,,,0.0,119.0,6.0,,,
mackie-david,"Mackie, David",FB,,,,,,,,,,1.0,8.0,
poissant-kieran,"POISSANT, Kieran",WR,,,,,,,0.0,17.0,2.0,,,
rourke-nathan,"ROURKE, Nathan",QB,,2.0,,0.0,200.0,,,,,0.0,5.0,
stanback-william,"STANBACK, William",RB,,,,,,,0.0,30.0,3.0,0.0,35.0,
whyte-sean,"WHYTE, Sean",K,1.0,,,,,,,,,,,
