player_id,player_name,positions,extra_point,field_goal_yards,interceptions_lost,interceptions_made,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
ante-litre,Ante Litre,RB,,,,,,,,,,,0.0,17.0,
bo-levi-mitchell,Bo Levi Mitchell,QB,,,1.0,,5.0,450.0,,,,,,,
greg-bell,Greg Bell,RB,,,,,,,,0.0,23.0,3.0,0.0,139.0,
ham-dst,HAM DST,DST,,,,1.0,,,20.0,,,,,,0.0
ham-k,HAM K,K,3.0,82.0,,,,,,,,,,,
ham-qb,HAM QB,QB,,,1.0,,5.0,450.0,,,,,0.0,0.0,
james-tuck,James Tuck,FB,,,,,,,,0.0,14.0,1.0,,,
jevoni-robinson,Jevoni Robinson,WR/TE,,,,,,,,1.0,27.0,1.0,,,
kiondre-smith,Kiondre SMITH,WR,,,,,,,,0.0,72.0,4.0,,,
marc-liegghio,Marc LIEGGHIO,K,3.0,82.0,,,,,,,,,,,
steven-dunbar-jr,Steven Dunbar Jr.,WR,,,,,,,,2.0,146.0,7.0,,,
tim-white,Tim White,WR/RB,,,,,,,,2.0,128.0,5.0,0.0,0.0,
tyler-ternowski,Tyler TERNOWSKI,WR,,,,,,,,0.0,10.0,1.0,,,
