player_id,player_name,positions,extra_point,field_goal_yards,interceptions_lost,interceptions_made,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
barnes-clark,"BARNES, Clark",WR,,,,,,,,0.0,43.0,3.0,,,
begelton-reggie,"BEGELTON, Reggie",WR,,,,,,,,0.0,50.0,7.0,,,
brooks-erik,"BROOKS, Erik",WR,,,,,,,,0.0,7.0,1.0,,,
bell-bryce,"Bell, Bryce",OL,,,,,,,,0.0,-1.0,1.0,,,
cgy-dst,CGY DST,DST,,,,2.0,,,19.0,,,,,,1.0
cgy-k,CGY K,K,1.0,168.0,,,,,,,,,,,
cgy-qb,CGY QB,QB,,,1.0,,1.0,239.0,,,,,0.0,9.0,
echols-cam,"ECHOLS, Cam",WR,,,,,,,,0.0,32.0,3.0,,,
emmons-bj,"Emmons, B.J.",RB,,,,,,,,,,,0.0,2.0,
mills-dedrick,"MILLS, Dedrick",RB,,,,,,,,0.0,17.0,2.0,0.0,51.0,
maier-jake,"Maier, Jake",QB,,,1.0,,1.0,239.0,,,,,,,
michel-marken,"Michel, Marken",WR,,,,,,,,1.0,75.0,9.0,,,
paredes-rene,"PAREDES, Rene",K,1.0,168.0,,,,,,,,,,,
philpot-jalen,"PHILPOT, Jalen",WR,,,,,,,,0.0,16.0,2.0,0.0,7.0,
stevens-tommy,"STEVENS, Tommy",WR/QB,,,,,,,,,,,0.0,9.0,
