player_id,player_name,positions,extra_point,field_goal_yards,interceptions_lost,interceptions_made,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
alexander-davis,"ALEXANDER, Davis",QB,,,1.0,,1.0,262.0,,,,,0.0,16.0,
antwi-jeshrun,"ANTWI, Jeshrun",RB,,,,,,,,0.0,0.0,1.0,0.0,5.0,
dallaire-david,"DALLAIRE, David",RB/FB,,,,,,,,1.0,39.0,1.0,,,
evans-caleb,"EVANS, Caleb",QB,,,0.0,,1.0,39.0,,,,,1.0,10.0,
fletcher-walter,"FLETCHER, Walter",RB,,,,,,,,0.0,28.0,3.0,1.0,56.0,
maltos-jose,"MALTOS, Jose",K,3.0,63.0,,,,,,,,,,,
mtl-dst,MTL DST,DST,,,,0.0,,,34.0,,,,,,1.0
mtl-k,MTL K,K,3.0,63.0,,,,,,,,,,,
mtl-qb,MTL QB,QB,,,1.0,,2.0,301.0,,,,,1.0,26.0,
philpot-tyson,"PHILPOT, Tyson",WR,,,,,,,,0.0,82.0,5.0,,,
rambo-charleston,"RAMBO, Charleston",WR,,,,,,,,1.0,86.0,4.0,,,
spieker-cole,"SPIEKER, Cole",WR,,,,,,,,0.0,18.0,3.0,,,
white-jr-reggie,"WHITE JR., Reggie",WR,,,,,,,,0.0,44.0,2.0,,,
