player_id,player_name,positions,extra_point,field_goal_yards,interceptions_lost,interceptions_made,lost_fumbles,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
davaris-daniels,DaVaris DANIELS,WR,,,,,,,,,1.0,31.0,2.0,,,
damonte-coxie,Damonte COXIE,WR,,,,,,,,,0.0,99.0,5.0,,,
david-ungerer-iii,David UNGERER III,WR,,,,,,,,,,82.0,4.0,,,
dejon-brissett,Dejon BRISSETT,WR,,,,,,,,,0.0,34.0,3.0,,,
deonta-mcmahon,Deonta MCMAHON,RB,,,,,,,,,0.0,19.0,3.0,0.0,14.0,
kevin-mital,Kevin Mital,WR,,,,,,,,,0.0,6.0,2.0,,,
lirim-hajrullahu,Lirim Hajrullahu,K,1.0,45.0,,,,,,,,,,,,
miyan-williams,Miyan Williams,RB,,,,,,,,,,2.0,1.0,,3.0,
nick-arbuckle,Nick ARBUCKLE,QB,,,2.0,,,1.0,273.0,,,,,0.0,17.0,
tor-dst,TOR DST,DST,,,,1.0,,,,28.0,,,,,,3.0
tor-k,TOR K,K,1.0,45.0,,,,,,,,,,,,
tor-qb,TOR QB,QB,,,2.0,,1.0,1.0,273.0,,,,,,17.0,
