player_id,player_name,positions,extra_point,field_goal_yards,interceptions_lost,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
james-morgan,James Morgan,QB,,,2.0,1.0,198.0,,,,,0.0,6.0,
maltos-jose,"MALTOS, Jose",K,1.0,51.0,,,,,,,,,,
mtl-dst,MTL DST,DST,,,,,,26.0,,,,,,2.0
mtl-k,MTL K,K,1.0,51.0,,,,,,,,,,
mtl-qb,MTL QB,QB,,,2.0,1.0,242.0,,,,,0.0,6.0,
rambo-charleston,"RAMBO, Charleston",WR,,,,,,,0.0,19.0,3.0,,,
snead-tyler,"SNEAD, Tyler",WR,,,0.0,0.0,44.0,,1.0,56.0,6.0,,,
spieker-cole,"SPIEKER, Cole",WR,,,,,,,0.0,22.0,3.0,,,
stevie-scott-iii,Stevie Scott III,RB,,,,,,,,,,,18.0,
theis-travis,"THEIS, Travis",RB,,,,,,,0.0,13.0,2.0,0.0,36.0,
