player_id,player_name,positions,field_goal_yards,interceptions_lost,interceptions_made,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
begelton-reggie,"BEGELTON, Reggie",WR,,,,,,,,0.0,27.0,4.0,0.0,11.0,
bane-jr-shawn,"Bane Jr., Shawn",WR,,,,,,,,1.0,64.0,5.0,,,
cgy-dst,CGY DST,DST,,,2.0,,,,41.0,,,,,,2.0
cgy-qb,CGY QB,QB,,0.0,,,0.0,0.0,,,,,,,
hunchak-colton,"Hunchak, Colton",WR,,,,,,,,0.0,0.0,0.0,,,
jorden-kamar,"Jorden, Kamar",WR,,,,,,,,0.0,27.0,4.0,,,
middlemost-tyson,"MIDDLEMOST, Tyson",WR,,,,,,,,0.0,0.0,0.0,,,
mitchell-bo-levi,"Mitchell, Bo Levi",QB,,0.0,,,2.0,206.0,,,,,,,
paredes-rene,"PAREDES, Rene",K,164.0,,,1.0,,,,,,,,,
richie-sindani,Richie Sindani,WR,,,,,,,,0.0,6.0,1.0,,,
