player_id,player_name,positions,1pt_conversion,conversions,interceptions_lost,interceptions_made,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
daewood-davis,Daewood Davis,WR,,,,,,,,0.0,3.0,1.0,,,
darius-victor,Darius Victor,RB,,,,,,,,0.0,3.0,2.0,1.0,98.0,
jay-jay-wilson,Jay Jay Wilson,TE,,,,,,,,0.0,11.0,1.0,,,
jonathan-adams,Jonathan Adams,WR,1.0,1.0,,,,,,0.0,73.0,5.0,,,
josh-love,Josh Love,QB,1.0,1.0,2.0,,1.0,105.0,,,,,1.0,9.0,
lee-morris,Lee Morris,WR,,,,,,,,0.0,0.0,0.0,,,
showboats-qb,SHOWBOATS QB,QB,1.0,1.0,2.0,,1.0,120.0,,,,,1.0,9.0,
sage-surratt,Sage Surratt,TE,,,,,,,,0.0,4.0,1.0,,,
showboats-dst,Showboats DST,DST,,,,2.0,,,36.0,,,,,,3.0
titus-swen,Titus Swen,RB,,,,,,,,,,,0.0,19.0,
trey-williams,Trey Williams,RB/QB/WR,,,0.0,,0.0,15.0,,,,,,,
vinny-papale,Vinny Papale,WR,,,,,,,,1.0,26.0,3.0,,,
