player_id,player_name,positions,extra_point,field_goal_yards,interceptions_lost,interceptions_made,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
abram-smith,Abram Smith,RB,,,,,,,,,,,,0.0,26.0,
braylon-sanders,Braylon Sanders,WR,,,,,,,,,0.0,43.0,3.0,,,
briley-moore,Briley Moore,TE,,,,,,,,,0.0,59.0,3.0,,,
cornell-powell,Cornell Powell,WR,,,,,,,,,1.0,44.0,3.0,,,
defenders-dst,Defenders DST,DST,,,,1.0,,,,6.0,,,,,,2.0
defenders-k,Defenders K,K/QB,3.0,56.0,1.0,,1.0,3.0,227.0,,,13.0,3.0,0.0,16.0,
deon-jackson,Deon Jackson,RB,,,,,,,,,,,,0.0,17.0,
erik-ezukanma,Erik Ezukanma,WR,,,,,,,,,1.0,12.0,2.0,,,
ferrod-gardner,Ferrod Gardner,LB,,,,,,,,,,,,0.0,5.0,
johari-branch,Johari Branch,C,,,,,,,,,0.0,0.0,0.0,,,
jordan-taamu,Jordan Ta\'amu,QB,,,1.0,,,3.0,227.0,,,,,0.0,16.0,
keke-coutee,Keke Coutee,WR,,,,,,,,,,,,0.0,4.0,
mason-fairchild,Mason Fairchild,TE,,,,,,,,,1.0,18.0,2.0,,,
matthew-mccrane,Matthew McCrane,K,3.0,56.0,,,1.0,,,,,,,,,
spencer-sanders,Spencer Sanders,QB,,,,,,,,,0.0,13.0,3.0,,,
ty-scott,Ty Scott,WR,,,,,,,,,0.0,38.0,4.0,,,
xazavian-valladay,Xazavian Valladay,RB,,,,,,,,,,,,0.0,13.0,
