player_id,player_name,positions,extra_point,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,made_19,made_29,made_39,made_49,made_50,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
adrian-hardy,Adrian Hardy,WR,,,,,,,,,,,,,,,1.0,43.0,3.0,,,
alex-mcgough,Alex McGough,QB,,,0.0,,,,,,,,,0.0,0.0,,,,,0.0,22.0,
birmingham-dst,Birmingham DST,DST,,0.0,,3.0,,,,,,,,,,9.0,,,,,,1.0
birmingham-k,Birmingham K,K,1.0,,,,,0.0,1.0,0.0,0.0,0.0,2.0,,,,,,,,,
birmingham-qb,Birmingham QB,QB,,,1.0,,,,,,,,,1.0,183.0,,,,,0.0,67.0,
bo-scarbrough,Bo Scarbrough,RB,,,,,,,,,,,,,,,0.0,5.0,2.0,0.0,54.0,
brandon-aubrey,Brandon Aubrey,PK/K,1.0,,,,,0.0,1.0,0.0,0.0,0.0,2.0,,,,,,,,,
cj-marable,CJ Marable,RB,,,,,,,,,,,,,,,0.0,19.0,1.0,0.0,20.0,
jmar-smith,J\'Mar Smith,QB,,,1.0,,1.0,,,,,,,1.0,183.0,,,,,0.0,45.0,
jonathan-newsome,Jonathan Newsome,DE/DL/DB,,,,,0.0,,,,,,,,,,,,,,,
marlon-williams,Marlon Williams,WR,,,,,,,,,,,,,,,0.0,109.0,7.0,,,
michael-dereus,Michael Dereus,WR,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
osirus-mitchell,Osirus Mitchell,WR,,,,,1.0,,,,,,,,,,0.0,8.0,1.0,,,
peyton-ramzy,Peyton Ramzy,WR,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
sage-surratt,Sage Surratt,TE,,,,,,,,,,,,,,,0.0,-1.0,1.0,,,
tony-brooks-james,Tony Brooks-James,RB,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
