player_id,player_name,positions,extra_point,field_goal_yards,fumble_recoveries,interceptions_lost,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
alex-mcgough,Alex McGough,QB,,,,0.0,1.0,68.0,,,,,1.0,51.0,
austin-watkins,Austin Watkins,WR,,,,,,,,1.0,61.0,1.0,,,
bo-scarbrough,Bo Scarbrough,RB,,,,,,,,0.0,5.0,1.0,0.0,-1.0,
brandon-aubrey,Brandon Aubrey,K/PK,3.0,72.0,,,,,,,,,,,
cj-marable,CJ Marable,RB,,,,,,,,0.0,11.0,1.0,0.0,24.0,
davion-davis,Davion Davis,WR,,,,,,,,,27.0,1.0,,,
deon-cain,Deon Cain,WR,,,,,,,,0.0,8.0,1.0,,,
jmar-smith,J\'Mar Smith,QB,,,,1.0,1.0,160.0,,,,,,1.0,
jace-sternberger,Jace Sternberger,TE,,,,,,,,1.0,62.0,5.0,,,
marlon-williams,Marlon Williams,WR,,,,,,,,0.0,23.0,3.0,0.0,5.0,
michael-dereus,Michael Dereus,WR,,,,,,,,0.0,14.0,1.0,,,
myron-mitchell,Myron Mitchell,WR,,,,,,,,0.0,17.0,2.0,,,
stallions-dst,Stallions DST,DST,,,2.0,,,,10.0,,,,,,2.0
stallions-k,Stallions K,K,3.0,72.0,,,,,,,,,,,
stallions-qb,Stallions QB,QB,,,,1.0,2.0,228.0,,,,,1.0,52.0,
