player_id,player_name,positions,assists,blocks,def_rebounds,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,fouls,ft_pct,fta,ftm,minutes,off_rebounds,plus_minus,points,rebounds,steals,turnovers
allie-quigley,Allie Quigley,,1.0,1.0,1.0,0.2,5.0,1.0,0.222,9.0,2.0,4.0,0.75,4.0,3.0,22.866666666666667,,-3.0,8.0,1.0,3.0,3.0
amanda-zahui-b,Amanda Zahui B.,,1.0,4.0,8.0,,5.0,,0.429,14.0,6.0,4.0,0.5,2.0,1.0,30.9,2.0,15.0,13.0,10.0,1.0,1.0
arella-guirantes,Arella Guirantes,,,,1.0,,,,,2.0,,1.0,,,,3.6333333333333333,,-2.0,,1.0,,2.0
astou-ndour-fall,Astou Ndour-Fall,,,1.0,3.0,0.333,3.0,1.0,0.143,7.0,1.0,1.0,0.5,2.0,1.0,14.133333333333333,4.0,1.0,4.0,7.0,,1.0
azura-stevens-2,Azura Stevens,,1.0,,4.0,,,,,1.0,,2.0,0.75,4.0,3.0,19.616666666666667,3.0,1.0,3.0,7.0,,2.0
bria-holmes,Bria Holmes,,,,2.0,,2.0,,0.25,8.0,2.0,1.0,,2.0,,16.133333333333333,3.0,-19.0,4.0,5.0,,1.0
brittney-sykes,Brittney Sykes,W,2.0,,4.0,,,,,3.0,,3.0,0.5,2.0,1.0,20.333333333333332,,-3.0,1.0,4.0,,
courtney-vandersloot,Courtney Vandersloot,,5.0,1.0,3.0,,3.0,,0.429,7.0,3.0,3.0,0.5,2.0,1.0,33.13333333333333,,-5.0,7.0,3.0,1.0,1.0
dana-evans,Dana Evans,G,,,,,,,,2.0,,3.0,,,,6.866666666666667,,,,,,3.0
diamond-deshields,Diamond DeShields,,2.0,,7.0,0.333,3.0,1.0,0.375,8.0,3.0,3.0,0.75,4.0,3.0,33.1,,-13.0,10.0,7.0,1.0,2.0
erica-wheeler,Erica Wheeler,G,5.0,,4.0,0.333,3.0,1.0,0.538,13.0,7.0,2.0,1.0,7.0,7.0,34.416666666666664,1.0,10.0,22.0,5.0,,3.0
kahleah-copper,Kahleah Copper,W,2.0,,3.0,0.667,3.0,2.0,0.385,13.0,5.0,1.0,0.75,4.0,3.0,34.43333333333333,4.0,1.0,15.0,7.0,1.0,3.0
kristi-toliver,Kristi Toliver,,2.0,,,0.5,2.0,1.0,0.25,8.0,2.0,4.0,,,,29.2,2.0,12.0,5.0,2.0,,2.0
nia-coffey,Nia Coffey,,3.0,2.0,8.0,,3.0,,0.364,11.0,4.0,2.0,1.0,2.0,2.0,32.96666666666667,1.0,14.0,10.0,9.0,3.0,
ruthy-hebard,Ruthy Hebard,,1.0,1.0,7.0,,,,0.545,11.0,6.0,3.0,0.667,3.0,2.0,25.283333333333335,3.0,6.0,14.0,10.0,,
stefanie-dolson,Stefanie Dolson,,1.0,1.0,1.0,,1.0,,0.25,4.0,1.0,2.0,,,,10.566666666666666,,-13.0,2.0,1.0,,3.0
tea-cooper,Te'a Cooper,,,,2.0,0.25,4.0,1.0,0.444,9.0,4.0,3.0,0.667,6.0,4.0,32.416666666666664,,-2.0,13.0,2.0,,2.0
