player_id,player_name,positions,assists,blocks,def_rebounds,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,fouls,ft_pct,fta,ftm,minutes,off_rebounds,plus_minus,points,rebounds,steals,turnovers
aja-wilson,A'ja Wilson,,1.0,1.0,6.0,,,,0.143,14.0,2.0,3.0,0.667,6.0,4.0,30.133333333333333,,-31.0,8.0,6.0,,1.0
alanna-smith,Alanna Smith,F,,,,,1.0,,0.333,3.0,1.0,,,,,2.9,,2.0,2.0,,,
bria-hartley,Bria Hartley,,1.0,,1.0,,,,,,,,,,,2.9,,2.0,,1.0,,1.0
brianna-turner,Brianna Turner,,,2.0,10.0,,,,0.643,14.0,9.0,2.0,0.833,6.0,5.0,30.8,7.0,22.0,23.0,17.0,,1.0
brittney-griner,Brittney Griner,F,4.0,3.0,8.0,,,,0.5,18.0,9.0,4.0,,,,30.333333333333332,3.0,26.0,18.0,11.0,,3.0
chelsea-gray,Chelsea Gray,G,1.0,,4.0,,2.0,,0.222,9.0,2.0,,1.0,2.0,2.0,27.35,,-22.0,6.0,4.0,1.0,
dearica-hamby,Dearica Hamby,F,2.0,,5.0,,2.0,,0.375,8.0,3.0,5.0,0.667,6.0,4.0,27.25,2.0,-11.0,10.0,7.0,2.0,1.0
destiny-slocum,Destiny Slocum,,,,,,,,1.0,1.0,1.0,,,,,2.9,,-2.0,2.0,,,
diana-taurasi,Diana Taurasi,,6.0,,4.0,0.286,7.0,2.0,0.333,9.0,3.0,2.0,1.0,1.0,1.0,26.333333333333332,,15.0,9.0,4.0,,2.0
jackie-young,Jackie Young,G,3.0,,1.0,,,,0.333,9.0,3.0,3.0,1.0,2.0,2.0,25.8,,-19.0,8.0,1.0,1.0,
jisu-park,JiSu Park,,,,,,,,,1.0,,,,2.0,,2.9,,-2.0,,,,
kelsey-plum,Kelsey Plum,G,2.0,,4.0,,4.0,,0.2,10.0,2.0,2.0,1.0,2.0,2.0,31.983333333333334,,-12.0,6.0,4.0,2.0,4.0
kia-nurse,Kia Nurse,,1.0,,5.0,0.667,3.0,2.0,0.333,6.0,2.0,2.0,,,,25.05,1.0,15.0,6.0,6.0,1.0,2.0
kia-vaughn,Kia Vaughn,,2.0,,3.0,,,,0.333,6.0,2.0,2.0,,,,15.966666666666667,,4.0,4.0,3.0,,
kiah-stokes,Kiah Stokes,,1.0,1.0,1.0,,,,,,,,,,,7.683333333333334,1.0,1.0,,2.0,,
liz-cambage,Liz Cambage,,1.0,1.0,5.0,0.5,2.0,1.0,0.556,9.0,5.0,2.0,1.0,2.0,2.0,22.65,,-17.0,13.0,5.0,1.0,2.0
megan-walker,Megan Walker,,,,2.0,,1.0,,0.5,2.0,1.0,1.0,,,,4.583333333333333,,1.0,2.0,2.0,,
riquna-williams,Riquna Williams,,1.0,,,0.25,4.0,1.0,0.429,7.0,3.0,1.0,,,,21.35,,-20.0,7.0,,,
shey-peddy,Shey Peddy,,1.0,,6.0,0.5,2.0,1.0,0.667,6.0,4.0,2.0,1.0,1.0,1.0,20.35,2.0,14.0,10.0,8.0,2.0,3.0
skylar-diggins,Skylar Diggins,G,9.0,,5.0,,5.0,,0.167,12.0,2.0,4.0,0.5,2.0,1.0,33.81666666666667,,28.0,5.0,5.0,,
sophie-cunningham,Sophie Cunningham,,,1.0,1.0,0.5,2.0,1.0,0.667,3.0,2.0,1.0,1.0,3.0,3.0,6.966666666666667,,6.0,8.0,1.0,1.0,
