player_id,player_name,positions,assists,blocks,def_rebounds,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,fouls,ft_pct,fta,ftm,minutes,off_rebounds,plus_minus,points,rebounds,steals,turnovers
aerial-powers,Aerial Powers,,2.0,1.0,2.0,,3.0,,0.25,12.0,3.0,2.0,0.833,6.0,5.0,25.116666666666667,1.0,-22.0,11.0,3.0,1.0,2.0
bridget-carleton,Bridget Carleton,,,,2.0,0.333,3.0,1.0,0.5,4.0,2.0,1.0,,,,19.616666666666667,1.0,-20.0,5.0,3.0,1.0,2.0
crystal-dangerfield,Crystal Dangerfield,,5.0,,2.0,,1.0,,0.2,5.0,1.0,2.0,0.75,4.0,3.0,32.21666666666667,1.0,4.0,5.0,3.0,1.0,3.0
elissa-cunane,Elissa Cunane,,,,1.0,,1.0,,0.5,2.0,1.0,1.0,,,,3.783333333333333,2.0,1.0,2.0,3.0,,
evina-westbrook,Evina Westbrook,,4.0,,3.0,,2.0,,0.333,6.0,2.0,5.0,1.0,1.0,1.0,22.25,,-9.0,5.0,3.0,2.0,2.0
han-xu,Han Xu,,1.0,,3.0,,2.0,,0.5,12.0,6.0,2.0,1.0,3.0,3.0,25.05,2.0,9.0,15.0,5.0,1.0,2.0
jessica-shepard,Jessica Shepard,,2.0,,2.0,,1.0,,0.25,8.0,2.0,2.0,1.0,5.0,5.0,28.3,5.0,-11.0,9.0,7.0,1.0,2.0
kamiah-smalls,Kamiah Smalls,,4.0,,2.0,,2.0,,0.25,4.0,1.0,4.0,,,,15.383333333333333,,2.0,2.0,2.0,2.0,
kayla-mcbride,Kayla McBride,,1.0,,4.0,0.4,5.0,2.0,0.417,12.0,5.0,3.0,0.5,2.0,1.0,25.033333333333335,,-14.0,13.0,4.0,1.0,2.0
lorela-cubaj,Lorela Cubaj,,,,,,,,,,,2.0,,,,6.15,2.0,-6.0,,2.0,,
michaela-onyenwere,Michaela Onyenwere,,,,2.0,0.5,2.0,1.0,0.333,3.0,1.0,4.0,,,,21.966666666666665,,21.0,3.0,2.0,1.0,3.0
natasha-howard,Natasha Howard,,3.0,3.0,3.0,0.25,4.0,1.0,0.455,11.0,5.0,1.0,,2.0,,27.083333333333332,1.0,15.0,11.0,4.0,1.0,1.0
nikolina-milic,Nikolina Milic,,1.0,,3.0,,1.0,,0.333,6.0,2.0,,0.667,6.0,4.0,16.033333333333335,,-11.0,8.0,3.0,2.0,
rachel-banham,Rachel Banham,G,3.0,,1.0,,4.0,,,6.0,,2.0,1.0,4.0,4.0,20.516666666666666,1.0,-3.0,4.0,2.0,,2.0
rebecca-allen,Rebecca Allen,W,2.0,2.0,5.0,0.429,7.0,3.0,0.444,9.0,4.0,,1.0,2.0,2.0,24.8,1.0,8.0,13.0,6.0,,1.0
sabrina-ionescu,Sabrina Ionescu,,8.0,,7.0,1.0,4.0,4.0,0.909,11.0,10.0,,1.0,2.0,2.0,26.166666666666668,1.0,29.0,26.0,8.0,,2.0
sami-whitcomb,Sami Whitcomb,,2.0,,3.0,0.333,9.0,3.0,0.273,11.0,3.0,2.0,1.0,2.0,2.0,21.616666666666667,1.0,5.0,11.0,4.0,,1.0
stefanie-dolson,Stefanie Dolson,,,,1.0,,4.0,,0.286,7.0,2.0,1.0,,,,14.95,,10.0,4.0,1.0,1.0,
sylvia-fowles,Sylvia Fowles,,,,3.0,,,,0.571,7.0,4.0,,1.0,2.0,2.0,23.966666666666665,3.0,-8.0,10.0,6.0,1.0,
