player_id,player_name,positions,assists,blocks,def_rebounds,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,fouls,ft_pct,fta,ftm,minutes,off_rebounds,plus_minus,points,rebounds,steals,turnovers
brianna-turner,Brianna Turner,,,1.0,7.0,,,,0.75,4.0,3.0,,,,,35.61666666666667,3.0,15.0,6.0,10.0,,1.0
daniel-robinson,Daniel Robinson,P,6.0,,2.0,,1.0,,,4.0,,1.0,0.75,4.0,3.0,27.6,1.0,-9.0,3.0,3.0,1.0,3.0
destanni-henderson,Destanni Henderson,,1.0,,1.0,0.5,2.0,1.0,0.5,2.0,1.0,,,,,9.366666666666667,,-3.0,3.0,1.0,2.0,3.0
diamond-deshields,Diamond DeShields,,2.0,1.0,4.0,,3.0,,0.556,9.0,5.0,4.0,1.0,6.0,6.0,23.366666666666667,,13.0,16.0,4.0,2.0,1.0
diana-taurasi,Diana Taurasi,,2.0,1.0,1.0,0.5,8.0,4.0,0.5,10.0,5.0,3.0,1.0,3.0,3.0,31.566666666666666,,1.0,17.0,1.0,,2.0
emily-engstler,Emily Engstler,,,2.0,1.0,1.0,1.0,1.0,0.5,4.0,2.0,2.0,,,,14.583333333333334,1.0,-12.0,5.0,2.0,1.0,
emma-cannon,Emma Cannon,,,,,,1.0,,0.2,5.0,1.0,2.0,1.0,2.0,2.0,6.2,3.0,1.0,4.0,3.0,,
jennie-simms,Jennie Simms,,3.0,,,,2.0,,0.333,3.0,1.0,4.0,,,,12.25,,6.0,2.0,,,
kelsey-mitchell,Kelsey Mitchell,G,3.0,,1.0,0.375,8.0,3.0,0.5,20.0,10.0,3.0,1.0,3.0,3.0,32.766666666666666,1.0,-3.0,26.0,2.0,1.0,2.0
lexie-hull,Lexie Hull,W,,,1.0,,,,1.0,1.0,1.0,1.0,0.75,4.0,3.0,5.766666666666667,,-7.0,5.0,1.0,,
megan-gustafson,Megan Gustafson,,,,,,,,0.75,4.0,3.0,,,,,7.066666666666666,1.0,7.0,6.0,1.0,,
nalyssa-smith,NaLyssa Smith,,1.0,,8.0,,2.0,,0.143,7.0,1.0,3.0,1.0,2.0,2.0,30.25,6.0,-11.0,4.0,14.0,,3.0
queen-egbo,Queen Egbo,,2.0,2.0,4.0,,,,0.462,13.0,6.0,2.0,,,,28.966666666666665,2.0,-4.0,12.0,6.0,1.0,1.0
shey-peddy,Shey Peddy,,7.0,,4.0,,4.0,,,4.0,,2.0,1.0,4.0,4.0,23.966666666666665,1.0,12.0,4.0,5.0,2.0,3.0
skylar-diggins,Skylar Diggins,G,6.0,3.0,5.0,0.25,4.0,1.0,0.5,12.0,6.0,3.0,,1.0,,33.0,,11.0,13.0,5.0,1.0,3.0
tiffany-mitchell,Tiffany Mitchell,,1.0,,,,1.0,,0.5,4.0,2.0,2.0,,,,15.166666666666666,2.0,-17.0,4.0,2.0,,
tina-charles,Tina Charles,,4.0,3.0,7.0,0.6,5.0,3.0,0.524,21.0,11.0,4.0,1.0,4.0,4.0,33.166666666666664,,,29.0,7.0,1.0,2.0
victoria-vivians,Victoria Vivians,,5.0,,5.0,0.2,5.0,1.0,0.278,18.0,5.0,3.0,1.0,3.0,3.0,29.333333333333332,,,14.0,5.0,1.0,1.0
