player_id,player_name,positions,assists,blocks,def_rebounds,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,fouls,ft_pct,fta,ftm,minutes,off_rebounds,plus_minus,points,rebounds,steals,turnovers
alysha-clark,Alysha Clark,,,,3.0,,1.0,,,2.0,,4.0,,,,28.233333333333334,1.0,-3.0,,4.0,1.0,1.0
ariel-atkins,Ariel Atkins,,1.0,1.0,4.0,0.2,5.0,1.0,0.412,17.0,7.0,4.0,1.0,5.0,5.0,35.05,2.0,,20.0,6.0,,
brittney-sykes,Brittney Sykes,W,3.0,,6.0,,2.0,,0.471,17.0,8.0,5.0,1.0,5.0,5.0,31.5,,-3.0,21.0,6.0,1.0,1.0
elena-delle-donne,Elena Delle Donne,,2.0,3.0,6.0,,3.0,,0.167,12.0,2.0,3.0,1.0,4.0,4.0,28.25,2.0,-8.0,8.0,8.0,,2.0
elizabeth-williams,Elizabeth Williams,,,,,,,,0.333,3.0,1.0,,,,,2.8166666666666664,2.0,1.0,2.0,2.0,,
jasmine-walker,Jasmine Walker,,,,1.0,0.333,3.0,1.0,0.2,5.0,1.0,1.0,,,,14.933333333333334,1.0,8.0,3.0,2.0,,
jordin-canada,Jordin Canada,G,12.0,,3.0,,2.0,,0.333,6.0,2.0,3.0,0.7,10.0,7.0,34.63333333333333,,6.0,11.0,3.0,2.0,2.0
katie-lou-samuelson,Katie Lou Samuelson,,,1.0,2.0,1.0,2.0,2.0,0.6,10.0,6.0,1.0,1.0,1.0,1.0,33.666666666666664,1.0,7.0,15.0,3.0,,2.0
kianna-smith,Kianna Smith,,,,,,,,,,,2.0,,,,4.133333333333334,2.0,-6.0,,2.0,,
lexie-brown,Lexie Brown,,2.0,1.0,2.0,0.5,4.0,2.0,0.5,8.0,4.0,1.0,,,,25.883333333333333,,1.0,10.0,2.0,,1.0
myisha-hines-allen,Myisha Hines-Allen,,,,4.0,0.667,3.0,2.0,0.545,11.0,6.0,1.0,0.75,8.0,6.0,20.416666666666668,2.0,1.0,20.0,6.0,,1.0
natasha-cloud,Natasha Cloud,W,9.0,2.0,3.0,,,,0.286,7.0,2.0,5.0,1.0,4.0,4.0,34.93333333333333,,2.0,8.0,3.0,1.0,3.0
nneka-ogwumike,Nneka Ogwumike,,,,5.0,,,,0.267,15.0,4.0,3.0,0.875,8.0,7.0,32.0,1.0,7.0,15.0,6.0,1.0,1.0
olivia-nelson-ododa,Olivia Nelson-Ododa,,1.0,2.0,4.0,,,,0.5,2.0,1.0,4.0,1.0,2.0,2.0,23.25,1.0,-5.0,4.0,5.0,,
rui-machida,Rui Machida,,1.0,,,,,,,,,2.0,,,,6.266666666666667,,-4.0,,,,
shakira-austin,Shakira Austin,F,2.0,1.0,6.0,,,,0.667,9.0,6.0,2.0,0.667,6.0,4.0,28.516666666666666,4.0,,16.0,10.0,1.0,2.0
shatori-walker-kimbrough,Shatori Walker-Kimbrough,,,,1.0,,3.0,,0.25,4.0,1.0,,,,,15.516666666666667,,-4.0,2.0,1.0,,1.0
