player_id,player_name,positions,assists,blocks,def_rebounds,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,fouls,ft_pct,fta,ftm,minutes,off_rebounds,plus_minus,points,rebounds,steals,turnovers
aerial-powers,Aerial Powers,,,,1.0,,1.0,,,2.0,,,,,,3.5666666666666664,,-5.0,,1.0,,
azura-stevens-2,Azura Stevens,,,,3.0,,2.0,,0.2,5.0,1.0,5.0,,,,17.916666666666668,2.0,-5.0,2.0,5.0,1.0,
bridget-carleton,Bridget Carleton,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,10.866666666666667,,9.0,3.0,,,1.0
dearica-hamby,Dearica Hamby,F,,,2.0,,,,1.0,2.0,2.0,4.0,0.25,4.0,1.0,26.966666666666665,1.0,-4.0,5.0,3.0,,2.0
diamond-miller,Diamond Miller,,9.0,1.0,6.0,0.333,3.0,1.0,0.385,13.0,5.0,4.0,1.0,2.0,2.0,34.516666666666666,1.0,11.0,13.0,7.0,1.0,4.0
dorka-juhasz,Dorka JuhÃ¡sz,,3.0,1.0,6.0,0.667,3.0,2.0,0.7,10.0,7.0,1.0,,2.0,,33.13333333333333,4.0,14.0,16.0,10.0,2.0,1.0
jasmine-thomas,Jasmine Thomas,,,,2.0,,1.0,,,2.0,,,,,,5.083333333333333,,-11.0,,2.0,,1.0
jordin-canada,Jordin Canada,G,8.0,1.0,7.0,0.5,2.0,1.0,0.333,9.0,3.0,2.0,1.0,5.0,5.0,34.916666666666664,,8.0,12.0,7.0,,3.0
karlie-samuelson,Karlie Samuelson,,2.0,,3.0,0.333,3.0,1.0,0.25,4.0,1.0,2.0,,,,27.566666666666666,1.0,-9.0,3.0,4.0,3.0,3.0
kayla-mcbride,Kayla McBride,,3.0,,5.0,,4.0,,,7.0,,,,,,29.483333333333334,,4.0,,5.0,2.0,1.0
layshia-clarendon,Layshia Clarendon,,3.0,,3.0,0.333,3.0,1.0,0.5,8.0,4.0,3.0,1.0,2.0,2.0,23.033333333333335,1.0,-11.0,11.0,4.0,1.0,3.0
lexie-brown,Lexie Brown,,1.0,,3.0,0.5,6.0,3.0,0.556,9.0,5.0,,,,,19.65,,3.0,13.0,3.0,,2.0
lindsay-allen,Lindsay Allen,,3.0,,3.0,,2.0,,0.286,7.0,2.0,3.0,1.0,2.0,2.0,32.166666666666664,,-1.0,6.0,3.0,,2.0
napheesa-collier,Napheesa Collier,F,,,7.0,0.167,6.0,1.0,0.45,20.0,9.0,3.0,0.5,6.0,3.0,30.266666666666666,1.0,-4.0,22.0,8.0,1.0,1.0
nikolina-milic,Nikolina Milic,,1.0,,,1.0,1.0,1.0,1.0,4.0,4.0,1.0,,,,15.066666666666666,,-7.0,9.0,,,1.0
nneka-ogwumike,Nneka Ogwumike,,2.0,,7.0,,2.0,,0.368,19.0,7.0,1.0,1.0,5.0,5.0,28.9,2.0,-7.0,19.0,9.0,3.0,2.0
rae-burrell,Rae Burrell,W,1.0,,2.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,,,,11.883333333333333,,21.0,5.0,2.0,1.0,2.0
tiffany-mitchell,Tiffany Mitchell,,,,2.0,,2.0,,0.5,4.0,2.0,1.0,,,,10.933333333333334,,-6.0,4.0,2.0,2.0,2.0
zia-cooke,Zia Cooke,,,,,,1.0,,,2.0,,,,,,4.083333333333333,,,,,,
