player_id,player_name,positions,assists,blocks,def_rebounds,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,fouls,ft_pct,fta,ftm,minutes,off_rebounds,plus_minus,points,rebounds,steals,turnovers
azura-stevens-2,Azura Stevens,,,2.0,5.0,,2.0,,0.571,7.0,4.0,2.0,0.75,4.0,3.0,32.4,,11.0,11.0,5.0,4.0,
carla-leite,Carla Leite,,1.0,,1.0,,3.0,,,3.0,,2.0,0.667,3.0,2.0,11.833333333333334,,9.0,2.0,1.0,,3.0
dearica-hamby,Dearica Hamby,F,1.0,,8.0,,1.0,,0.5,12.0,6.0,3.0,0.667,3.0,2.0,35.63333333333333,2.0,18.0,14.0,10.0,3.0,2.0
julie-vanloo,Julie Vanloo,,2.0,,3.0,0.4,10.0,4.0,0.455,11.0,5.0,3.0,,,,27.1,1.0,-16.0,14.0,4.0,1.0,6.0
kate-martin,Kate Martin,W,1.0,,,,1.0,,,3.0,,,1.0,2.0,2.0,20.616666666666667,,-9.0,2.0,,,1.0
kayla-thornton,Kayla Thornton,,1.0,,3.0,,6.0,,0.273,11.0,3.0,2.0,,,,34.28333333333333,1.0,-17.0,6.0,4.0,1.0,1.0
kelsey-plum,Kelsey Plum,G,6.0,,2.0,0.667,6.0,4.0,0.579,19.0,11.0,2.0,1.0,11.0,11.0,40.0,,17.0,37.0,2.0,5.0,2.0
kyara-linskens,Kyara Linskens,,,,,,,,,,,1.0,,,,3.6666666666666665,,,,,1.0,1.0
mercedes-russell,Mercedes Russell,,2.0,,2.0,,,,,1.0,,1.0,,,,11.966666666666667,,5.0,,2.0,1.0,1.0
monique-billings,Monique Billings,F,,1.0,7.0,0.25,4.0,1.0,0.286,7.0,2.0,1.0,1.0,2.0,2.0,23.3,1.0,-8.0,7.0,8.0,,2.0
odyssey-sims,Odyssey Sims,,6.0,1.0,,,2.0,,0.333,6.0,2.0,3.0,1.0,3.0,3.0,30.55,1.0,25.0,7.0,1.0,2.0,
rae-burrell,Rae Burrell,W,,,,,,,,,,1.0,,,,0.6833333333333333,,-2.0,,,,
rickea-jackson,Rickea Jackson,W,3.0,1.0,5.0,0.5,6.0,3.0,0.333,15.0,5.0,2.0,,,,35.233333333333334,,12.0,13.0,5.0,1.0,4.0
sarah-ashlee-barker,Sarah Ashlee Barker,,1.0,,2.0,,2.0,,0.333,3.0,1.0,,,,,13.533333333333333,,-1.0,2.0,2.0,,2.0
temi-fagbenle-2,Temi Fagbenle,,4.0,,3.0,0.5,4.0,2.0,0.75,8.0,6.0,3.0,1.0,1.0,1.0,31.633333333333333,2.0,-17.0,15.0,5.0,2.0,1.0
tiffany-hayes,Tiffany Hayes,G,1.0,1.0,7.0,0.4,5.0,2.0,0.438,16.0,7.0,4.0,1.0,3.0,3.0,30.35,2.0,-21.0,19.0,9.0,1.0,4.0
veronica-burton,Veronica Burton,G,3.0,,,,2.0,,,4.0,,,1.0,2.0,2.0,17.216666666666665,2.0,-6.0,2.0,2.0,2.0,1.0
