player_id,player_name,positions,assists,blocks,def_rebounds,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,fouls,ft_pct,fta,ftm,minutes,off_rebounds,plus_minus,points,rebounds,steals,turnovers
aja-wilson,A'ja Wilson,,4.0,3.0,5.0,,1.0,,0.455,11.0,5.0,,0.833,6.0,5.0,28.083333333333332,,-19.0,15.0,5.0,1.0,3.0
aaliyah-nye,Aaliyah Nye,,1.0,,,1.0,2.0,2.0,1.0,2.0,2.0,2.0,0.5,2.0,1.0,17.583333333333332,,3.0,7.0,,,
alysha-clark,Alysha Clark,,1.0,,3.0,1.0,1.0,1.0,0.8,5.0,4.0,3.0,,,,25.216666666666665,,7.0,9.0,3.0,1.0,
chelsea-gray,Chelsea Gray,G,3.0,,1.0,0.333,3.0,1.0,0.286,7.0,2.0,1.0,0.75,4.0,3.0,24.666666666666668,1.0,-14.0,8.0,2.0,1.0,2.0
crystal-bradford,Crystal Bradford,,,,,,,,,,,2.0,,,,4.95,,-12.0,,,,1.0
dana-evans,Dana Evans,G,2.0,,,0.5,4.0,2.0,0.25,8.0,2.0,,,,,19.033333333333335,,-6.0,6.0,,,2.0
dominique-malonga,Dominique Malonga,F,,,4.0,,,,0.571,7.0,4.0,2.0,,,,11.666666666666666,1.0,1.0,8.0,5.0,,
elizabeth-kitley,Elizabeth Kitley,,,2.0,2.0,,1.0,,0.625,8.0,5.0,3.0,0.5,2.0,1.0,16.283333333333335,3.0,7.0,11.0,5.0,2.0,
erica-wheeler,Erica Wheeler,G,7.0,1.0,3.0,0.6,5.0,3.0,0.727,11.0,8.0,,1.0,2.0,2.0,30.083333333333332,,17.0,21.0,3.0,2.0,1.0
ezi-magbegor,Ezi Magbegor,F,3.0,1.0,6.0,,,,0.5,10.0,5.0,5.0,1.0,2.0,2.0,24.666666666666668,1.0,16.0,12.0,7.0,,2.0
gabby-williams,Gabby Williams,,5.0,,5.0,0.5,4.0,2.0,0.625,8.0,5.0,,,,,29.783333333333335,,23.0,12.0,5.0,2.0,3.0
jackie-young,Jackie Young,G,3.0,,2.0,,3.0,,0.7,10.0,7.0,,,,,26.3,,-21.0,14.0,2.0,2.0,4.0
jewell-loyd,Jewell Loyd,,3.0,1.0,2.0,0.375,8.0,3.0,0.267,15.0,4.0,1.0,1.0,3.0,3.0,33.88333333333333,,-18.0,14.0,2.0,1.0,
kiah-stokes,Kiah Stokes,,,1.0,4.0,,1.0,,,1.0,,,,,,16.933333333333334,,-20.0,,4.0,,
kierstan-bell,Kierstan Bell,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,2.283333333333333,,-1.0,3.0,1.0,,
lexie-brown,Lexie Brown,,,,,,,,,1.0,,,,,,5.683333333333334,,1.0,,,1.0,
li-yueru,Li Yueru,F,,,1.0,,,,1.0,1.0,1.0,2.0,,,,4.083333333333333,,2.0,2.0,1.0,,
nneka-ogwumike,Nneka Ogwumike,,6.0,,6.0,0.667,3.0,2.0,0.667,15.0,10.0,2.0,0.5,2.0,1.0,29.3,2.0,17.0,23.0,8.0,1.0,2.0
skylar-diggins,Skylar Diggins,G,8.0,,,,2.0,,0.444,9.0,4.0,3.0,1.0,2.0,2.0,28.733333333333334,,17.0,10.0,,,2.0
tiffany-mitchell,Tiffany Mitchell,,2.0,1.0,3.0,,1.0,,0.333,3.0,1.0,1.0,0.667,3.0,2.0,10.0,1.0,1.0,4.0,4.0,,
zia-cooke,Zia Cooke,,2.0,,1.0,,1.0,,0.333,3.0,1.0,1.0,0.75,4.0,3.0,10.783333333333333,1.0,-1.0,5.0,2.0,,1.0
