player_id,player_name,positions,assists,blocks,def_rebounds,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,fouls,ft_pct,fta,ftm,minutes,off_rebounds,plus_minus,points,rebounds,steals,turnovers
aneesah-morrow,Aneesah Morrow,,,1.0,7.0,,2.0,,0.333,9.0,3.0,5.0,1.0,2.0,2.0,23.8,4.0,15.0,8.0,11.0,2.0,2.0
bria-hartley,Bria Hartley,,3.0,,,0.5,8.0,4.0,0.5,8.0,4.0,1.0,0.75,4.0,3.0,21.2,,13.0,15.0,,1.0,3.0
carla-leite,Carla Leite,,1.0,,1.0,,3.0,,0.25,4.0,1.0,1.0,0.6,5.0,3.0,20.266666666666666,,-20.0,5.0,1.0,1.0,
cecilia-zandalasini,Cecilia Zandalasini,,1.0,,2.0,,1.0,,,1.0,,,,,,15.116666666666667,,-19.0,,2.0,1.0,3.0
haley-peters,Haley Peters,,1.0,,2.0,,1.0,,0.5,2.0,1.0,2.0,,,,13.383333333333333,,11.0,2.0,2.0,,3.0
iliana-rupert,Iliana Rupert,,1.0,1.0,3.0,0.75,4.0,3.0,0.714,7.0,5.0,2.0,,,,22.183333333333334,1.0,-15.0,13.0,4.0,1.0,4.0
jacy-sheldon,Jacy Sheldon,,2.0,1.0,3.0,0.75,4.0,3.0,0.714,7.0,5.0,2.0,,,,19.466666666666665,,20.0,13.0,3.0,2.0,1.0
janelle-salaa14n,Janelle SalaÃ¼n,,,1.0,2.0,0.2,5.0,1.0,0.444,9.0,4.0,3.0,,2.0,,24.833333333333332,1.0,-19.0,9.0,3.0,,1.0
kaitlyn-chen,Kaitlyn Chen,,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,16.033333333333335,,-5.0,3.0,2.0,,3.0
kate-martin,Kate Martin,W,1.0,,1.0,0.3,10.0,3.0,0.273,11.0,3.0,1.0,,,,21.033333333333335,,-7.0,9.0,1.0,,1.0
laeticia-amihere,Laeticia Amihere,,2.0,1.0,,,1.0,,0.143,7.0,1.0,3.0,0.667,3.0,2.0,15.85,1.0,-9.0,4.0,1.0,4.0,3.0
lea-la-lacan,LeÃ¯la Lacan,,2.0,,1.0,,1.0,,0.571,7.0,4.0,2.0,,,,20.666666666666668,1.0,14.0,8.0,2.0,6.0,
lindsay-allen,Lindsay Allen,,4.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,15.0,,11.0,3.0,,,2.0
mamignan-toura,Mamignan TourÃ©,,,,,,,,,1.0,,,,,,4.683333333333334,,,,,,
marina-mabrey,Marina Mabrey,W,4.0,,,0.25,8.0,2.0,0.462,13.0,6.0,2.0,1.0,1.0,1.0,20.466666666666665,,13.0,15.0,,,3.0
olivia-nelson-ododa,Olivia Nelson-Ododa,,,1.0,,,,,,,,6.0,,,,9.15,,-6.0,,,,1.0
rayah-marshall,Rayah Marshall,,,,2.0,,,,0.5,2.0,1.0,2.0,,,,9.633333333333333,,1.0,2.0,2.0,,
saniya-rivers,Saniya Rivers,W,3.0,2.0,4.0,0.333,3.0,1.0,0.4,5.0,2.0,1.0,,,,23.866666666666667,2.0,24.0,5.0,6.0,1.0,
temi-fagbenle-2,Temi Fagbenle,,3.0,,3.0,0.5,2.0,1.0,0.375,8.0,3.0,1.0,,,,20.983333333333334,1.0,-24.0,7.0,4.0,1.0,2.0
tiffany-hayes,Tiffany Hayes,G,2.0,,2.0,,4.0,,,8.0,,1.0,0.667,6.0,4.0,21.45,2.0,-20.0,4.0,4.0,,2.0
tina-charles,Tina Charles,,2.0,1.0,5.0,1.0,1.0,1.0,0.727,11.0,8.0,,1.0,7.0,7.0,18.683333333333334,1.0,39.0,24.0,6.0,2.0,1.0
veronica-burton,Veronica Burton,G,3.0,,,,1.0,,0.667,3.0,2.0,3.0,0.857,7.0,6.0,22.25,2.0,-17.0,10.0,2.0,1.0,3.0
