player_id,player_name,positions,assists,blocks,def_rebounds,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,fouls,ft_pct,fta,ftm,minutes,off_rebounds,plus_minus,points,rebounds,steals,turnovers
carla-leite,Carla Leite,,1.0,1.0,1.0,0.2,5.0,1.0,0.364,11.0,4.0,,1.0,2.0,2.0,21.6,,-11.0,11.0,1.0,1.0,1.0
elizabeth-williams,Elizabeth Williams,,3.0,2.0,4.0,,,,0.583,12.0,7.0,2.0,0.5,2.0,1.0,30.3,4.0,,15.0,8.0,,1.0
iliana-rupert,Iliana Rupert,,,,1.0,0.8,5.0,4.0,0.625,8.0,5.0,2.0,,,,24.183333333333334,,5.0,14.0,1.0,1.0,
janelle-salaa14n,Janelle SalaÃ¼n,,2.0,,8.0,0.5,4.0,2.0,0.429,14.0,6.0,3.0,0.667,3.0,2.0,35.31666666666667,1.0,7.0,16.0,9.0,1.0,1.0
kaila-charles,Kaila Charles,,2.0,,4.0,0.5,2.0,1.0,0.667,3.0,2.0,2.0,,,,16.583333333333332,1.0,8.0,5.0,5.0,,
kaitlyn-chen,Kaitlyn Chen,,3.0,,2.0,,3.0,,,4.0,,2.0,,,,23.633333333333333,,3.0,,2.0,,2.0
kamilla-cardoso,Kamilla Cardoso,,1.0,1.0,7.0,,,,0.667,9.0,6.0,2.0,0.5,4.0,2.0,34.75,4.0,-7.0,14.0,11.0,,2.0
kate-martin,Kate Martin,W,2.0,1.0,3.0,0.143,7.0,1.0,0.111,9.0,1.0,3.0,,,,20.85,1.0,-4.0,3.0,4.0,1.0,2.0
kia-nurse,Kia Nurse,,7.0,,3.0,0.333,6.0,2.0,0.4,10.0,4.0,1.0,,,,32.266666666666666,,2.0,10.0,3.0,,1.0
laeticia-amihere,Laeticia Amihere,,,,2.0,,,,,,,1.0,1.0,2.0,2.0,9.016666666666667,,,2.0,2.0,,2.0
maddy-westbeld,Maddy Westbeld,,,,1.0,,1.0,,0.5,2.0,1.0,4.0,,,,13.8,,-5.0,2.0,1.0,,
michaela-onyenwere,Michaela Onyenwere,,,1.0,,1.0,1.0,1.0,0.333,3.0,1.0,,,,,13.833333333333334,,1.0,3.0,,,
rachel-banham,Rachel Banham,G,7.0,,5.0,0.25,8.0,2.0,0.333,15.0,5.0,4.0,1.0,2.0,2.0,27.933333333333334,,-8.0,14.0,5.0,1.0,4.0
rebecca-allen,Rebecca Allen,W,2.0,2.0,4.0,0.2,5.0,1.0,0.143,7.0,1.0,,,,,29.583333333333332,,-14.0,3.0,4.0,,
sevgi-uzun,Sevgi Uzun,,1.0,,4.0,,1.0,,0.333,6.0,2.0,3.0,0.5,2.0,1.0,17.533333333333335,,-4.0,5.0,4.0,1.0,2.0
temi-fagbenle-2,Temi Fagbenle,,2.0,,2.0,,1.0,,0.286,7.0,2.0,2.0,,,,18.2,2.0,8.0,4.0,4.0,,
veronica-burton,Veronica Burton,G,7.0,1.0,4.0,0.333,3.0,1.0,0.444,9.0,4.0,1.0,1.0,9.0,9.0,30.616666666666667,,19.0,18.0,4.0,2.0,1.0
