player_id,player_name,positions,assists,blocks,def_rebounds,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,fouls,ft_pct,fta,ftm,minutes,off_rebounds,plus_minus,points,rebounds,steals,turnovers
aaliyah-edwards,Aaliyah Edwards,F,,,,,,,,2.0,,,,,,2.9833333333333334,,-5.0,,,,
allisha-gray,Allisha Gray,G,4.0,,6.0,0.5,4.0,2.0,0.636,11.0,7.0,2.0,0.857,7.0,6.0,35.016666666666666,,15.0,22.0,6.0,2.0,3.0
brionna-jones,Brionna Jones,,1.0,,2.0,1.0,1.0,1.0,0.9,10.0,9.0,4.0,0.8,5.0,4.0,26.133333333333333,3.0,6.0,23.0,5.0,2.0,3.0
brittney-sykes,Brittney Sykes,W,3.0,,2.0,,,,0.333,9.0,3.0,2.0,,1.0,,26.316666666666666,,-9.0,6.0,2.0,3.0,2.0
emily-engstler,Emily Engstler,,1.0,1.0,,,2.0,,0.4,5.0,2.0,1.0,,,,9.816666666666666,1.0,-7.0,4.0,1.0,,1.0
jade-melbourne,Jade Melbourne,,2.0,,,,,,,1.0,,3.0,1.0,2.0,2.0,19.4,1.0,-10.0,2.0,1.0,,1.0
jordin-canada,Jordin Canada,G,9.0,,2.0,0.25,4.0,1.0,0.429,14.0,6.0,4.0,0.6,5.0,3.0,36.25,,17.0,16.0,2.0,3.0,5.0
kamiah-smalls,Kamiah Smalls,,,,,,,,,,,,,,,1.2833333333333332,,-3.0,,,,
kiki-iriafen,Kiki Iriafen,F,3.0,,2.0,,1.0,,0.6,15.0,9.0,3.0,1.0,4.0,4.0,26.95,3.0,-3.0,22.0,5.0,3.0,1.0
lucy-olsen,Lucy Olsen,,2.0,,1.0,,,,1.0,1.0,1.0,3.0,,,,15.716666666666667,,-12.0,2.0,1.0,,3.0
maya-caldwell,Maya Caldwell,,2.0,,2.0,,,,0.5,2.0,1.0,4.0,,,,10.283333333333333,,-9.0,2.0,2.0,2.0,2.0
naz-hillmon,Naz Hillmon,F,5.0,2.0,6.0,0.286,7.0,2.0,0.455,11.0,5.0,2.0,1.0,2.0,2.0,35.666666666666664,7.0,18.0,14.0,13.0,,6.0
nia-coffey,Nia Coffey,,,,4.0,0.667,3.0,2.0,0.556,9.0,5.0,2.0,0.75,4.0,3.0,16.916666666666668,,11.0,15.0,4.0,1.0,1.0
shakira-austin,Shakira Austin,F,2.0,1.0,3.0,,2.0,,0.636,11.0,7.0,4.0,1.0,2.0,2.0,29.033333333333335,,-18.0,16.0,3.0,3.0,7.0
shatori-walker-kimbrough,Shatori Walker-Kimbrough,,,,,,,,,1.0,,,,,,5.716666666666667,,1.0,,,,
sonia-citron,Sonia Citron,W,3.0,,,0.25,4.0,1.0,0.364,11.0,4.0,3.0,0.875,8.0,7.0,32.583333333333336,1.0,-16.0,16.0,1.0,2.0,
stefanie-dolson,Stefanie Dolson,,,,3.0,,,,1.0,1.0,1.0,2.0,,,,11.216666666666667,,1.0,2.0,3.0,,2.0
sug-sutton,Sug Sutton,G,3.0,,2.0,0.667,3.0,2.0,0.571,7.0,4.0,1.0,1.0,3.0,3.0,25.983333333333334,,-1.0,13.0,2.0,,5.0
taylor-thierry,Taylor Thierry,,,,,,,,,,,,,,,0.11666666666666667,,2.0,,,,
te-hina-paopao,Te-Hina PaoPao,,5.0,1.0,1.0,0.25,4.0,1.0,0.5,6.0,3.0,2.0,,,,32.61666666666667,,22.0,7.0,1.0,2.0,1.0
