player_id,player_name,positions,assists,blocks,def_rebounds,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,fouls,ft_pct,fta,ftm,minutes,off_rebounds,plus_minus,points,rebounds,steals,turnovers
aja-wilson,A'ja Wilson,,5.0,2.0,6.0,,1.0,,0.438,16.0,7.0,,0.778,9.0,7.0,38.016666666666666,4.0,2.0,21.0,10.0,1.0,
aaliyah-nye,Aaliyah Nye,,,,,,1.0,,,1.0,,,,,,1.4333333333333333,,-1.0,,,,
alyssa-thomas,Alyssa Thomas,F,9.0,1.0,10.0,,,,0.7,10.0,7.0,1.0,0.25,4.0,1.0,38.016666666666666,,-2.0,15.0,10.0,,5.0
chelsea-gray,Chelsea Gray,G,10.0,1.0,7.0,0.25,4.0,1.0,0.286,7.0,2.0,1.0,1.0,3.0,3.0,35.38333333333333,,10.0,8.0,7.0,1.0,1.0
dana-evans,Dana Evans,G,3.0,,2.0,0.833,6.0,5.0,0.615,13.0,8.0,,,,,25.583333333333332,,9.0,21.0,2.0,4.0,
dewanna-bonner,DeWanna Bonner,,,1.0,6.0,0.286,7.0,2.0,0.308,13.0,4.0,3.0,,,,26.383333333333333,2.0,-12.0,10.0,8.0,1.0,1.0
jackie-young,Jackie Young,G,5.0,,1.0,,6.0,,0.231,13.0,3.0,5.0,1.0,4.0,4.0,31.7,1.0,-6.0,10.0,2.0,2.0,2.0
jewell-loyd,Jewell Loyd,,,,2.0,0.286,7.0,2.0,0.5,16.0,8.0,4.0,,,,34.6,2.0,3.0,18.0,4.0,,1.0
kahleah-copper,Kahleah Copper,W,1.0,,3.0,0.556,9.0,5.0,0.583,12.0,7.0,3.0,1.0,2.0,2.0,35.56666666666667,1.0,,21.0,4.0,,
kathryn-westbeld,Kathryn Westbeld,,2.0,,1.0,,2.0,,,2.0,,,,,,4.95,,1.0,,1.0,,
kiah-stokes,Kiah Stokes,,,,,,,,,,,,,,,0.21666666666666667,,,,,,
kierstan-bell,Kierstan Bell,,,,1.0,0.5,2.0,1.0,0.667,3.0,2.0,,,,,5.4,,,5.0,1.0,,
megan-gustafson,Megan Gustafson,,1.0,,1.0,,,,1.0,1.0,1.0,,,,,11.25,,4.0,2.0,1.0,,
monique-akoa-makani,Monique Akoa Makani,,3.0,,2.0,0.667,3.0,2.0,0.5,6.0,3.0,2.0,1.0,3.0,3.0,26.033333333333335,,-1.0,11.0,2.0,2.0,3.0
nalyssa-smith,NaLyssa Smith,,,,5.0,,,,1.0,2.0,2.0,2.0,,4.0,,16.416666666666668,1.0,-6.0,4.0,6.0,1.0,1.0
natasha-mack,Natasha Mack,,1.0,2.0,4.0,,,,0.667,3.0,2.0,,,,,15.783333333333333,,8.0,4.0,4.0,,1.0
sami-whitcomb,Sami Whitcomb,,,,1.0,0.25,8.0,2.0,0.25,8.0,2.0,3.0,,,,22.433333333333334,1.0,-9.0,6.0,2.0,1.0,
satou-sabally,Satou Sabally,W,4.0,,2.0,0.429,7.0,3.0,0.5,12.0,6.0,5.0,1.0,4.0,4.0,30.833333333333332,2.0,,19.0,4.0,,2.0
