player_id,player_name,positions,def_ff,def_fr,def_pd,def_sacks,def_tackles,fg_att,fg_made,gp,kr_no,kr_td,kr_yds,pass_att,pass_cmp,pass_int,pass_td,pass_yds,pat_att,pat_made,pr_no,pr_td,pr_yds,punt_no,punt_yds,recv_rec,recv_td,recv_yds,rush_att,rush_td,rush_yds
a-gonzalez,A. Gonzalez,LB,,,1.0,1.0,8.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
a-rushdy-stada,A. Rushdy Stada,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
a-rushdy-stahl,A. Rushdy Stahl,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
aaron-boadu,Aaron Boadu,LB,1.0,1.0,1.0,3.5,8.0,,,8.0,,,,,,,,,,,,,,,,,,,,,
aaron-ellis,Aaron Ellis,QB,,,,,,,,7.0,,,,161.0,82.0,7.0,9.0,1173.0,1.0,,,,,,,,,,33.0,,161.0
adedayo-odeleye,Adedayo Odeleye,LB,2.0,1.0,,7.0,34.0,,,7.0,,,,,,,,,,,,,,,,,,,,,
adrian-brudny,Adrian Brudny,LB,,,1.0,2.5,23.0,,,9.0,,,,,,,,,,,,,,,,,,,,,
adrian-grodecki,Adrian Gródecki,WR,,,,,,,,9.0,,,,,,,,,,,,,,,,5.0,,60.0,,,
adrian-jimenez,Adrian Jimenez,RB,,,,,3.0,,,9.0,,,,,,,,,,,,,,,,7.0,,71.0,63.0,2.0,235.0
adrian-kiernan,Adrian Kiernan,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,
adria-botella-moreno,Adrià Botella Moreno,TE/WR,,,,,2.0,,,11.0,,,,,,,,,,,,,,,,59.0,6.0,750.0,,,
al-mustafa-almakki,Al Mustafa Almakki,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
albert-martin-trovato-geb-bruhn,Albert Martin Trovato Geb. Bruhn,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
alberto-coq-huelva,Alberto Coq Huelva,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,
alejandro-fernandez-nieto,Alejandro Fernandez Nieto,LB,1.0,2.0,2.0,5.0,30.0,,,9.0,,,,,,,,,,,,,,,,,,,,,
alejandro-herrero,Alejandro Herrero,,,,,,2.0,,,7.0,,,,,,,,,,,,,,,,1.0,,16.0,9.0,,
aleksandr-astahin,Aleksandr Astahin,LB,,,2.0,,17.0,,,8.0,,,,,,,,,,,,,,,,,,,,,
alex-gonzales-posito,Alex Gonzales Posito,,,,,,4.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
alexander-babic,Alexander Babic,LB,,1.0,,2.0,9.0,,,9.0,,,,,,,,,,,,,,,,,,,,,
alexander-boes,Alexander Boes,DT/LB,1.0,,,1.5,6.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
alexander-eitel,Alexander Eitel,QB,,,,,,,,10.0,19.0,,411.0,10.0,5.0,1.0,,68.0,,,1.0,,3.0,,,10.0,1.0,114.0,1.0,,
alexander-frisch,Alexander Frisch,QB,,,,,,,,5.0,,,,17.0,5.0,2.0,,69.0,,,,,,,,,,,3.0,,34.0
alexander-karim-rushdy-stadahl,Alexander Karim Rushdy Stadahl,LB,,,,,5.0,,,3.0,,,,,,,,,,,,,,,,,,,,,
alexander-stadahl,Alexander Stadahl,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,
alexandre-gonzalez-posito,Alexandre Gonzalez Posito,LB,,,,1.0,51.0,,,7.0,,,,,,,,,,,,,,,,,,,,,
almustafa-almakki,Almustafa Almakki,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
alpha-jalloh,Alpha Jalloh,WR,1.0,,1.0,,34.0,,,9.0,18.0,3.0,649.0,,,,,,,,13.0,,68.0,,,24.0,4.0,305.0,4.0,1.0,39.0
ambroise-mati,Ambroise Mati,LB,1.0,2.0,1.0,1.0,50.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
anastassiadis-kiriakos,Anastassiadis Kiriakos,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,
andre-frisch,Andre Frisch,RB,,,,,4.0,,,11.0,,,,,,,,,,,,,,,,,,,27.0,1.0,133.0
andre-rene-dickmeis,Andre Rene Dickmeis,,,,,,4.0,,,7.0,1.0,,10.0,,,,,,,,,,,,,1.0,,3.0,,,
andre-rieckenberg,Andre Rieckenberg,LB,1.0,1.0,,,10.0,,,6.0,,,,,,,,,,,,,,,,,,,,,
andy-vera,Andy Vera,LB,,,3.0,,18.0,,,8.0,,,,,,,,,,,,,,,,,,,,,
anthony-dable-wolf,Anthony Dablé-Wolf,WR,,,,,1.0,,,9.0,6.0,,62.0,,,,,,,,,,,,,43.0,4.0,532.0,,,
anthony-mahoungou,Anthony Mahoungou,WR,,,,,2.0,,,12.0,4.0,,124.0,,,,,,,,2.0,,,,,43.0,8.0,635.0,,,
