player_id,player_name,positions,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,fielding_runouts,match_played
a-dananjaya,A Dananjaya,,9.0,1.0,0.0,9.0,8.0,0.0,66.0,0.0,0.0,88.0,2.0,3.0,1.0,,3.0
a-wickramasinghe,A Wickramasinghe,,,,,,,,,,,,,,3.0,,3.0
ad-hales,AD Hales,,242.0,36.0,1.0,18.0,337.0,15.0,,,,,,,5.0,1.0,10.0
ad-mathews,AD Mathews,,172.0,23.0,3.0,54.0,261.0,13.0,48.0,0.0,0.0,70.0,3.0,3.0,3.0,,10.0
ads-fletcher,ADS Fletcher,,203.0,27.0,0.0,20.0,321.0,22.0,17.0,0.0,0.0,24.0,1.0,0.0,6.0,1.0,10.0
ai-ross,AI Ross,,17.0,0.0,0.0,5.0,13.0,0.0,,,,,,,,,1.0
ak-perera,AK Perera,,97.0,16.0,0.0,12.0,140.0,5.0,,,,,,,4.0,,6.0
am-fernando,AM Fernando,,,,,,,,218.0,0.0,1.0,349.0,10.0,6.0,,1.0,10.0
agha-salman,Agha Salman,,1.0,0.0,0.0,8.0,0.0,0.0,12.0,0.0,0.0,10.0,1.0,0.0,,,1.0
azmatullah-omarzai,Azmatullah Omarzai,,52.0,6.0,5.0,46.0,123.0,12.0,156.0,0.0,1.0,289.0,8.0,8.0,1.0,1.0,9.0
b-fernando,B Fernando,,6.0,0.0,1.0,19.0,2.0,0.0,183.0,1.0,0.0,208.0,13.0,2.0,2.0,,8.0
bkg-mendis,BKG Mendis,,220.0,35.0,2.0,23.0,329.0,10.0,,,,,,,5.0,4.0,11.0
c-gomez,C Gomez,,5.0,0.0,1.0,9.0,2.0,0.0,18.0,0.0,0.0,38.0,0.0,0.0,1.0,,3.0
c-karunaratne,C Karunaratne,,46.0,7.0,2.0,39.0,86.0,5.0,30.0,0.0,0.0,82.0,0.0,1.0,1.0,,5.0
c-wickramasinghe,C Wickramasinghe,,142.0,14.0,3.0,40.0,187.0,8.0,88.0,0.0,1.0,148.0,7.0,3.0,2.0,,8.0
cak-rajitha,CAK Rajitha,,4.0,0.0,0.0,20.0,1.0,0.0,30.0,0.0,0.0,84.0,2.0,12.0,,,2.0
d-lakshan,D Lakshan,,,,,,,,,,,,,,1.0,,1.0
d-madushanka,D Madushanka,,6.0,0.0,1.0,29.0,3.0,0.0,128.0,0.0,0.0,176.0,2.0,2.0,1.0,,6.0
d-pretorius,D Pretorius,,43.0,4.0,3.0,43.0,46.0,2.0,220.0,0.0,0.0,300.0,13.0,12.0,,,10.0
dm-de-silva,DM de Silva,,37.0,3.0,0.0,31.0,47.0,2.0,84.0,0.0,0.0,89.0,3.0,1.0,3.0,,6.0
dn-wellalage,DN Wellalage,,81.0,11.0,2.0,52.0,104.0,3.0,153.0,0.0,0.0,205.0,9.0,5.0,2.0,,9.0
dps-sooriyabandara,DPS Sooriyabandara,,,,,,,,,,,,,,,1.0,1.0
e-malinga,E Malinga,,17.0,0.0,0.0,10.0,15.0,1.0,11.0,0.0,0.0,26.0,0.0,2.0,,,1.0
fa-allen,FA Allen,,21.0,3.0,3.0,53.0,32.0,2.0,186.0,0.0,0.0,261.0,10.0,0.0,5.0,,11.0
g-sanketh,G Sanketh,,2.0,0.0,1.0,11.0,1.0,0.0,24.0,0.0,0.0,57.0,0.0,3.0,,,1.0
gd-phillips,GD Phillips,,179.0,16.0,1.0,30.0,252.0,12.0,36.0,0.0,0.0,76.0,1.0,0.0,1.0,1.0,8.0
gs-dinusha,GS Dinusha,,16.0,1.0,0.0,7.0,17.0,0.0,18.0,0.0,0.0,39.0,1.0,0.0,,2.0,3.0
i-udana,I Udana,,78.0,10.0,1.0,40.0,128.0,8.0,216.0,0.0,2.0,375.0,14.0,8.0,2.0,,10.0
i-wijesundera,I Wijesundera,,18.0,1.0,0.0,17.0,12.0,0.0,66.0,0.0,0.0,68.0,4.0,1.0,3.0,1.0,4.0
ibrahim-zadran,Ibrahim Zadran,,21.0,6.0,0.0,6.0,31.0,0.0,,,,,,,1.0,,2.0
j-liyanage,J Liyanage,,102.0,14.0,0.0,46.0,136.0,4.0,48.0,0.0,0.0,95.0,0.0,3.0,4.0,,9.0
jdf-vandersay,JDF Vandersay,,1.0,0.0,0.0,11.0,0.0,0.0,24.0,0.0,0.0,26.0,0.0,0.0,,,1.0
jp-behrendorff,JP Behrendorff,,,,,,,,120.0,0.0,1.0,170.0,5.0,3.0,,,6.0
k-nadeeshan,K Nadeeshan,,5.0,0.0,0.0,19.0,8.0,1.0,114.0,0.0,0.0,149.0,5.0,1.0,1.0,,6.0
k-pathiratne,K Pathiratne,,13.0,0.0,1.0,8.0,7.0,0.0,,,,,,,1.0,,2.0
kic-asalanka,KIC Asalanka,,110.0,12.0,2.0,50.0,173.0,12.0,48.0,0.0,0.0,92.0,0.0,1.0,2.0,,11.0
ld-chandimal,LD Chandimal,,170.0,28.0,0.0,11.0,287.0,18.0,,,,,,,4.0,3.0,10.0
lu-igalagamage,LU Igalagamage,,41.0,6.0,1.0,14.0,52.0,1.0,,,,,,,2.0,,4.0
m-pathirana,M Pathirana,,5.0,0.0,2.0,21.0,2.0,0.0,190.0,0.0,0.0,264.0,15.0,15.0,2.0,1.0,9.0
m-tharupathi,M Tharupathi,,,,,,,,42.0,0.0,0.0,63.0,1.0,1.0,,,3.0
m-theekshana,M Theekshana,,19.0,1.0,2.0,38.0,13.0,0.0,245.0,0.0,0.0,300.0,11.0,7.0,3.0,1.0,10.0
madi-hemantha,MADI Hemantha,,37.0,1.0,1.0,41.0,46.0,4.0,120.0,0.0,0.0,128.0,11.0,0.0,1.0,2.0,6.0
md-gunathilaka,MD Gunathilaka,,25.0,2.0,0.0,5.0,21.0,1.0,,,,,,,,,3.0
md-shanaka,MD Shanaka,,58.0,8.0,1.0,52.0,108.0,8.0,181.0,0.0,0.0,263.0,13.0,14.0,2.0,1.0,10.0
mdkj-perera,MDKJ Perera,,175.0,29.0,1.0,16.0,296.0,14.0,,,,,,,3.0,,8.0
mnk-fernando,MNK Fernando,,69.0,9.0,0.0,17.0,87.0,3.0,6.0,0.0,0.0,13.0,0.0,0.0,6.0,,6.0
ms-chapman,MS Chapman,,159.0,22.0,3.0,36.0,225.0,8.0,,,,,,,6.0,,8.0
mohammad-haris,Mohammad Haris,,121.0,19.0,0.0,29.0,188.0,12.0,,,,,,,5.0,,10.0
mohammad-hasnain,Mohammad Hasnain,,,,,,,,90.0,0.0,3.0,156.0,7.0,9.0,2.0,,5.0
mohammad-nabi,Mohammad Nabi,,72.0,5.0,0.0,32.0,78.0,4.0,156.0,1.0,0.0,167.0,6.0,0.0,5.0,,8.0
mustafizur-rahman,Mustafizur Rahman,,1.0,0.0,1.0,10.0,1.0,0.0,90.0,0.0,0.0,166.0,5.0,2.0,,,4.0
n-dickwella,N Dickwella,,120.0,25.0,0.0,12.0,184.0,7.0,,,,,,,5.0,4.0,10.0
n-pradeep,N Pradeep,,2.0,0.0,0.0,10.0,0.0,0.0,85.0,1.0,0.0,135.0,8.0,4.0,2.0,,4.0
n-thushara,N Thushara,,5.0,0.0,2.0,21.0,1.0,0.0,154.0,0.0,1.0,252.0,8.0,11.0,,1.0,7.0
n-vimukthi,N Vimukthi,,,,,,,,24.0,0.0,0.0,50.0,0.0,0.0,,,1.0
nd-perera,ND Perera,,13.0,2.0,0.0,10.0,16.0,0.0,,,,,,,,,2.0
ngrp-jayasuriya,NGRP Jayasuriya,,0.0,0.0,1.0,11.0,0.0,0.0,78.0,0.0,0.0,116.0,4.0,2.0,,,4.0
nltc-perera,NLTC Perera,,92.0,11.0,1.0,46.0,112.0,5.0,84.0,0.0,0.0,130.0,2.0,1.0,1.0,1.0,9.0
