player_id,player_name,positions,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,fielding_runouts,match_played
a-nortje,A Nortje,,3.0,0.0,0.0,10.0,4.0,0.0,60.0,0.0,1.0,69.0,6.0,3.0,,,3.0
a-simelane,A Simelane,,32.0,1.0,1.0,15.0,26.0,0.0,12.0,0.0,1.0,26.0,0.0,0.0,2.0,,3.0
af-milne,AF Milne,,2.0,0.0,0.0,9.0,0.0,0.0,60.0,0.0,0.0,54.0,6.0,0.0,,,3.0
aj-hosein,AJ Hosein,,10.0,1.0,1.0,8.0,22.0,2.0,42.0,0.0,0.0,45.0,2.0,0.0,1.0,,2.0
aj-turner,AJ Turner,,21.0,1.0,1.0,11.0,31.0,2.0,,,,,,,,,2.0
ak-markram,AK Markram,,305.0,33.0,4.0,67.0,397.0,11.0,144.0,0.0,0.0,204.0,5.0,5.0,5.0,1.0,15.0
al-phehlukwayo,AL Phehlukwayo,,42.0,3.0,2.0,27.0,50.0,3.0,12.0,0.0,1.0,20.0,0.0,0.0,3.0,,4.0
am-tribe,AM Tribe,,17.0,3.0,0.0,7.0,21.0,0.0,18.0,0.0,0.0,17.0,0.0,0.0,3.0,,2.0
azmatullah-omarzai,Azmatullah Omarzai,,19.0,2.0,1.0,24.0,18.0,0.0,72.0,0.0,0.0,96.0,2.0,1.0,2.0,,5.0
b-parsons,B Parsons,,97.0,11.0,0.0,11.0,128.0,6.0,42.0,0.0,0.0,76.0,4.0,1.0,4.0,1.0,6.0
b-swanepoel,B Swanepoel,,6.0,0.0,0.0,16.0,1.0,0.0,42.0,0.0,0.0,65.0,2.0,4.0,3.0,,2.0
ba-king,BA King,,29.0,3.0,0.0,7.0,24.0,1.0,,,,,,,2.0,,5.0
bc-fortuin,BC Fortuin,,34.0,2.0,0.0,42.0,23.0,0.0,312.0,1.0,0.0,333.0,12.0,4.0,,2.0,13.0
bs-makhanya,BS Makhanya,,33.0,1.0,0.0,12.0,30.0,1.0,6.0,0.0,0.0,10.0,0.0,1.0,2.0,,3.0
c-bosch,C Bosch,,12.0,2.0,2.0,26.0,14.0,0.0,174.0,0.0,0.0,278.0,13.0,8.0,3.0,3.0,10.0
c-esterhuizen,C Esterhuizen,,125.0,11.0,0.0,26.0,149.0,6.0,,,,,,,6.0,1.0,9.0
c-overton,C Overton,,17.0,1.0,0.0,38.0,15.0,0.0,132.0,1.0,0.0,141.0,8.0,1.0,5.0,,6.0
ca-ingram,CA Ingram,,64.0,7.0,0.0,24.0,64.0,2.0,,,,,,,4.0,1.0,9.0
cg-benjamin,CG Benjamin,,2.0,0.0,0.0,5.0,0.0,0.0,,,,,,,1.0,2.0,1.0
cj-dala,CJ Dala,,9.0,0.0,1.0,9.0,5.0,0.0,68.0,0.0,2.0,115.0,4.0,2.0,2.0,1.0,6.0
cj-king,CJ King,,,,,,,,18.0,0.0,0.0,17.0,1.0,0.0,,,1.0
cr-woakes,CR Woakes,,9.0,1.0,0.0,22.0,10.0,0.0,84.0,0.0,0.0,134.0,5.0,2.0,2.0,,4.0
codi-yusuf,Codi Yusuf,,12.0,1.0,1.0,17.0,10.0,0.0,42.0,0.0,0.0,66.0,2.0,1.0,1.0,,2.0
d-brevis,D Brevis,,182.0,20.0,5.0,63.0,345.0,30.0,30.0,0.0,0.0,39.0,3.0,1.0,8.0,2.0,14.0
d-ferreira,D Ferreira,,118.0,9.0,2.0,54.0,184.0,13.0,144.0,0.0,0.0,141.0,9.0,4.0,8.0,1.0,12.0
d-marais,D Marais,,3.0,0.0,0.0,5.0,2.0,0.0,,,,,,,,1.0,2.0
d-potgieter,D Potgieter,,115.0,17.0,7.0,65.0,176.0,8.0,78.0,0.0,0.0,118.0,8.0,3.0,1.0,,11.0
d-pretorius,D Pretorius,,11.0,2.0,0.0,13.0,13.0,0.0,48.0,0.0,0.0,94.0,2.0,3.0,2.0,1.0,5.0
d-wiese,D Wiese,,18.0,1.0,1.0,23.0,21.0,1.0,119.0,1.0,0.0,139.0,6.0,1.0,3.0,,6.0
da-miller,DA Miller,,219.0,23.0,6.0,53.0,312.0,13.0,,,,,,,8.0,,11.0
dg-bedingham,DG Bedingham,,201.0,28.0,0.0,25.0,241.0,2.0,,,,,,,1.0,,12.0
dl-piedt,DL Piedt,,,,,,,,24.0,0.0,0.0,28.0,3.0,0.0,,,1.0
dm-dupavillon,DM Dupavillon,,,,,,,,42.0,1.0,1.0,68.0,3.0,2.0,,,2.0
dn-wellalage,DN Wellalage,,37.0,5.0,0.0,16.0,38.0,0.0,156.0,1.0,0.0,159.0,6.0,2.0,1.0,,7.0
dp-conway,DP Conway,,289.0,46.0,2.0,18.0,364.0,8.0,,,,,,,1.0,1.0,13.0
daniel-smith,Daniel Smith,QB,12.0,1.0,0.0,6.0,9.0,0.0,,,,,,,2.0,,1.0
dayyaan-galiem,Dayyaan Galiem,,36.0,1.0,2.0,30.0,33.0,2.0,145.0,0.0,4.0,251.0,8.0,7.0,,,10.0
dian-forrester,Dian Forrester,,7.0,1.0,1.0,7.0,10.0,0.0,6.0,0.0,0.0,9.0,0.0,1.0,2.0,,2.0
duan-jansen,Duan Jansen,,,,,,,,36.0,0.0,0.0,35.0,5.0,2.0,,,2.0
e-bosch,E Bosch,,21.0,3.0,1.0,27.0,22.0,0.0,152.0,0.0,2.0,229.0,11.0,8.0,2.0,,9.0
e-malinga,E Malinga,,4.0,0.0,0.0,10.0,8.0,1.0,72.0,0.0,1.0,106.0,4.0,4.0,1.0,,3.0
evan-jones,Evan Jones,,63.0,5.0,3.0,39.0,85.0,4.0,90.0,0.0,0.0,133.0,4.0,4.0,6.0,,10.0
f-du-plessis,F du Plessis,,221.0,27.0,0.0,20.0,291.0,13.0,,,,,,,11.0,,12.0
g-coetzee,G Coetzee,,3.0,0.0,1.0,8.0,13.0,2.0,18.0,0.0,0.0,32.0,2.0,1.0,,,1.0
gc-viljoen,GC Viljoen,,33.0,1.0,1.0,40.0,22.0,0.0,168.0,0.0,2.0,222.0,14.0,11.0,1.0,,8.0
gf-linde,GF Linde,,112.0,8.0,4.0,55.0,163.0,13.0,228.0,0.0,1.0,263.0,14.0,4.0,3.0,,12.0
gg-peters,GG Peters,,1.0,0.0,1.0,11.0,1.0,0.0,72.0,0.0,1.0,100.0,4.0,2.0,,,3.0
h-klaasen,H Klaasen,,168.0,15.0,1.0,52.0,223.0,13.0,,,,,,,5.0,,10.0
he-van-der-dussen,HE van der Dussen,,329.0,26.0,3.0,16.0,423.0,23.0,,,,,,,2.0,,13.0
imran-tahir,Imran Tahir,,8.0,0.0,1.0,19.0,4.0,0.0,186.0,0.0,0.0,191.0,7.0,5.0,3.0,,9.0
j-hermann,J Hermann,,257.0,29.0,2.0,45.0,333.0,11.0,,,,,,,3.0,,13.0
jc-buttler,JC Buttler,,23.0,4.0,0.0,6.0,32.0,1.0,,,,,,,1.0,,2.0
jds-neesham,JDS Neesham,,70.0,6.0,1.0,39.0,95.0,6.0,110.0,0.0,0.0,144.0,7.0,8.0,2.0,,7.0
je-root,JE Root,,199.0,29.0,3.0,17.0,279.0,6.0,114.0,0.0,0.0,133.0,5.0,2.0,1.0,1.0,8.0
jf-smith,JF Smith,,23.0,4.0,0.0,22.0,46.0,3.0,,,,,,,1.0,,4.0
jl-du-plooy,JL du Plooy,,106.0,7.0,2.0,19.0,117.0,4.0,,,,,,,4.0,1.0,7.0
jm-bairstow,JM Bairstow,,229.0,23.0,2.0,40.0,298.0,15.0,,,,,,,9.0,4.0,13.0
jp-behrendorff,JP Behrendorff,,4.0,0.0,0.0,10.0,2.0,0.0,72.0,0.0,0.0,105.0,2.0,0.0,1.0,,3.0
jp-king,JP King,,10.0,1.0,0.0,3.0,9.0,0.0,,,,,,,,,1.0
jt-smuts,JT Smuts,,26.0,5.0,0.0,19.0,34.0,0.0,24.0,0.0,0.0,38.0,1.0,0.0,,,3.0
janco-smit,Janco Smit,,,,,,,,24.0,0.0,0.0,37.0,1.0,0.0,,,1.0
k-lion-cachet,K Lion-Cachet,,105.0,16.0,2.0,38.0,131.0,2.0,,,,,,,1.0,1.0,6.0
k-rabada,K Rabada,,9.0,2.0,1.0,20.0,12.0,0.0,193.0,4.0,2.0,232.0,14.0,7.0,1.0,,9.0
k-verreynne,K Verreynne,,157.0,17.0,1.0,43.0,186.0,5.0,,,,,,,7.0,1.0,11.0
ka-maharaj,KA Maharaj,,31.0,2.0,0.0,42.0,27.0,2.0,282.0,0.0,0.0,330.0,11.0,5.0,3.0,,12.0
kd-karthik,KD Karthik,,107.0,12.0,2.0,47.0,130.0,5.0,,,,,,,5.0,4.0,10.0
ki-simmonds,KI Simmonds,,6.0,0.0,1.0,18.0,7.0,1.0,54.0,0.0,0.0,63.0,1.0,1.0,,,3.0
kj-dudgeon,KJ Dudgeon,,2.0,0.0,0.0,5.0,1.0,0.0,30.0,0.0,2.0,55.0,1.0,2.0,,,2.0
ks-williamson,KS Williamson,,238.0,27.0,3.0,28.0,287.0,6.0,,,,,,,1.0,,10.0
kt-maphaka,KT Maphaka,,32.0,1.0,4.0,41.0,25.0,2.0,218.0,0.0,2.0,352.0,7.0,11.0,2.0,,11.0
kth-ratnayake,KTH Ratnayake,,1.0,0.0,1.0,11.0,1.0,0.0,65.0,0.0,0.0,74.0,4.0,0.0,,,3.0
karim-janat,Karim Janat,,,,,,,,6.0,0.0,0.0,10.0,0.0,0.0,,,1.0
l-gregory,L Gregory,,13.0,0.0,0.0,13.0,9.0,0.0,34.0,0.0,0.0,52.0,2.0,4.0,,,2.0
l-ngidi,L Ngidi,,16.0,1.0,3.0,54.0,12.0,0.0,156.0,0.0,0.0,270.0,3.0,4.0,1.0,1.0,8.0
l-sipamla,L Sipamla,,9.0,1.0,1.0,19.0,8.0,0.0,193.0,2.0,4.0,266.0,12.0,4.0,1.0,,9.0
la-dawson,LA Dawson,,32.0,2.0,1.0,50.0,47.0,3.0,195.0,0.0,0.0,225.0,14.0,2.0,6.0,1.0,12.0
lb-williams,LB Williams,,,,,,,,12.0,0.0,0.0,19.0,1.0,0.0,,,1.0
