player_id,player_name,positions,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,fielding_runouts,match_played
a-capsey,A Capsey,,268.0,36.0,0.0,40.0,283.0,3.0,182.0,0.0,0.0,240.0,8.0,5.0,4.0,1.0,14.0
a-gardner,A Gardner,,260.0,23.0,1.0,43.0,289.0,7.0,298.0,0.0,0.0,390.0,21.0,3.0,9.0,2.0,14.0
a-king,A King,,91.0,11.0,4.0,70.0,103.0,2.0,314.0,0.0,0.0,346.0,19.0,4.0,6.0,1.0,15.0
a-learoyd,A Learoyd,,127.0,16.0,2.0,63.0,140.0,3.0,,,,,,,3.0,1.0,11.0
a-oneil,A O'Neil,,6.0,1.0,1.0,14.0,5.0,0.0,,,,,,,1.0,1.0,3.0
a-smith,A Smith,,26.0,3.0,1.0,56.0,24.0,0.0,168.0,0.0,1.0,206.0,9.0,7.0,1.0,2.0,13.0
a-sutherland,A Sutherland,,244.0,29.0,1.0,58.0,288.0,5.0,292.0,2.0,4.0,347.0,23.0,14.0,10.0,1.0,14.0
a-wellington,A Wellington,,27.0,3.0,3.0,35.0,26.0,0.0,294.0,0.0,0.0,268.0,23.0,6.0,3.0,1.0,15.0
ac-jayangani,AC Jayangani,,434.0,75.0,1.0,23.0,552.0,18.0,215.0,1.0,2.0,245.0,9.0,3.0,7.0,,14.0
ac-kerr,AC Kerr,,293.0,47.0,1.0,40.0,355.0,0.0,270.0,1.0,0.0,331.0,10.0,4.0,2.0,1.0,12.0
ac-mushangwe,AC Mushangwe,,2.0,0.0,1.0,10.0,2.0,0.0,288.0,2.0,0.0,311.0,16.0,4.0,4.0,1.0,15.0
ae-jones,AE Jones,,173.0,25.0,2.0,61.0,262.0,7.0,,,,,,,7.0,1.0,12.0
aj-healy,AJ Healy,,10.0,0.0,0.0,2.0,10.0,1.0,,,,,,,1.0,3.0,1.0
al-edgar,AL Edgar,,105.0,10.0,3.0,69.0,91.0,0.0,286.0,0.0,1.0,322.0,20.0,6.0,7.0,1.0,15.0
bam-heath,BAM Heath,,139.0,26.0,2.0,70.0,171.0,3.0,,,,,,,2.0,4.0,14.0
be-patterson,BE Patterson,,278.0,31.0,3.0,54.0,304.0,4.0,,,,,,,9.0,15.0,15.0
bf-smith,BF Smith,,132.0,11.0,0.0,33.0,90.0,0.0,30.0,0.0,0.0,39.0,0.0,2.0,4.0,,12.0
bl-mooney,BL Mooney,,389.0,75.0,4.0,31.0,557.0,9.0,,,,,,,8.0,8.0,15.0
c-moore,C Moore,,14.0,0.0,1.0,21.0,3.0,0.0,,,,,,,1.0,1.0,5.0
c-piparo,C Piparo,,73.0,8.0,2.0,33.0,75.0,0.0,,,,,,,2.0,,10.0
c-webb,C Webb,,154.0,19.0,2.0,54.0,158.0,0.0,18.0,0.0,0.0,32.0,0.0,0.0,,,12.0
cc-ainsworth,CC Ainsworth,,32.0,2.0,3.0,39.0,27.0,0.0,234.0,0.0,0.0,295.0,15.0,22.0,4.0,1.0,13.0
cg-sippel,CG Sippel,,11.0,0.0,2.0,31.0,5.0,0.0,366.0,0.0,1.0,453.0,16.0,21.0,7.0,1.0,17.0
cl-tryon,CL Tryon,,211.0,30.0,1.0,62.0,277.0,9.0,204.0,0.0,0.0,265.0,9.0,6.0,1.0,1.0,12.0
