player_id,player_name,positions,assists,blocks,def_rebounds,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,fouls,ft_pct,fta,ftm,minutes,off_rebounds,plus_minus,points,rebounds,steals,turnovers
aja-wilson,A'ja Wilson,,95.0,94.0,362.0,13.616,97.0,33.0,23.37,653.0,334.0,97.0,36.059000000000005,254.0,205.0,1451.2833333333333,81.0,405.0,906.0,443.0,62.0,74.0
ad-durr,AD Durr,,30.0,4.0,23.0,5.667,57.0,23.0,8.203999999999999,152.0,60.0,32.0,9.149999999999999,39.0,31.0,367.96666666666664,7.0,-45.0,174.0,30.0,10.0,22.0
aari-mcdonald,Aari McDonald,G,93.0,1.0,66.0,10.799999999999997,142.0,48.0,14.791,319.0,131.0,78.0,24.796999999999997,101.0,88.0,876.0666666666667,15.0,-4.0,398.0,81.0,52.0,77.0
aerial-powers,Aerial Powers,,100.0,11.0,118.0,7.854000000000001,107.0,33.0,12.834,441.0,170.0,63.0,27.076000000000004,162.0,132.0,943.3666666666668,46.0,-128.0,505.0,164.0,42.0,90.0
aisha-sheppard,Aisha Sheppard,,10.0,1.0,8.0,3.2830000000000004,36.0,9.0,3.617,46.0,10.0,27.0,3.0,8.0,6.0,189.46666666666667,6.0,-47.0,35.0,14.0,5.0,9.0
alaina-coates,Alaina Coates,,2.0,3.0,10.0,,,,4.5,11.0,7.0,18.0,4.75,15.0,14.0,74.96666666666665,6.0,-48.0,28.0,16.0,2.0,5.0
alanna-smith,Alanna Smith,F,5.0,6.0,16.0,2.667,25.0,6.0,2.4290000000000003,42.0,14.0,17.0,1.75,7.0,5.0,115.53333333333335,8.0,-36.0,39.0,24.0,8.0,8.0
allie-quigley,Allie Quigley,,122.0,9.0,92.0,14.176,188.0,65.0,17.612000000000002,381.0,156.0,65.0,27.434000000000005,94.0,86.0,1127.1166666666668,19.0,176.0,463.0,111.0,32.0,55.0
allisha-gray,Allisha Gray,G,98.0,25.0,138.0,13.998000000000003,170.0,67.0,15.497000000000002,376.0,161.0,84.0,21.033,114.0,89.0,1192.9166666666665,32.0,70.0,478.0,170.0,42.0,44.0
alysha-clark,Alysha Clark,,65.0,9.0,115.0,8.319,103.0,32.0,13.854000000000001,203.0,95.0,60.0,9.667,26.0,23.0,817.0,23.0,108.0,245.0,138.0,31.0,39.0
alyssa-thomas,Alyssa Thomas,F,293.0,15.0,306.0,,3.0,,23.289000000000005,511.0,252.0,130.0,28.382,181.0,127.0,1555.716666666666,102.0,261.0,631.0,408.0,80.0,133.0
amy-atwell,Amy Atwell,,2.0,,1.0,0.5,6.0,1.0,0.5,9.0,1.0,1.0,,,,31.55,1.0,-9.0,3.0,2.0,,2.0
angel-mccoughtry,Angel McCoughtry,,2.0,2.0,6.0,,1.0,,0.867,8.0,3.0,3.0,2.0,6.0,6.0,19.71666666666667,,-24.0,12.0,6.0,1.0,3.0
anneli-maley,Anneli Maley,,3.0,1.0,4.0,0.667,3.0,2.0,1.0,6.0,3.0,6.0,,,,44.45,3.0,11.0,8.0,7.0,3.0,1.0
ariel-atkins,Ariel Atkins,,94.0,9.0,84.0,14.447,206.0,77.0,16.411000000000005,469.0,196.0,107.0,22.82,105.0,89.0,1147.1166666666668,36.0,148.0,558.0,120.0,48.0,53.0
arike-ogunbowale,Arike Ogunbowale,W,108.0,3.0,80.0,9.906000000000002,238.0,83.0,11.658999999999997,513.0,204.0,65.0,20.114000000000008,124.0,99.0,947.3500000000001,18.0,-6.0,590.0,98.0,45.0,54.0
awak-kuier,Awak Kuier,,29.0,31.0,63.0,4.0,23.0,4.0,11.391,89.0,34.0,26.0,8.458,31.0,19.0,430.5666666666667,25.0,-29.0,91.0,88.0,13.0,19.0
azura-stevens-2,Azura Stevens,,32.0,46.0,140.0,13.97,132.0,45.0,19.438,371.0,175.0,80.0,16.683999999999997,48.0,35.0,918.516666666667,27.0,3.0,430.0,167.0,25.0,32.0
beatrice-mompremier,Beatrice Mompremier,,8.0,12.0,39.0,,,,8.018,44.0,20.0,28.0,2.5,13.0,5.0,175.21666666666664,20.0,-11.0,45.0,59.0,2.0,15.0
