game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,fielding_runouts,match_played
cricket-cpl-2023-08-26-1369567,2023-08-26,2023,1,CPL,St Kitts and Nevis Patriots,Barbados Royals,28.0,1.0,0.0,4.0,30.0,2.0,,,,,,,,,1.0
cricket-cpl-2023-08-30-1369570,2023-08-30,2023,1,CPL,Trinbago Knight Riders,Barbados Royals,7.0,0.0,0.0,4.0,2.0,0.0,,,,,,,1.0,,1.0
cricket-cpl-2023-08-31-1369571,2023-08-31,2023,1,CPL,Jamaica Tallawahs,Barbados Royals,48.0,7.0,0.0,4.0,76.0,3.0,,,,,,,,,1.0
cricket-cpl-2023-09-02-1369573,2023-09-02,2023,1,CPL,St Lucia Kings,Barbados Royals,11.0,0.0,0.0,3.0,4.0,0.0,,,,,,,2.0,,1.0
cricket-cpl-2023-09-03-1369575,2023-09-03,2023,1,CPL,St Kitts and Nevis Patriots,Barbados Royals,10.0,1.0,1.0,5.0,13.0,0.0,,,,,,,1.0,,1.0
cricket-cpl-2023-09-06-1369577,2023-09-06,2023,1,CPL,Trinbago Knight Riders,Barbados Royals,11.0,1.0,0.0,5.0,7.0,0.0,,,,,,,,,1.0
cricket-cpl-2023-09-10-1369580,2023-09-10,2023,1,CPL,Guyana Amazon Warriors,Barbados Royals,26.0,3.0,0.0,4.0,27.0,0.0,,,,,,,,,1.0
cricket-cpl-2023-09-17-1369587,2023-09-17,2023,1,CPL,Guyana Amazon Warriors,Barbados Royals,11.0,1.0,0.0,4.0,6.0,0.0,,,,,,,1.0,,1.0
cricket-odi-2023-06-09-1377007,2023-06-09,2023,1,ODI,United Arab Emirates,West Indies,45.0,9.0,0.0,2.0,65.0,3.0,,,,,,,,,1.0
cricket-odi-2023-07-27-1381214,2023-07-27,2023,1,ODI,West Indies,India,18.0,3.0,0.0,3.0,22.0,1.0,6.0,0.0,1.0,7.0,0.0,0.0,1.0,,1.0
cricket-odi-2023-07-29-1381215,2023-07-29,2023,1,ODI,India,West Indies,9.0,0.0,0.0,3.0,6.0,0.0,,,,,,,2.0,,1.0
cricket-odi-2023-08-01-1381216,2023-08-01,2023,1,ODI,India,West Indies,50.0,3.0,0.0,2.0,32.0,0.0,,,,,,,,,1.0
cricket-odi-2023-12-03-1373576,2023-12-03,2023,1,ODI,England,West Indies,65.0,9.0,0.0,1.0,66.0,2.0,,,,,,,1.0,1.0,1.0
cricket-odi-2023-12-06-1373577,2023-12-06,2023,1,ODI,West Indies,England,14.0,0.0,0.0,1.0,4.0,0.0,,,,,,,,,1.0
cricket-odi-2023-12-09-1373578,2023-12-09,2023,1,ODI,England,West Indies,51.0,7.0,0.0,1.0,45.0,0.0,,,,,,,1.0,,1.0
cricket-tests-2023-07-12-1381212,2023-07-12,2023,1,TESTS,West Indies,India,143.0,11.0,0.0,5.0,75.0,1.0,96.0,2.0,0.0,53.0,1.0,0.0,2.0,,1.0
cricket-tests-2023-07-20-1381213,2023-07-20,2023,1,TESTS,India,West Indies,115.0,3.0,0.0,5.0,37.0,0.0,24.0,0.0,0.0,12.0,0.0,0.0,,,1.0
cricket-cpl-2024-09-11-1428690,2024-09-11,2024,1,CPL,Antigua and Barbuda Falcons,Barbados Royals,29.0,3.0,0.0,2.0,34.0,1.0,,,,,,,,,1.0
cricket-cpl-2024-09-13-1428692,2024-09-13,2024,1,CPL,Barbados Royals,Trinbago Knight Riders,2.0,0.0,0.0,3.0,0.0,0.0,,,,,,,,,1.0
cricket-cpl-2024-09-14-1428693,2024-09-14,2024,1,CPL,Barbados Royals,Guyana Amazon Warriors,19.0,0.0,0.0,3.0,16.0,1.0,,,,,,,,,1.0
cricket-cpl-2024-09-17-1428695,2024-09-17,2024,1,CPL,St Kitts and Nevis Patriots,Barbados Royals,15.0,3.0,1.0,3.0,22.0,0.0,,,,,,,2.0,,1.0
cricket-cpl-2024-09-21-1428699,2024-09-21,2024,1,CPL,Barbados Royals,St Lucia Kings,15.0,1.0,0.0,4.0,10.0,0.0,,,,,,,,,1.0
cricket-cpl-2024-09-22-1428701,2024-09-22,2024,1,CPL,St Lucia Kings,Barbados Royals,23.0,0.0,0.0,4.0,19.0,1.0,,,,,,,,,1.0
cricket-cpl-2024-09-25-1428704,2024-09-25,2024,1,CPL,Guyana Amazon Warriors,Barbados Royals,10.0,1.0,0.0,3.0,8.0,0.0,,,,,,,,,1.0
cricket-cpl-2024-09-27-1428705,2024-09-27,2024,1,CPL,Trinbago Knight Riders,Barbados Royals,33.0,1.0,0.0,4.0,44.0,4.0,,,,,,,,,1.0
cricket-cpl-2024-10-04-1428710,2024-10-04,2024,1,CPL,Barbados Royals,Guyana Amazon Warriors,24.0,3.0,0.0,3.0,26.0,1.0,,,,,,,,,1.0
cricket-odi-2024-02-02-1375847,2024-02-02,2024,1,ODI,West Indies,Australia,11.0,1.0,0.0,1.0,5.0,0.0,,,,,,,1.0,,1.0
cricket-odi-2024-02-04-1375848,2024-02-04,2024,1,ODI,Australia,West Indies,14.0,2.0,0.0,1.0,11.0,0.0,,,,,,,,,1.0
cricket-odi-2024-02-06-1375849,2024-02-06,2024,1,ODI,West Indies,Australia,60.0,2.0,0.0,1.0,32.0,0.0,,,,,,,,,1.0
cricket-odi-2024-10-20-1451817,2024-10-20,2024,1,ODI,West Indies,Sri Lanka,20.0,0.0,0.0,1.0,10.0,0.0,,,,,,,,,1.0
cricket-odi-2024-10-23-1451818,2024-10-23,2024,1,ODI,West Indies,Sri Lanka,3.0,0.0,0.0,2.0,1.0,0.0,18.0,0.0,0.0,12.0,0.0,1.0,,1.0,1.0
cricket-odi-2024-12-12-1433382,2024-12-12,2024,1,ODI,Bangladesh,West Indies,8.0,1.0,0.0,2.0,7.0,0.0,,,,,,,,,1.0
