game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,fielding_runouts,match_played
cricket-t20i-2019-06-29-1190608,2019-06-29,2019,1,T20I,Germany,Scotland,,,,,,,,,,,,,3.0,,1.0
cricket-t20i-2020-08-13-1229205,2020-08-13,2020,1,T20I,Germany,Austria,,,,,,,18.0,1.0,0.0,15.0,2.0,2.0,,,1.0
cricket-t20i-2020-08-13-1229206,2020-08-13,2020,1,T20I,Austria,Germany,,,,,,,12.0,0.0,0.0,10.0,0.0,1.0,,,1.0
cricket-t20i-2020-08-15-1229208,2020-08-15,2020,1,T20I,Germany,Austria,,,,,,,18.0,0.0,2.0,10.0,1.0,2.0,,,1.0
cricket-t20i-2022-06-11-1318380,2022-06-11,2022,1,T20I,Brazil,Germany,2.0,0.0,1.0,11.0,2.0,0.0,24.0,0.0,0.0,13.0,2.0,2.0,,1.0,1.0
cricket-t20i-2022-06-15-1318394,2022-06-15,2022,1,T20I,Uganda,Germany,8.0,0.0,0.0,11.0,2.0,0.0,12.0,0.0,0.0,25.0,0.0,2.0,,,1.0
cricket-t20i-2024-07-28-1444669,2024-07-28,2024,1,T20I,Italy,Germany,15.0,0.0,0.0,10.0,5.0,0.0,12.0,0.0,0.0,10.0,0.0,1.0,,,1.0
cricket-t20i-2025-08-23-1498211,2025-08-23,2025,1,T20I,Netherlands,Germany,11.0,0.0,1.0,10.0,0.0,0.0,12.0,0.0,0.0,20.0,1.0,1.0,,,1.0
cricket-t20i-2025-08-24-1498212,2025-08-24,2025,1,T20I,Ireland,Germany,2.0,0.0,1.0,10.0,0.0,0.0,18.0,0.0,0.0,31.0,0.0,3.0,,,1.0
cricket-t20i-2025-08-26-1498214,2025-08-26,2025,1,T20I,Germany,Italy,,,,,,,6.0,0.0,1.0,10.0,0.0,0.0,,,1.0
cricket-t20i-2025-08-27-1498216,2025-08-27,2025,1,T20I,Netherlands,Germany,,,,,,,24.0,0.0,0.0,19.0,0.0,1.0,,,1.0
cricket-t20i-2025-08-29-1499021,2025-08-29,2025,1,T20I,Finland,Germany,,,,,,,18.0,0.0,1.0,18.0,0.0,2.0,,,1.0
cricket-t20i-2025-08-30-1499026,2025-08-30,2025,1,T20I,Germany,Norway,,,,,,,12.0,0.0,3.0,12.0,0.0,2.0,,,1.0
cricket-t20i-2025-08-31-1499029,2025-08-31,2025,1,T20I,Germany,Denmark,,,,,,,24.0,0.0,0.0,12.0,2.0,1.0,,,1.0
