game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,match_played
cricket-npl-2024-12-05-1462646,2024-12-05,2024,1,NPL,Pokhara Avengers,Janakpur Bolts,,,,,,,12.0,0.0,0.0,21.0,0.0,2.0,,1.0
cricket-npl-2024-12-06-1462649,2024-12-06,2024,1,NPL,Lumbini Lions,Pokhara Avengers,,,,,,,24.0,0.0,0.0,35.0,0.0,1.0,,1.0
cricket-npl-2024-12-10-1462655,2024-12-10,2024,1,NPL,Pokhara Avengers,Karnali Yaks,3.0,0.0,0.0,10.0,1.0,0.0,,,,,,,,1.0
cricket-npl-2024-12-14-1462662,2024-12-14,2024,1,NPL,Pokhara Avengers,Kathmandu Gurkhas,,,,,,,6.0,0.0,1.0,18.0,0.0,0.0,,1.0
cricket-odi-2024-02-10-1420221,2024-02-10,2024,1,ODI,Canada,Nepal,,,,,,,30.0,0.0,0.0,31.0,1.0,2.0,,1.0
cricket-odi-2024-02-12-1420222,2024-02-12,2024,1,ODI,Canada,Nepal,,,,,,,48.0,0.0,0.0,51.0,1.0,2.0,1.0,1.0
cricket-t20i-2024-03-09-1423439,2024-03-09,2024,1,T20I,Hong Kong,Nepal,5.0,0.0,0.0,9.0,2.0,0.0,18.0,0.0,0.0,27.0,3.0,1.0,,1.0
cricket-t20i-2024-03-12-1423441,2024-03-12,2024,1,T20I,Nepal,Papua New Guinea,,,,,,,18.0,0.0,0.0,16.0,1.0,2.0,,1.0
cricket-t20i-2024-03-13-1423444,2024-03-13,2024,1,T20I,Papua New Guinea,Nepal,1.0,0.0,1.0,11.0,0.0,0.0,24.0,0.0,1.0,41.0,3.0,1.0,1.0,1.0
cricket-npl-2025-11-18-1510979,2025-11-18,2025,1,NPL,Biratnagar Kings,Pokhara Avengers,3.0,1.0,0.0,10.0,4.0,0.0,24.0,0.0,1.0,48.0,1.0,1.0,,1.0
cricket-npl-2025-11-21-1510982,2025-11-21,2025,1,NPL,Sudur Paschim Royals,Pokhara Avengers,1.0,0.0,1.0,10.0,1.0,0.0,24.0,0.0,0.0,44.0,2.0,0.0,,1.0
cricket-npl-2025-11-27-1510990,2025-11-27,2025,1,NPL,Pokhara Avengers,Janakpur Bolts,,,,,,,6.0,0.0,1.0,12.0,0.0,0.0,,1.0
cricket-npl-2025-12-02-1510997,2025-12-02,2025,1,NPL,Pokhara Avengers,Karnali Yaks,,,,,,,6.0,0.0,0.0,11.0,0.0,0.0,,1.0
cricket-npl-2025-12-04-1510999,2025-12-04,2025,1,NPL,Kathmandu Gorkhas,Pokhara Avengers,1.0,0.0,0.0,10.0,0.0,0.0,24.0,0.0,0.0,42.0,0.0,1.0,,1.0
