game_id,date,season,week,league,away,home,assists,blocks,catches,completions,drops,goals,hockeyAssists,throwAttempts,throwaways,yardsReceived,yardsThrown
SYNTHETIC_AUDL_W1_RADICALS,,,1,AUDL,,,0.0,0.0,,,0.0,3.0,,,2.0,166.0,36.0
SYNTHETIC_AUDL_W2_RADICALS,,,2,AUDL,,,1.0,0.0,,,0.0,3.0,,,1.0,139.0,6.0
SYNTHETIC_AUDL_W3_RADICALS,,,3,AUDL,,,1.0,1.0,,,0.0,1.0,,,1.0,118.0,29.0
2022-06-18-ATX-MAD,2022-06-18,2022,4,,ATX,MAD,0.0,0.0,,,0.0,0.0,,,0.0,37.0,-9.0
2022-06-25-MAD-MIN,2022-06-25,2022,5,,MAD,MIN,1.0,0.0,,,2.0,0.0,,,0.0,31.0,79.0
2022-07-10-MIN-MAD,2022-07-10,2022,7,AUDL,windchill,radicals,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2022-07-15-IND-MAD,2022-07-15,2022,8,AUDL,alleycats,radicals,0.0,0.0,,,0.0,1.0,,,0.0,55.0,-28.0
2022-07-16-MAD-DET,2022-07-16,2022,8,AUDL,radicals,mechanix,2.0,0.0,,,0.0,1.0,,,0.0,172.0,40.0
2022-07-29-CHI-MAD,2022-07-29,2022,10,AUDL,union,radicals,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2023-04-29-MAD-PIT,2023-04-29,2023,1,AUDL,MADISON RADICALS,PITTSBURGH THUNDERBIRDS,1.0,,9.0,7.0,,2.0,,7.0,,190.0,-19.0
2023-05-20-MAD-IND,2023-05-20,2023,4,AUDL,MADISON RADICALS,INDIANAPOLIS ALLEYCATS,4.0,,8.0,8.0,,,,8.0,,107.0,50.0
2023-05-27-CHI-MAD,2023-05-27,2023,5,AUDL,CHICAGO UNION,MADISON RADICALS,,,9.0,8.0,1.0,1.0,1.0,8.0,,109.0,-12.0
2023-06-04-PIT-MAD,2023-06-04,2023,6,AUDL,PITTSBURGH THUNDERBIRDS,MADISON RADICALS,,,16.0,13.0,,2.0,4.0,14.0,1.0,130.0,70.0
2023-06-23-IND-MAD,2023-06-23,2023,9,AUDL,INDIANAPOLIS ALLEYCATS,MADISON RADICALS,1.0,,13.0,11.0,,2.0,,11.0,,163.0,-11.0
2023-07-01-MAD-IND,2023-07-01,2023,10,AUDL,MADISON RADICALS,INDIANAPOLIS ALLEYCATS,1.0,,19.0,19.0,1.0,,3.0,19.0,,135.0,81.0
2023-07-07-MIN-MAD,2023-07-07,2023,11,AUDL,MINNESOTA WIND CHILL,MADISON RADICALS,,,13.0,12.0,0.0,1.0,,12.0,,87.0,83.0
2023-07-08-MAD-DET,2023-07-08,2023,11,AUDL,MADISON RADICALS,DETROIT MECHANIX,2.0,,,,,,,,,,
2023-07-21-MAD-CHI,2023-07-21,2023,13,AUDL,MADISON RADICALS,CHICAGO UNION,,,8.0,6.0,,2.0,,6.0,,53.0,-1.0
2023-07-22-DET-MAD,2023-07-22,2023,13,AUDL,DETROIT MECHANIX,MADISON RADICALS,,0.0,,,,,0.0,,0.0,,
2024-05-11-MAD-PIT,2024-05-11,2024,3,UFA,radicals,thunderbirds,0.0,1.0,,,0.0,2.0,,,1.0,99.0,62.0
2024-05-18-MAD-DET,2024-05-18,2024,4,UFA,radicals,mechanix,6.0,1.0,,,0.0,1.0,,,0.0,208.0,247.0
2024-05-24-MIN-MAD,2024-05-24,2024,5,UFA,windchill,radicals,0.0,0.0,,,0.0,1.0,,,0.0,59.0,1.0
2024-05-31-MAD-CHI,2024-05-31,2024,6,UFA,radicals,union,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2024-06-02-DET-MAD,2024-06-02,2024,6,UFA,mechanix,radicals,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2024-06-08-MAD-DET,2024-06-08,2024,7,UFA,radicals,mechanix,0.0,0.0,,,0.0,1.0,,,1.0,98.0,39.0
2024-06-14-COL-MAD,2024-06-14,2024,8,UFA,summit,radicals,0.0,0.0,,,0.0,0.0,,,0.0,128.0,-38.0
2024-06-22-MAD-MIN,2024-06-22,2024,9,UFA,radicals,windchill,0.0,0.0,,,0.0,0.0,,,0.0,72.0,31.0
2024-06-29-MAD-IND,2024-06-29,2024,10,UFA,radicals,alleycats,0.0,0.0,,,0.0,1.0,,,1.0,113.0,41.0
2024-07-06-PIT-MAD,2024-07-06,2024,11,UFA,thunderbirds,radicals,2.0,1.0,,,0.0,2.0,,,0.0,107.0,39.0
2024-07-12-CHI-MAD,2024-07-12,2024,12,UFA,union,radicals,2.0,0.0,,,0.0,0.0,,,0.0,55.0,65.0
2024-07-19-IND-MAD,2024-07-19,2024,13,UFA,alleycats,radicals,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
