game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,fielding_runouts,match_played
cricket-t20i-2019-05-23-1184266,2019-05-23,2019,1,T20I,Uganda,Ghana,,,,,,,24.0,0.0,0.0,14.0,2.0,0.0,,,1.0
cricket-t20i-2021-09-10-1275044,2021-09-10,2021,1,T20I,Kenya,Uganda,6.0,2.0,1.0,9.0,10.0,0.0,,,,,,,,,1.0
cricket-t20i-2021-09-11-1275040,2021-09-11,2021,1,T20I,Uganda,Nigeria,5.0,0.0,1.0,6.0,4.0,0.0,24.0,0.0,0.0,16.0,1.0,0.0,,,1.0
cricket-t20i-2021-11-17-1289043,2021-11-17,2021,1,T20I,Kenya,Uganda,15.0,2.0,0.0,6.0,12.0,0.0,12.0,0.0,0.0,19.0,0.0,0.0,,,1.0
cricket-t20i-2021-11-17-1289044,2021-11-17,2021,1,T20I,Uganda,Nigeria,17.0,0.0,0.0,6.0,8.0,0.0,,,,,,,,,1.0
cricket-t20i-2021-11-18-1289049,2021-11-18,2021,1,T20I,Nigeria,Uganda,,,,,,,24.0,0.0,0.0,30.0,0.0,1.0,,,1.0
cricket-t20i-2021-11-20-1289050,2021-11-20,2021,1,T20I,Tanzania,Uganda,,,,,,,,,,,,,1.0,1.0,1.0
cricket-t20i-2022-04-08-1309701,2022-04-08,2022,1,T20I,Uganda,Namibia,,,,,,,,,,,,,,1.0,1.0
cricket-t20i-2022-04-09-1309702,2022-04-09,2022,1,T20I,Namibia,Uganda,,,,,,,,,,,,,1.0,,1.0
cricket-t20i-2022-04-10-1309703,2022-04-10,2022,1,T20I,Namibia,Uganda,16.0,1.0,0.0,4.0,9.0,0.0,,,,,,,1.0,,1.0
cricket-t20i-2022-09-15-1332496,2022-09-15,2022,1,T20I,Botswana,Uganda,17.0,3.0,0.0,2.0,15.0,0.0,12.0,0.0,0.0,9.0,1.0,0.0,,,1.0
cricket-t20i-2022-09-18-1332503,2022-09-18,2022,1,T20I,Uganda,Mozambique,20.0,0.0,0.0,2.0,9.0,0.0,,,,,,,,,1.0
cricket-t20i-2022-09-20-1332501,2022-09-20,2022,1,T20I,Ghana,Uganda,35.0,4.0,0.0,2.0,32.0,0.0,,,,,,,1.0,,1.0
cricket-t20i-2022-09-21-1332508,2022-09-21,2022,1,T20I,Kenya,Uganda,4.0,0.0,0.0,2.0,1.0,0.0,,,,,,,1.0,,1.0
cricket-t20i-2022-09-22-1332510,2022-09-22,2022,1,T20I,Tanzania,Uganda,1.0,0.0,0.0,2.0,0.0,0.0,24.0,0.0,0.0,31.0,0.0,0.0,,,1.0
cricket-t20i-2022-12-14-1349126,2022-12-14,2022,1,T20I,Uganda,Rwanda,15.0,3.0,0.0,8.0,18.0,0.0,12.0,0.0,0.0,8.0,0.0,0.0,1.0,,1.0
cricket-t20i-2022-12-15-1349129,2022-12-15,2022,1,T20I,Uganda,Tanzania,9.0,0.0,0.0,8.0,14.0,1.0,,,,,,,1.0,,1.0
cricket-t20i-2022-12-18-1349132,2022-12-18,2022,1,T20I,Uganda,Tanzania,15.0,1.0,1.0,7.0,13.0,0.0,,,,,,,,,1.0
cricket-t20i-2022-12-19-1349134,2022-12-19,2022,1,T20I,Uganda,Tanzania,8.0,1.0,0.0,7.0,6.0,0.0,,,,,,,,,1.0
cricket-t20i-2022-12-20-1349137,2022-12-20,2022,1,T20I,Rwanda,Uganda,,,,,,,,,,,,,1.0,,1.0
cricket-t20i-2022-12-22-1349139,2022-12-22,2022,1,T20I,Uganda,Tanzania,6.0,0.0,1.0,7.0,5.0,0.0,,,,,,,,,1.0
cricket-t20i-2022-12-23-1349140,2022-12-23,2022,1,T20I,Uganda,Rwanda,10.0,1.0,0.0,8.0,9.0,0.0,10.0,0.0,0.0,8.0,2.0,0.0,,,1.0
cricket-t20i-2023-06-10-1379577,2023-06-10,2023,1,T20I,Kenya,Uganda,3.0,0.0,0.0,8.0,1.0,0.0,,,,,,,,,1.0
cricket-t20i-2023-06-13-1379589,2023-06-13,2023,1,T20I,Uganda,Kenya,8.0,0.0,0.0,8.0,6.0,0.0,,,,,,,1.0,,1.0
cricket-t20i-2023-06-14-1379583,2023-06-14,2023,1,T20I,Uganda,Botswana,2.0,0.0,1.0,9.0,6.0,1.0,12.0,0.0,0.0,9.0,1.0,0.0,2.0,,1.0
cricket-t20i-2023-06-15-1379584,2023-06-15,2023,1,T20I,Rwanda,Uganda,,,,,,,24.0,0.0,0.0,12.0,0.0,2.0,1.0,1.0,1.0
cricket-t20i-2023-06-19-1379587,2023-06-19,2023,1,T20I,Uganda,Rwanda,11.0,1.0,0.0,6.0,15.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,,,1.0
cricket-t20i-2023-06-21-1379592,2023-06-21,2023,1,T20I,Uganda,Kenya,18.0,1.0,0.0,6.0,16.0,1.0,,,,,,,1.0,,1.0
cricket-t20i-2023-08-20-1393309,2023-08-20,2023,1,T20I,Uganda,Rwanda,23.0,2.0,1.0,6.0,37.0,1.0,,,,,,,1.0,,1.0
cricket-t20i-2023-08-20-1393310,2023-08-20,2023,1,T20I,Tanzania,Uganda,12.0,5.0,1.0,6.0,25.0,0.0,18.0,0.0,0.0,20.0,0.0,0.0,1.0,,1.0
cricket-t20i-2023-08-21-1393311,2023-08-21,2023,1,T20I,Uganda,Tanzania,4.0,2.0,0.0,7.0,9.0,0.0,12.0,0.0,0.0,19.0,0.0,1.0,,,1.0
cricket-t20i-2023-08-22-1393312,2023-08-22,2023,1,T20I,Uganda,Rwanda,5.0,0.0,0.0,8.0,3.0,0.0,9.0,0.0,0.0,23.0,2.0,0.0,2.0,,1.0
cricket-t20i-2023-08-24-1393313,2023-08-24,2023,1,T20I,Uganda,Rwanda,6.0,1.0,1.0,6.0,10.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,,1.0
cricket-t20i-2023-08-24-1393314,2023-08-24,2023,1,T20I,Uganda,Tanzania,,,,,,,,,,,,,2.0,,1.0
cricket-t20i-2023-08-25-1393329,2023-08-25,2023,1,T20I,Uganda,Tanzania,3.0,0.0,0.0,7.0,0.0,0.0,,,,,,,,,1.0
cricket-t20i-2023-08-27-1393316,2023-08-27,2023,1,T20I,Rwanda,Uganda,,,,,,,24.0,0.0,0.0,18.0,1.0,0.0,,,1.0
cricket-t20i-2023-08-28-1393317,2023-08-28,2023,1,T20I,Uganda,Tanzania,14.0,4.0,1.0,7.0,27.0,0.0,,,,,,,1.0,,1.0
cricket-t20i-2023-08-30-1393319,2023-08-30,2023,1,T20I,Uganda,Tanzania,14.0,2.0,0.0,6.0,21.0,1.0,12.0,0.0,0.0,8.0,3.0,0.0,,,1.0
cricket-t20i-2023-11-22-1407090,2023-11-22,2023,1,T20I,Tanzania,Uganda,,,,,,,6.0,0.0,0.0,7.0,0.0,0.0,1.0,,1.0
cricket-t20i-2023-11-24-1407095,2023-11-24,2023,1,T20I,Uganda,Namibia,15.0,1.0,0.0,8.0,12.0,0.0,,,,,,,,,1.0
cricket-t20i-2023-11-26-1407099,2023-11-26,2023,1,T20I,Zimbabwe,Uganda,,,,,,,18.0,0.0,0.0,9.0,0.0,0.0,2.0,1.0,1.0
cricket-t20i-2023-11-27-1407100,2023-11-27,2023,1,T20I,Nigeria,Uganda,,,,,,,6.0,0.0,0.0,10.0,0.0,0.0,,,1.0
cricket-t20i-2023-11-29-1407106,2023-11-29,2023,1,T20I,Uganda,Kenya,,,,,,,,,,,,,1.0,,1.0
cricket-t20i-2023-11-30-1407108,2023-11-30,2023,1,T20I,Rwanda,Uganda,,,,,,,24.0,0.0,0.0,10.0,2.0,0.0,1.0,,1.0
