game_id,date,season,week,league,away,home,extra_point,field_goal_yards,missed
SYNTHETIC_CFL_2023_W1_BC,2023-06-08,2023,1,CFL,BC,CGY,2.0,44.0,
SYNTHETIC_CFL_2023_W3_BC,2023-06-22,2023,3,CFL,BC,WPG,3.0,95.0,
SYNTHETIC_CFL_2023_W5_BC,2023-07-09,2023,5,CFL,MTL,BC,4.0,58.0,
SYNTHETIC_CFL_2023_W7_BC,2023-07-22,2023,7,CFL,SSK,BC,1.0,147.0,
SYNTHETIC_CFL_2023_W8_BC,2023-07-29,2023,8,CFL,BC,EDM,3.0,108.0,
SYNTHETIC_CFL_2023_W9_BC,2023-08-03,2023,9,CFL,BC,WPG,,63.0,
SYNTHETIC_CFL_2023_W10_BC,2023-08-12,2023,10,CFL,CGY,BC,4.0,117.0,
SYNTHETIC_CFL_2023_W11_BC,2023-08-20,2023,11,CFL,BC,SSK,2.0,86.0,
SYNTHETIC_CFL_2023_W12_BC,2023-08-26,2023,12,CFL,HAM,BC,1.0,64.0,1.0
SYNTHETIC_CFL_2023_W13_BC,2023-09-02,2023,13,CFL,BC,MTL,4.0,72.0,
SYNTHETIC_CFL_2023_W15_BC,2023-09-16,2023,15,CFL,OTT,BC,6.0,76.0,1.0
SYNTHETIC_CFL_2023_W16_BC,2023-09-22,2023,16,CFL,BC,EDM,4.0,69.0,
SYNTHETIC_CFL_2023_W17_BC,2023-09-29,2023,17,CFL,SSK,BC,3.0,138.0,
SYNTHETIC_CFL_2023_W18_BC,2023-10-06,2023,18,CFL,WPG,BC,2.0,155.0,
SYNTHETIC_CFL_2023_W19_BC,2023-10-13,2023,19,CFL,BC,HAM,3.0,172.0,
SYNTHETIC_CFL_2023_W20_BC,2023-10-20,2023,20,CFL,CGY,BC,1.0,40.0,
SYNTHETIC_CFL_2024_W1_BC,2024-06-09,2024,1,CFL,BC,TOR,2.0,87.0,
SYNTHETIC_CFL_2024_W2_BC,2024-05-25,2024,2,CFL,BC,CGY,1.0,77.0,
SYNTHETIC_CFL_2024_W3_BC,2024-06-21,2024,3,CFL,BC,WPG,2.0,99.0,
SYNTHETIC_CFL_2024_W4_BC,2024-06-27,2024,4,CFL,EDM,BC,1.0,95.0,
SYNTHETIC_CFL_2024_W5_BC,2024-07-07,2024,5,CFL,BC,HAM,5.0,102.0,
SYNTHETIC_CFL_2024_W6_BC,2024-07-13,2024,6,CFL,SSK,BC,2.0,225.0,
SYNTHETIC_CFL_2024_W7_BC,2024-07-21,2024,7,CFL,BC,CGY,2.0,93.0,
SYNTHETIC_CFL_2024_W10_BC,2024-08-11,2024,10,CFL,BC,EDM,1.0,104.0,
SYNTHETIC_CFL_2024_W11_BC,2024-08-18,2024,11,CFL,WPG,BC,,23.0,
SYNTHETIC_CFL_2024_W12_BC,2024-08-24,2024,12,CFL,BC,OTT,2.0,89.0,
SYNTHETIC_CFL_2024_W13_BC,2024-08-31,2024,13,CFL,OTT,BC,5.0,12.0,
SYNTHETIC_CFL_2024_W14_BC,2024-09-06,2024,14,CFL,BC,MTL,4.0,59.0,
SYNTHETIC_CFL_2024_W15_BC,2024-09-13,2024,15,CFL,TOR,BC,1.0,47.0,
SYNTHETIC_CFL_2024_W17_BC,2024-09-27,2024,17,CFL,HAM,BC,2.0,156.0,
SYNTHETIC_CFL_2024_W18_BC,2024-10-04,2024,18,CFL,CGY,BC,2.0,161.0,
SYNTHETIC_CFL_2024_W19_BC,2024-10-12,2024,19,CFL,BC,SSK,1.0,,
SYNTHETIC_CFL_2024_W20_BC,2024-10-19,2024,20,CFL,MTL,BC,3.0,51.0,
SYNTHETIC_CFL_2025_W1_BC,2025-06-07,2025,1,CFL,EDM,BC,4.0,22.0,
SYNTHETIC_CFL_2025_W2_BC,2025-06-12,2025,2,CFL,BC,WPG,2.0,58.0,
SYNTHETIC_CFL_2025_W3_BC,2025-06-21,2025,3,CFL,WPG,BC,,65.0,
SYNTHETIC_CFL_2025_W4_BC,2025-06-28,2025,4,CFL,BC,SSK,1.0,13.0,
SYNTHETIC_CFL_2025_W5_BC,2025-07-05,2025,5,CFL,BC,MTL,,105.0,
SYNTHETIC_CFL_2025_W6_BC,2025-07-13,2025,6,CFL,BC,EDM,3.0,100.0,
SYNTHETIC_CFL_2025_W7_BC,2025-07-19,2025,7,CFL,SSK,BC,1.0,47.0,
SYNTHETIC_CFL_2025_W8_BC,2025-07-27,2025,8,CFL,HAM,BC,3.0,113.0,
SYNTHETIC_CFL_2025_W10_BC,2025-08-07,2025,10,CFL,BC,HAM,3.0,135.0,
SYNTHETIC_CFL_2025_W11_BC,2025-08-16,2025,11,CFL,MTL,BC,3.0,99.0,
SYNTHETIC_CFL_2025_W12_BC,2025-08-23,2025,12,CFL,BC,TOR,3.0,25.0,
SYNTHETIC_CFL_2025_W14_BC,2025-09-05,2025,14,CFL,BC,OTT,3.0,126.0,
SYNTHETIC_CFL_2025_W15_BC,2025-09-12,2025,15,CFL,OTT,BC,5.0,13.0,
SYNTHETIC_CFL_2025_W16_BC,2025-09-19,2025,16,CFL,BC,CGY,5.0,36.0,
SYNTHETIC_CFL_2025_W17_BC,2025-09-26,2025,17,CFL,TOR,BC,3.0,77.0,
SYNTHETIC_CFL_2025_W18_BC,2025-10-04,2025,18,CFL,CGY,BC,5.0,47.0,
SYNTHETIC_CFL_2025_W20_BC,2025-10-17,2025,20,CFL,EDM,BC,3.0,71.0,
SYNTHETIC_CFL_2025_W21_BC,2025-10-25,2025,21,CFL,BC,SSK,,63.0,
