game_id,date,season,week,league,away,home,assists,blocks,callahans,catches,completions,drops,goals,hockeyAssists,throwAttempts,throwaways,yardsReceived,yardsThrown
SYNTHETIC_AUDL_W2_HUSTLE,,,2,AUDL,,,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,0.0
SYNTHETIC_AUDL_W3_HUSTLE,,,3,AUDL,,,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,0.0
2022-06-17-CAR-ATL,2022-06-17,2022,4,,CAR,ATL,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,0.0
2022-07-02-ATL-CAR,2022-07-02,2022,6,,ATL,CAR,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,0.0
2022-07-08-ATL-DAL,2022-07-08,2022,7,AUDL,hustle,legion,0.0,0.0,,,,0.0,1.0,,,0.0,41.0,13.0
2022-07-09-ATL-ATX,2022-07-09,2022,7,AUDL,hustle,sol,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,0.0
2022-07-16-ATL-TB,2022-07-16,2022,8,AUDL,hustle,cannons,1.0,0.0,,,,0.0,1.0,,,0.0,3.0,19.0
2022-07-22-DAL-ATL,2022-07-22,2022,9,AUDL,legion,hustle,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,0.0
2022-07-30-IND-ATL,2022-07-30,2022,10,AUDL,alleycats,hustle,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,0.0
2023-05-05-CAR-ATL,2023-05-05,2023,2,AUDL,CAROLINA FLYERS,ATLANTA HUSTLE,,2.0,1.0,1.0,1.0,,1.0,,1.0,,,7.0
2023-05-12-ATX-ATL,2023-05-12,2023,3,AUDL,AUSTIN SOL,ATLANTA HUSTLE,1.0,,,3.0,3.0,,,,3.0,,18.0,23.0
2023-05-21-ATL-CAR,2023-05-21,2023,4,AUDL,ATLANTA HUSTLE,CAROLINA FLYERS,,,,1.0,1.0,,,,1.0,,9.0,-4.0
2023-05-27-HTX-ATL,2023-05-27,2023,5,AUDL,HOUSTON HAVOC,ATLANTA HUSTLE,1.0,1.0,,6.0,8.0,,,,8.0,,7.0,41.0
2023-06-09-ATL-BOS,2023-06-09,2023,7,AUDL,ATLANTA HUSTLE,BOSTON GLORY,,,,6.0,7.0,,,,8.0,1.0,44.0,39.0
2023-06-23-ATL-HTX,2023-06-23,2023,9,AUDL,ATLANTA HUSTLE,HOUSTON HAVOC,1.0,,,2.0,3.0,,,,3.0,,13.0,4.0
2023-07-22-CAR-ATL,2023-07-22,2023,13,AUDL,CAROLINA FLYERS,ATLANTA HUSTLE,,,,4.0,2.0,,2.0,1.0,2.0,,55.0,-5.0
2024-04-27-ATL-CAR,2024-04-27,2024,1,UFA,hustle,flyers,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,0.0
2024-05-04-NY-ATL,2024-05-04,2024,2,UFA,empire,hustle,0.0,0.0,,,,0.0,0.0,,,0.0,19.0,21.0
2024-05-11-ATL-CAR,2024-05-11,2024,3,UFA,hustle,flyers,0.0,1.0,,,,0.0,0.0,,,0.0,14.0,12.0
2024-05-18-ATL-IND,2024-05-18,2024,4,UFA,hustle,alleycats,0.0,1.0,,,,0.0,0.0,,,0.0,51.0,77.0
2024-05-31-ATL-COL,2024-05-31,2024,6,UFA,hustle,summit,0.0,1.0,,,,0.0,0.0,,,2.0,18.0,8.0
2024-06-07-ATX-ATL,2024-06-07,2024,7,UFA,sol,hustle,1.0,0.0,,,,0.0,0.0,,,0.0,22.0,14.0
2024-06-14-HTX-ATL,2024-06-14,2024,8,UFA,havoc,hustle,1.0,0.0,,,,0.0,0.0,,,0.0,101.0,58.0
