game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,forced_fumbles,fumble_recoveries,rec_avg,rec_long,receiving_fum,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,sacks,safeties,tackles
FOOTBALL_NAL_2025_3_14_T425358G979254@T425361,2025-03-15,2025,2,NAL,Idaho Horsemen,Sioux City Bandits,,,,,,,,19.0,29.0,0.0,2.0,37.0,2.0,,,,,,,,,
FOOTBALL_NAL_2025_3_29_T425357G979259@T425361,2025-03-30,2025,4,NAL,Colorado Spartans,Sioux City Bandits,,,,,,,,39.0,39.0,0.0,1.0,39.0,1.0,,,,,,,,,
FOOTBALL_NAL_2025_4_19_T425361G979267@T425360,2025-04-19,2025,7,NAL,Sioux City Bandits,Omaha Beef,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,23.0,0.0,0.0,23.0,1.0,,,,,,,0.0,0.0,0.0
FOOTBALL_NAL_2025_4_26_T463723G979273@T425361,2025-04-27,2025,8,NAL,Beaumont Renegades,Sioux City Bandits,,,,,,,,13.0,13.0,0.0,0.0,13.0,1.0,9.0,9.0,1.0,0.0,0.0,9.0,,,
FOOTBALL_NAL_2025_5_4_T425361G981353@T425358,2025-05-04,2025,9,NAL,Sioux City Bandits,Idaho Horsemen,,,,,,,,18.0,22.0,0.0,1.0,35.0,2.0,,,,,,,,,
FOOTBALL_NAL_2025_5_17_T425361G979283@T425362,2025-05-17,2025,11,NAL,Sioux City Bandits,Wheeling Miners,,,,,,,,8.0,8.0,0.0,0.0,8.0,1.0,,,,,,,,,
FOOTBALL_NAL_2026_3_13_T570666G1127140@T566773,2026-03-13,2026,2,NAL,Sioux City Bandits,Amarillo Warbirds,,,,,,,,16.0,17.0,0.0,1.0,32.0,2.0,,,,,,,,,
FOOTBALL_NAL_2026_3_28_T570666G1127148@T577047,2026-03-29,2026,4,NAL,Sioux City Bandits,Pueblo Punishers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,1.0,,,,,,,0.0,0.0,1.0
FOOTBALL_NAL_2026_4_4_T570666G1127150@T566774,2026-04-04,2026,5,NAL,Sioux City Bandits,Omaha Beef,,,,,,,,7.0,9.0,0.0,1.0,20.0,3.0,3.0,3.0,1.0,0.0,0.0,3.0,,,
FOOTBALL_NAL_2026_4_11_T570666G1127155@T600414,2026-04-11,2026,6,NAL,Sioux City Bandits,Southwest Kansas Storm,,,,,,,,8.0,15.0,0.0,0.0,25.0,3.0,,,,,,,,,
FOOTBALL_NAL_2026_4_18_T600411G1127157@T570666,2026-04-19,2026,7,NAL,Salina Liberty,Sioux City Bandits,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,18.0,0.0,1.0,33.0,3.0,,,,,,,0.0,0.0,1.0
FOOTBALL_NAL_2026_4_25_T577047G1127160@T570666,2026-04-26,2026,8,NAL,Pueblo Punishers,Sioux City Bandits,,,,,,,,17.0,17.0,0.0,0.0,17.0,1.0,,,,,,,,,
FOOTBALL_NAL_2026_5_9_T566773G1127168@T570666,2026-05-10,2026,10,NAL,Amarillo Warbirds,Sioux City Bandits,,,,,,,,16.0,36.0,0.0,5.0,141.0,9.0,,,,,,,,,
