game_id,date,season,week,league,away,home,extra_point,field_goal_yards
SYNTHETIC_USFL_2023_W1_BREAKERS,,2023,1,USFL,,,1.0,161.0
SYNTHETIC_USFL_2023_W2_BREAKERS,,2023,2,USFL,,,5.0,27.0
SYNTHETIC_USFL_2023_W3_BREAKERS,,2023,3,USFL,,,6.0,37.0
SYNTHETIC_USFL_2023_W4_BREAKERS,,2023,4,USFL,,,1.0,50.0
SYNTHETIC_USFL_2023_W5_BREAKERS,,2023,5,USFL,,,1.0,27.0
SYNTHETIC_USFL_2023_W6_BREAKERS,,2023,6,USFL,,,1.0,44.0
SYNTHETIC_USFL_2023_W7_BREAKERS,,2023,7,USFL,,,,135.0
SYNTHETIC_USFL_2023_W8_BREAKERS,,2023,8,USFL,,,3.0,19.0
SYNTHETIC_USFL_2023_W9_BREAKERS,,2023,9,USFL,,,4.0,43.0
SYNTHETIC_USFL_2023_W10_BREAKERS,,2023,10,USFL,,,2.0,33.0
