game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,fielding_runouts,match_played
cricket-tests-2019-02-01-1145001,2019-02-01,2019,1,TESTS,Australia,Sri Lanka,43.0,4.0,0.0,8.0,22.0,0.0,156.0,1.0,8.0,148.0,1.0,0.0,1.0,,1.0
cricket-lpl-2021-12-06-1291196,2021-12-06,2021,1,LPL,Dambulla Giants,Kandy Warriors,9.0,0.0,1.0,8.0,8.0,0.0,24.0,0.0,0.0,38.0,0.0,1.0,2.0,,1.0
cricket-lpl-2021-12-07-1291198,2021-12-07,2021,1,LPL,Dambulla Giants,Jaffna Kings,24.0,3.0,0.0,7.0,18.0,0.0,6.0,0.0,0.0,12.0,0.0,1.0,,,1.0
cricket-lpl-2021-12-08-1291200,2021-12-08,2021,1,LPL,Dambulla Giants,Colombo Stars,8.0,1.0,1.0,7.0,12.0,0.0,23.0,0.0,0.0,46.0,2.0,7.0,,,1.0
cricket-lpl-2021-12-10-1291202,2021-12-10,2021,1,LPL,Dambulla Giants,Galle Gladiators,5.0,1.0,0.0,8.0,13.0,1.0,,,,,,,,,1.0
cricket-lpl-2021-12-11-1291205,2021-12-11,2021,1,LPL,Dambulla Giants,Colombo Stars,10.0,0.0,0.0,8.0,12.0,1.0,6.0,0.0,0.0,11.0,1.0,0.0,1.0,,1.0
cricket-lpl-2021-12-13-1291208,2021-12-13,2021,1,LPL,Dambulla Giants,Jaffna Kings,3.0,0.0,0.0,7.0,0.0,0.0,,,,,,,1.0,,1.0
cricket-lpl-2021-12-14-1291210,2021-12-14,2021,1,LPL,Galle Gladiators,Dambulla Giants,3.0,1.0,1.0,6.0,8.0,0.0,6.0,0.0,0.0,13.0,0.0,0.0,,,1.0
cricket-lpl-2021-12-16-1291212,2021-12-16,2021,1,LPL,Dambulla Giants,Kandy Warriors,3.0,0.0,0.0,7.0,0.0,0.0,,,,,,,,,1.0
cricket-lpl-2021-12-19-1291215,2021-12-19,2021,1,LPL,Colombo Stars,Dambulla Giants,5.0,1.0,1.0,6.0,10.0,0.0,24.0,0.0,0.0,31.0,1.0,0.0,2.0,,1.0
cricket-lpl-2021-12-21-1291217,2021-12-21,2021,1,LPL,Jaffna Kings,Dambulla Giants,47.0,10.0,1.0,7.0,75.0,2.0,24.0,0.0,1.0,53.0,1.0,0.0,,,1.0
cricket-odi-2021-05-28-1262347,2021-05-28,2021,1,ODI,Sri Lanka,Bangladesh,,,,,,,36.0,0.0,0.0,34.0,0.0,2.0,,,1.0
cricket-odi-2021-06-29-1239534,2021-06-29,2021,1,ODI,Sri Lanka,England,33.0,0.0,1.0,8.0,19.0,1.0,42.0,0.0,1.0,39.0,1.0,1.0,,,1.0
cricket-odi-2021-07-01-1239535,2021-07-01,2021,1,ODI,Sri Lanka,England,38.0,1.0,0.0,8.0,21.0,0.0,36.0,0.0,0.0,34.0,1.0,2.0,,,1.0
cricket-odi-2021-07-04-1239536,2021-07-04,2021,1,ODI,Sri Lanka,England,29.0,0.0,0.0,8.0,11.0,0.0,,,,,,,,,1.0
cricket-odi-2021-07-18-1262755,2021-07-18,2021,1,ODI,Sri Lanka,India,35.0,1.0,1.0,8.0,43.0,2.0,12.0,0.0,0.0,16.0,0.0,0.0,,,1.0
cricket-odi-2021-07-20-1262756,2021-07-20,2021,1,ODI,Sri Lanka,India,33.0,5.0,1.0,8.0,44.0,0.0,36.0,1.0,0.0,26.0,0.0,0.0,,,1.0
cricket-odi-2021-07-23-1262757,2021-07-23,2021,1,ODI,India,Sri Lanka,10.0,0.0,0.0,8.0,3.0,0.0,36.0,0.0,0.0,25.0,1.0,2.0,,,1.0
cricket-odi-2021-09-02-1271627,2021-09-02,2021,1,ODI,Sri Lanka,South Africa,7.0,0.0,1.0,8.0,7.0,0.0,18.0,0.0,0.0,18.0,1.0,1.0,,1.0,1.0
