game_id,date,season,week,league,away,home,assists,blocks,catches,completions,drops,goals,hockeyAssists,throwAttempts,throwaways,yardsReceived,yardsThrown
SYNTHETIC_AUDL_W1_MECHANIX,,,1,AUDL,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
SYNTHETIC_AUDL_W2_MECHANIX,,,2,AUDL,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
SYNTHETIC_AUDL_W3_MECHANIX,,,3,AUDL,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2022-06-18-DET-PIT,2022-06-18,2022,4,,DET,PIT,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2022-07-02-MIN-DET,2022-07-02,2022,6,,MIN,DET,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2022-07-09-DET-PIT,2022-07-09,2022,7,AUDL,mechanix,thunderbirds,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2022-07-16-MAD-DET,2022-07-16,2022,8,AUDL,radicals,mechanix,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2022-07-30-DET-CHI,2022-07-30,2022,10,AUDL,mechanix,union,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2022-07-31-DET-MIN,2022-07-31,2022,10,AUDL,mechanix,windchill,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2023-05-13-PIT-DET,2023-05-13,2023,3,AUDL,PITTSBURGH THUNDERBIRDS,DETROIT MECHANIX,1.0,,6.0,6.0,,,1.0,6.0,,39.0,60.0
2023-06-11-DET-PIT,2023-06-11,2023,7,AUDL,DETROIT MECHANIX,PITTSBURGH THUNDERBIRDS,,1.0,2.0,2.0,,,,2.0,,41.0,-19.0
2023-06-23-DET-CHI,2023-06-23,2023,9,AUDL,DETROIT MECHANIX,CHICAGO UNION,,,1.0,1.0,,,,1.0,,4.0,-2.0
2023-07-15-TOR-DET,2023-07-15,2023,12,AUDL,TORONTO RUSH,DETROIT MECHANIX,,1.0,2.0,2.0,1.0,,,2.0,,15.0,14.0
2025-05-02-IND-PIT,2025-05-02,2025,2,UFA,alleycats,thunderbirds,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2025-05-11-PIT-DET,2025-05-11,2025,3,UFA,thunderbirds,mechanix,0.0,1.0,,,0.0,0.0,,,0.0,0.0,0.0
2025-05-17-PIT-MAD,2025-05-17,2025,4,UFA,thunderbirds,radicals,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2025-05-24-MIN-PIT,2025-05-24,2025,5,UFA,windchill,thunderbirds,0.0,1.0,,,0.0,0.0,,,0.0,0.0,0.0
2025-06-01-CAR-PIT,2025-06-01,2025,6,UFA,flyers,thunderbirds,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2025-06-07-PIT-MIN,2025-06-07,2025,7,UFA,thunderbirds,windchill,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2025-06-14-PHI-PIT,2025-06-14,2025,8,UFA,phoenix,thunderbirds,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2025-06-20-PIT-CHI,2025-06-20,2025,9,UFA,thunderbirds,union,0.0,0.0,,,0.0,0.0,,,0.0,21.0,-10.0
2025-06-22-DET-PIT,2025-06-22,2025,9,UFA,mechanix,thunderbirds,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2025-06-28-PIT-TOR,2025-06-28,2025,10,UFA,thunderbirds,rush,1.0,0.0,,,0.0,0.0,,,0.0,59.0,2.0
2025-07-05-CHI-PIT,2025-07-05,2025,11,UFA,union,thunderbirds,0.0,0.0,,,0.0,0.0,,,0.0,7.0,22.0
2025-07-19-PIT-IND,2025-07-19,2025,13,UFA,thunderbirds,alleycats,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
