game_id,date,season,week,league,away,home,assist_tackles,def_sack,def_solo,def_tot,def_ydsl,int_avg,int_long,int_tds,int_yards,interceptions_made,sacks,solo_tackles,tackles
FOOTBALL_AAF_2019_2_10_MEM@BIR,2019-02-10,2019,1,AAF,MEM,BIR,2.0,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,
FOOTBALL_AAF_2019_2_16_SL@BIR,2019-02-16,2019,2,AAF,SL,BIR,1.0,,,,,0.0,0.0,0.0,0.0,0.0,,2.0,
FOOTBALL_AAF_2019_2_24_BIR@ATL,2019-02-24,2019,3,AAF,BIR,ATL,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,2.0,
FOOTBALL_AAF_2019_3_3_SA@BIR,2019-03-03,2019,4,AAF,SA,BIR,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,2.0,
FOOTBALL_AAF_2019_3_9_ORL@BIR,2019-03-09,2019,5,AAF,ORL,BIR,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,
FOOTBALL_AAF_2019_3_17_BIR@SD,2019-03-17,2019,6,AAF,BIR,SD,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,2.0,
FOOTBALL_AAF_2019_3_24_BIR@MEM,2019-03-24,2019,7,AAF,BIR,MEM,2.0,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,
FOOTBALL_XFL_2020_2_9_STL@DAL,2020-02-09,2020,1,XFL,STL,DAL,,,,,,,,,,,,1.0,1.0
FOOTBALL_XFL_2020_2_16_STL@HOU,2020-02-16,2020,2,XFL,STL,HOU,1.0,,,,,,,,,,,,1.0
FOOTBALL_XFL_2020_2_23_NY@STL,2020-02-23,2020,3,XFL,NY,STL,1.0,,,,,,,,,,1.0,1.0,2.0
FOOTBALL_XFL_2020_2_29_SEA@STL,2020-02-29,2020,4,XFL,SEA,STL,,,,,,,,,,,,1.0,1.0
FOOTBALL_XFL_2020_3_8_STL@DC,2020-03-08,2020,5,XFL,STL,DC,5.0,,,,,,,,,,,2.0,7.0
FOOTBALL_CFL_2021_10_15_WPG@EDM,2021-10-15,2021,1,CFL,WPG,EDM,,,1.0,1.0,,,,,,,,,
FOOTBALL_CFL_2021_10_1_WPG@BC,2021-10-01,2021,1,CFL,WPG,BC,,1.0,1.0,1.0,1.0,,,,,,,,
FOOTBALL_CFL_2021_10_23_BC@WPG,2021-10-23,2021,1,CFL,BC,WPG,,1.0,1.0,1.0,8.0,,,,,,,,
FOOTBALL_CFL_2021_10_8_EDM@WPG,2021-10-08,2021,1,CFL,EDM,WPG,,1.0,1.0,1.0,1.0,,,,,,,,
FOOTBALL_CFL_2021_11_13_WPG@MTL,2021-11-13,2021,1,CFL,WPG,MTL,,,7.0,7.0,,,,,,,,,
FOOTBALL_CFL_2021_11_20_WPG@CGY,2021-11-20,2021,1,CFL,WPG,CGY,,1.0,2.0,2.0,8.0,,,,,,,,
FOOTBALL_CFL_2021_11_6_MTL@WPG,2021-11-06,2021,1,CFL,MTL,WPG,,,3.0,3.0,,,,,,,,,
FOOTBALL_CFL_2021_12_5_SSK@WPG,2021-12-05,2021,1,CFL,SSK,WPG,,,3.0,3.0,,,,,,,,,
FOOTBALL_CFL_2021_8_13_TOR@WPG,2021-08-13,2021,1,CFL,TOR,WPG,,,3.0,3.0,,,,,,,,,
FOOTBALL_CFL_2021_8_21_WPG@TOR,2021-08-21,2021,1,CFL,WPG,TOR,,,3.0,3.0,,,,,,,,,
FOOTBALL_CFL_2021_8_29_CGY@WPG,2021-08-29,2021,1,CFL,CGY,WPG,,,2.0,2.0,,,,,,,,,
FOOTBALL_CFL_2021_8_5_HAM@WPG,2021-08-05,2021,1,CFL,HAM,WPG,,1.0,1.0,1.0,8.0,,,,,,,,
FOOTBALL_CFL_2021_9_11_SSK@WPG,2021-09-11,2021,1,CFL,SSK,WPG,,,1.0,1.0,,,,,,,,,
FOOTBALL_CFL_2021_9_5_WPG@SSK,2021-09-05,2021,1,CFL,WPG,SSK,,,2.0,2.0,,,,,,,,,
9889322,2023-08-17,2023,11,CFL,EDM,HAM,,,,,,,,,,0.0,1.0,,5.0
9889328,2023-08-26,2023,12,CFL,HAM,BC,,,,,,,,,,0.0,1.0,,5.0
9889332,2023-09-04,2023,13,CFL,TOR,HAM,,,,,,,,,,0.0,0.0,,2.0
9889334,2023-09-08,2023,14,CFL,HAM,OTT,,,,,,,,,,0.0,0.0,,5.0
9889340,2023-09-16,2023,15,CFL,WPG,HAM,,,,,,,,,,0.0,0.0,,2.0
9889345,2023-09-23,2023,16,CFL,HAM,TOR,,,,,,,,,,0.0,0.0,,2.0
9889349,2023-09-30,2023,17,CFL,CGY,HAM,,,,,,,,,,0.0,1.0,,2.0
9889352,2023-10-07,2023,18,CFL,HAM,SSK,,,,,,,,,,0.0,0.0,,5.0
9889354,2023-10-13,2023,19,CFL,BC,HAM,,,,,,,,,,0.0,2.0,,3.0
10798017,2024-06-07,2024,1,CFL,HAM,CGY,,,,,,,,,,0.0,1.0,,3.0
