game_id,date,season,week,league,away,home,assists,blocks,catches,completions,drops,goals,hockeyAssists,hucksCompleted,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-05-13-IND-CHI,2023-05-13,2023,3,AUDL,INDIANAPOLIS ALLEYCATS,CHICAGO UNION,1.0,,8.0,6.0,,,1.0,,8.0,2.0,64.0,49.0
2023-07-07-CHI-PIT,2023-07-07,2023,11,AUDL,CHICAGO UNION,PITTSBURGH THUNDERBIRDS,3.0,,20.0,16.0,0.0,1.0,0.0,0.0,19.0,1.0,265.0,134.0
2023-07-15-CHI-MIN,2023-07-15,2023,12,AUDL,CHICAGO UNION,MINNESOTA WIND CHILL,,2.0,14.0,12.0,2.0,1.0,2.0,,14.0,1.0,83.0,105.0
2025-04-26-PHI-DC,2025-04-26,2025,1,UFA,phoenix,breeze,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
2025-05-03-TOR-DC,2025-05-03,2025,2,UFA,rush,breeze,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
2025-05-10-DC-CAR,2025-05-10,2025,3,UFA,breeze,flyers,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
2025-05-18-BOS-DC,2025-05-18,2025,4,UFA,glory,breeze,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
2025-05-30-DC-TOR,2025-05-30,2025,6,UFA,breeze,rush,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
2025-05-31-DC-MTL,2025-05-31,2025,6,UFA,breeze,royal,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
2025-06-06-NY-DC,2025-06-06,2025,7,UFA,empire,breeze,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
2025-06-14-DC-NY,2025-06-14,2025,8,UFA,breeze,empire,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
2025-06-27-MTL-DC,2025-06-27,2025,10,UFA,royal,breeze,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
2025-07-06-DC-BOS,2025-07-06,2025,11,UFA,breeze,glory,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
2025-07-12-BOS-DC,2025-07-12,2025,12,UFA,glory,breeze,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
2025-07-19-DC-PHI,2025-07-19,2025,13,UFA,breeze,phoenix,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
